Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
725.5388	15.778	84.810
725.0975	15.786	84.773
724.6562	15.794	84.735
724.2147	15.801	84.697
723.7732	15.809	84.659
723.3315	15.817	84.621
722.8898	15.824	84.583
722.4479	15.832	84.544
722.0060	15.840	84.506
721.5640	15.848	84.468
721.1218	15.855	84.429
720.6796	15.863	84.391
720.2373	15.871	84.352
719.7949	15.878	84.312
719.3524	15.885	84.273
718.9097	15.893	84.234
718.4670	15.900	84.195
718.0242	15.908	84.155
717.5813	15.915	84.116
717.1383	15.923	84.077
716.6952	15.930	84.037
716.2520	15.938	83.997
715.8087	15.945	83.957
715.3653	15.952	83.916
714.9218	15.959	83.876
714.4782	15.966	83.835
714.0345	15.974	83.795
713.5907	15.981	83.754
713.1469	15.988	83.713
712.7028	15.995	83.672
712.2588	16.003	83.632
711.8146	16.010	83.591
711.3703	16.017	83.550
710.9259	16.024	83.508
710.4814	16.032	83.467
710.0369	16.039	83.426
709.5922	16.046	83.385
709.1474	16.054	83.343
708.7026	16.061	83.302
708.2576	16.069	83.259
707.8125	16.077	83.216
707.3674	16.085	83.172
706.9221	16.094	83.128
706.4767	16.102	83.084
706.0313	16.110	83.041
705.5857	16.118	82.997
705.1401	16.127	82.953
704.6943	16.135	82.909
704.2484	16.143	82.866
703.8025	16.151	82.824
703.3564	16.159	82.783
702.9103	16.167	82.741
702.4641	16.175	82.700
702.0177	16.183	82.658
701.5712	16.191	82.617
701.1247	16.199	82.575
700.6780	16.207	82.533
700.2313	16.215	82.491
699.7844	16.223	82.449
699.3375	16.231	82.406
698.8904	16.239	82.364
698.4433	16.248	82.321
697.9961	16.256	82.279
697.5488	16.264	82.236
697.1013	16.273	82.193
696.6537	16.281	82.150
696.2061	16.289	82.108
695.7584	16.298	82.065
695.3105	16.306	82.022
694.8626	16.315	81.979
694.4146	16.323	81.936
693.9664	16.332	81.893
693.5182	16.341	81.850
693.0699	16.349	81.807
692.6215	16.358	81.764
692.1729	16.366	81.721
691.7243	16.375	81.678
691.2756	16.383	81.634
690.8267	16.392	81.591
690.3778	16.400	81.548
689.9288	16.409	81.504
689.4797	16.417	81.461
689.0304	16.426	81.417
688.5811	16.434	81.373
688.1317	16.443	81.328
687.6821	16.451	81.284
687.2325	16.459	81.239
686.7828	16.467	81.194
686.3329	16.476	81.149
685.8830	16.484	81.104
685.4330	16.492	81.059
684.9828	16.500	81.014
684.5327	16.509	80.968
684.0823	16.517	80.923
683.6319	16.525	80.877
683.1813	16.533	80.832
682.7307	16.542	80.786
682.2800	16.550	80.740
681.8292	16.558	80.695
681.3782	16.567	80.649
680.9272	16.575	80.603
680.4761	16.584	80.558
680.0248	16.593	80.512
679.5735	16.601	80.467
679.1221	16.610	80.421
678.6705	16.619	80.375
678.2189	16.628	80.329
677.7672	16.636	80.283
677.3154	16.645	80.237
676.8634	16.655	80.192
676.4114	16.664	80.146
675.9592	16.673	80.101
675.5070	16.682	80.055
675.0547	16.691	80.009
674.6022	16.701	79.963
674.1497	16.710	79.917
673.6971	16.719	79.871
673.2443	16.728	79.825
672.7915	16.738	79.778
672.3386	16.747	79.732
671.8855	16.756	79.685
671.4324	16.766	79.639
670.9791	16.775	79.592
670.5258	16.784	79.545
670.0723	16.793	79.498
669.6188	16.802	79.450
669.1651	16.811	79.403
668.7114	16.820	79.355
668.2575	16.829	79.307
667.8035	16.838	79.259
667.3495	16.847	79.211
666.8953	16.856	79.163
666.4411	16.865	79.115
665.9868	16.874	79.066
665.5323	16.883	79.016
665.0777	16.892	78.967
664.6230	16.901	78.918
664.1683	16.910	78.868
663.7134	16.919	78.818
663.2584	16.928	78.769
662.8034	16.937	78.719
662.3482	16.946	78.669
661.8929	16.955	78.619
661.4376	16.964	78.568
660.9821	16.973	78.518
