Source : prueba_SiO2.P2.12h 05mn 44s
Spectrum : 1

Wavelength	Psi	Delta
725.9799	10.672	132.986
725.5388	10.674	132.976
725.0975	10.678	132.947
724.6562	10.680	132.953
724.2147	10.679	132.954
723.7732	10.678	132.944
723.3315	10.680	132.948
722.8898	10.685	132.920
722.4479	10.686	132.909
722.0060	10.689	132.899
721.5640	10.698	132.867
721.1218	10.702	132.862
720.6796	10.705	132.848
720.2373	10.708	132.839
719.7949	10.708	132.838
719.3524	10.715	132.817
718.9097	10.717	132.812
718.4670	10.719	132.803
718.0242	10.730	132.761
717.5813	10.735	132.744
717.1383	10.742	132.707
716.6952	10.747	132.694
716.2520	10.754	132.663
715.8087	10.761	132.627
715.3653	10.766	132.603
714.9218	10.770	132.600
714.4782	10.776	132.577
714.0345	10.784	132.540
713.5907	10.793	132.519
713.1469	10.797	132.503
712.7028	10.802	132.486
712.2588	10.813	132.453
711.8146	10.822	132.434
711.3703	10.830	132.412
710.9259	10.841	132.376
710.4814	10.848	132.351
710.0369	10.855	132.340
709.5922	10.863	132.322
709.1474	10.870	132.310
708.7026	10.877	132.293
708.2576	10.884	132.276
707.8125	10.891	132.270
707.3674	10.900	132.249
706.9221	10.909	132.236
706.4767	10.918	132.210
706.0313	10.926	132.183
705.5857	10.935	132.167
705.1401	10.945	132.146
704.6943	10.952	132.139
704.2484	10.958	132.121
703.8025	10.967	132.122
703.3564	10.978	132.080
702.9103	10.989	132.067
702.4641	10.998	132.051
702.0177	11.009	132.036
701.5712	11.018	132.017
701.1247	11.029	132.002
700.6780	11.038	131.988
700.2313	11.049	131.959
699.7844	11.060	131.935
699.3375	11.067	131.936
698.8904	11.075	131.921
698.4433	11.083	131.909
697.9961	11.094	131.876
697.5488	11.101	131.857
697.1013	11.109	131.840
696.6537	11.118	131.832
696.2061	11.130	131.806
695.7584	11.139	131.798
695.3105	11.149	131.765
694.8626	11.159	131.745
694.4146	11.166	131.735
693.9664	11.175	131.723
693.5182	11.189	131.704
693.0699	11.199	131.697
692.6215	11.210	131.687
692.1729	11.220	131.670
691.7243	11.227	131.657
691.2756	11.238	131.637
690.8267	11.248	131.622
690.3778	11.258	131.597
689.9288	11.265	131.575
689.4797	11.275	131.558
689.0304	11.282	131.542
688.5811	11.293	131.520
688.1317	11.299	131.509
687.6821	11.307	131.499
