%En este archivo se guardan los datos de reflectividad y transmitancia 
%usando todos los archivos correctos de indices de refracción, el Palik para el Si, el SiO2 y
%el rutilo.
#Lam(nm)  R%(0-100)  T%(0-100)
657.895  10.628  89.372  
659.398  10.698  89.302  
660.902  10.768  89.232  
662.406  10.839  89.161  
663.910  10.909  89.091  
665.414  10.980  89.020  
666.917  11.050  88.950  
668.421  11.120  88.880  
669.925  11.190  88.810  
671.429  11.259  88.741  
672.932  11.329  88.671  
674.436  11.399  88.601  
675.940  11.468  88.532  
677.444  11.538  88.462  
678.947  11.607  88.393  
680.451  11.676  88.324  
681.955  11.744  88.256  
683.459  11.811  88.189  
684.962  11.878  88.122  
686.466  11.944  88.056  
687.970  12.011  87.989  
689.474  12.077  87.923  
690.977  12.144  87.856  
692.481  12.210  87.790  
693.985  12.276  87.724  
695.489  12.342  87.658  
696.992  12.408  87.592  
698.496  12.475  87.525  
700.000  12.541  87.459  
701.504  12.608  87.392  
703.008  12.674  87.326  
704.511  12.741  87.259  
706.015  12.807  87.193  
707.519  12.872  87.128  
709.023  12.938  87.062  
710.526  13.003  86.997  
712.030  13.068  86.932  
713.534  13.132  86.868  
715.038  13.196  86.804  
716.541  13.259  86.741  
718.045  13.323  86.677  
719.549  13.386  86.614  
721.053  13.448  86.552  
722.556  13.510  86.490  
724.060  13.572  86.428  
725.564  13.634  86.366  
727.068  13.695  86.305  
728.571  13.756  86.244  
730.075  13.816  86.184  
731.579  13.876  86.124  
733.083  13.936  86.064  
734.586  13.995  86.005  
736.090  14.054  85.946  
737.594  14.113  85.887  
739.098  14.172  85.828  
740.602  14.231  85.769  
742.105  14.291  85.709  
743.609  14.351  85.649  
745.113  14.410  85.590  
746.617  14.469  85.531  
748.120  14.527  85.473  
749.624  14.585  85.415  
751.128  14.642  85.358  
752.632  14.699  85.301  
754.135  14.756  85.244  
755.639  14.812  85.188  
757.143  14.869  85.131  
758.647  14.927  85.073  
760.150  14.985  85.015  
761.654  15.043  84.957  
763.158  15.102  84.898  
764.662  15.159  84.841  
766.165  15.216  84.784  
767.669  15.272  84.728  
769.173  15.328  84.672  
770.677  15.383  84.617  
772.180  15.439  84.561  
773.684  15.494  84.506  
775.188  15.549  84.451  
776.692  15.604  84.396  
778.195  15.659  84.341  
779.699  15.713  84.287  
781.203  15.766  84.234  
782.707  15.819  84.181  
784.211  15.870  84.130  
785.714  15.922  84.078  
787.218  15.972  84.028  
788.722  16.023  83.977  
790.226  16.073  83.927  
791.729  16.123  83.877  
793.233  16.172  83.828  
794.737  16.221  83.779  
796.241  16.272  83.728  
797.744  16.321  83.679  
799.248  16.371  83.629  
800.752  16.419  83.581  
802.256  16.467  83.533  
803.759  16.515  83.485  
805.263  16.562  83.438  
806.767  16.609  83.391  
808.271  16.656  83.344  
809.774  16.703  83.297  
811.278  16.749  83.251  
812.782  16.795  83.205  
814.286  16.841  83.159  
815.789  16.886  83.114  
817.293  16.926  83.074  
818.797  16.967  83.033  
820.301  17.007  82.993  
821.805  17.050  82.950  
823.308  17.092  82.908  
824.812  17.134  82.866  
826.316  17.176  82.824  
827.820  17.222  82.778  
829.323  17.271  82.729  
830.827  17.319  82.681  
832.331  17.367  82.633  
833.835  17.414  82.586  
835.338  17.462  82.538  
836.842  17.509  82.491  
838.346  17.556  82.444  
839.850  17.603  82.397  
841.353  17.646  82.354  
842.857  17.689  82.311  
844.361  17.732  82.268  
845.865  17.775  82.225  
847.368  17.818  82.182  
848.872  17.860  82.140  
850.376  17.902  82.098  
851.880  17.944  82.056  
853.383  17.986  82.014  
854.887  18.028  81.972  
856.391  18.069  81.931  
857.895  18.110  81.890  
859.398  18.151  81.849  
860.902  18.194  81.806  
862.406  18.237  81.763  
863.910  18.281  81.719  
865.414  18.324  81.676  
866.917  18.367  81.633  
868.421  18.410  81.590  
869.925  18.453  81.547  
871.429  18.495  81.505  
872.932  18.537  81.463  
874.436  18.579  81.421  
875.940  18.622  81.378  
877.444  18.663  81.337  
878.947  18.705  81.295  
880.451  18.745  81.255  
881.955  18.784  81.216  
883.459  18.821  81.179  
884.962  18.859  81.141  
886.466  18.896  81.104  
887.970  18.934  81.066  
889.474  18.970  81.030  
890.977  19.007  80.993  
892.481  19.044  80.956  
893.985  19.081  80.919  
895.489  19.117  80.883  
896.992  19.153  80.847  
898.496  19.189  80.811  
900.000  19.225  80.775  
