# lams, psi_mean, delta_mean
927.510400 45.000000 271.716102
927.112300 45.000000 275.595345
926.714100 16.078248 288.393304
926.315800 23.669405 268.778479
925.917400 1.131057 91.548550
925.519000 9.489627 274.261425
925.120400 26.257220 275.300724
924.721800 18.988000 278.655524
924.323100 12.203277 288.474705
923.924300 4.018945 12.519178
923.525500 12.468933 75.381927
923.126500 36.907020 102.701716
922.727500 15.725418 75.360062
922.328300 10.497227 37.669737
921.929100 16.462832 30.973458
921.529800 16.715709 12.127273
921.130500 18.789976 16.173810
920.731100 15.706219 359.439706
920.331500 19.153041 21.455602
919.931900 22.830018 46.395164
919.532200 27.989030 67.210396
919.132400 45.000000 87.638081
918.732600 29.990272 69.108754
918.332600 18.982000 71.931450
917.932600 18.354674 59.664586
917.532500 27.024452 331.054930
917.132300 45.000000 340.455262
916.732100 45.000000 108.599904
916.331700 21.536846 178.727473
915.931300 45.000000 223.234369
915.530800 45.000000 61.651278
915.130200 8.533328 60.737887
914.729500 3.308895 107.911410
914.328700 6.454379 97.959992
913.927900 3.142803 67.875956
913.527000 2.956240 42.020012
913.125900 8.165077 44.929396
912.724900 9.615675 45.853653
912.323700 8.952062 50.622210
911.922400 8.550800 45.890503
911.521100 13.634926 75.302668
911.119600 45.000000 352.358064
910.718100 45.000000 200.608466
910.316500 45.000000 166.445875
909.914900 45.000000 151.586046
909.513100 45.000000 161.432025
909.111300 45.000000 167.558778
908.709300 45.000000 169.824300
908.307300 45.000000 172.426758
907.905200 45.000000 167.167598
907.503100 45.000000 159.201359
907.100800 45.000000 154.166953
906.698400 45.000000 140.680562
906.296000 45.000000 122.014622
905.893500 45.000000 117.752638
905.490900 45.000000 119.421094
905.088300 45.000000 108.610243
904.685500 20.380715 72.032650
904.282600 27.968017 6.341847
903.879700 28.561055 193.732282
903.476700 6.815659 90.031605
903.073600 4.250501 86.093970
902.670400 3.873788 87.525647
902.267200 1.894226 76.167765
901.863800 3.300753 284.449642
901.460400 0.669122 79.955544
901.056900 11.313173 279.175943
900.653300 45.000000 226.197217
900.249600 18.171498 47.838303
899.845800 45.000000 45.718229
899.442000 45.000000 32.437935
899.038000 45.000000 30.935151
898.634000 45.000000 210.409421
898.229900 45.000000 197.600966
897.825700 45.000000 35.038031
897.421400 45.000000 57.422723
897.017100 45.000000 84.571833
896.612700 45.000000 128.665111
896.208100 45.000000 93.894035
895.803500 45.000000 89.649356
895.398900 45.000000 85.746520
894.994100 34.582746 82.262987
894.589200 12.586996 68.505996
894.184300 10.117908 302.720164
893.779200 4.631129 43.333421
893.374100 5.482959 25.721345
892.968900 8.758311 354.606683
892.563700 7.198659 330.109638
892.158300 9.055118 257.800538
891.752800 3.297520 18.723119
891.347300 5.319130 58.807898
890.941700 8.545750 74.199209
890.535900 9.032830 80.333054
890.130200 7.386452 87.592011
889.724300 5.494376 158.228731
889.318400 3.649183 40.125299
888.912300 9.296479 22.007632
888.506200 9.299594 37.609081
888.100000 14.618311 57.667664
887.693700 17.999480 60.473722
887.287300 17.929567 61.391648
886.880800 18.403211 65.002769
886.474300 12.647455 67.551571
886.067600 10.374231 79.588783
885.660900 8.256162 104.875104
885.254100 10.856194 78.666275
884.847200 10.369331 78.693241
884.440200 10.035303 77.448798
884.033200 14.975699 78.227482
883.626000 14.860494 76.540422
883.218800 16.871725 76.388214
882.811500 13.621751 31.498174
882.404100 6.944550 124.182385
881.996600 45.000000 174.883608
881.589000 45.000000 185.957883
881.181300 45.000000 15.494431
880.773600 45.000000 339.490592
