Source : TiO2_SiO2_Si.D1.14h 06mn 27s.spe
Spectrum : 1

Wavelength	Psi	Delta
905.0883	6.504	54.478
904.6855	5.504	36.361
904.2826	6.270	15.526
903.8797	21.585	194.795
903.4767	84.344	77.374
903.0736	74.764	64.696
902.6704	83.835	38.653
902.2672	85.384	337.882
901.8638	83.817	302.245
901.4604	86.362	334.570
901.0569	80.609	286.379
900.6533	68.767	229.644
900.2496	64.500	34.889
899.8458	40.627	41.319
899.4420	43.368	30.539
899.0380	41.875	29.930
898.6340	40.464	29.295
898.2299	51.242	199.231
897.8257	39.971	35.025
897.4214	42.052	53.017
897.0171	48.305	73.116
896.6127	55.412	116.633
896.2081	48.459	80.990
895.8035	45.505	76.175
895.3989	42.985	72.210
894.9941	38.059	65.149
894.5892	26.281	34.219
894.1843	26.134	311.211
893.7792	13.588	354.761
893.3741	9.949	346.452
892.9689	14.055	335.026
892.5637	22.289	315.480
892.1583	51.758	229.062
891.7528	10.841	26.354
891.3473	18.671	47.861
890.9417	28.771	57.907
890.5359	30.804	61.231
890.1302	33.510	64.588
889.7243	54.447	160.296
889.3184	32.032	23.016
888.9123	34.722	12.048
888.5062	45.035	28.760
888.1000	34.045	38.466
887.6937	36.719	42.069
887.2873	38.448	42.582
886.8808	43.466	46.311
886.4743	40.086	47.990
886.0676	46.401	61.063
885.6609	63.824	107.221
885.2541	39.451	60.636
884.8472	37.450	61.522
884.4402	38.296	61.085
884.0332	40.440	61.760
883.6260	60.060	60.527
883.2188	41.051	61.133
882.8115	48.713	0.868
882.4041	19.991	123.219
881.9966	63.069	342.162
881.5890	61.102	351.248
881.1813	62.289	357.864
880.7736	60.998	343.698
880.3658	59.752	338.807
879.9579	58.501	329.458
879.5499	57.970	326.318
879.1418	31.838	132.163
878.7336	31.476	97.676
878.3253	31.769	139.254
877.9170	35.176	137.979
877.5085	42.362	135.211
877.1000	39.981	124.692
876.6915	41.795	111.410
876.2828	50.222	97.392
875.8740	57.020	72.336
875.4651	43.775	93.181
875.0562	41.647	94.776
874.6472	28.218	89.362
874.2380	42.944	315.407
873.8289	44.556	75.814
873.4196	54.954	80.156
873.0102	48.967	79.985
872.6007	47.017	81.316
872.1912	47.530	69.341
871.7816	43.198	67.259
871.3718	43.426	56.663
870.9620	67.780	82.656
870.5521	76.416	199.136
870.1422	71.723	198.372
869.7321	68.468	98.190
869.3219	63.168	74.345
868.9117	54.669	66.226
868.5013	51.031	62.341
868.0909	49.000	60.361
867.6805	48.974	60.976
867.2699	49.448	60.759
866.8592	49.009	60.015
866.4485	45.037	58.018
866.0376	45.702	54.271
865.6267	41.489	58.534
865.2157	41.499	61.408
864.8046	42.712	63.813
864.3934	42.488	65.828
863.9821	43.648	69.373
863.5707	41.927	67.985
863.1593	39.450	69.019
862.7477	37.761	63.310
862.3361	37.367	58.001
861.9244	41.472	53.987
861.5126	38.652	57.506
861.1008	35.212	59.879
860.6888	34.169	60.645
860.2767	35.790	58.953
859.8646	36.626	60.199
859.4523	35.504	56.345
859.0400	37.915	55.402
858.6276	40.253	54.804
858.2151	42.390	57.002
857.8026	43.277	58.820
857.3899	43.661	61.429
856.9771	44.038	62.235
856.5643	44.600	61.703
856.1514	44.545	61.901
855.7383	44.901	60.586
855.3253	45.222	60.136
854.9120	45.319	60.554
854.4988	45.319	58.702
854.0854	45.559	59.071
853.6719	45.964	60.312
853.2584	45.723	59.526
852.8448	45.883	58.947
852.4311	46.167	58.955
852.0173	45.928	57.739
851.6034	45.994	57.575
851.1894	45.108	57.318
850.7753	44.788	57.225
850.3612	44.358	57.601
849.9470	44.264	58.118
849.5326	43.975	57.984
849.1182	43.716	57.662
848.7037	43.405	57.652
848.2891	43.538	57.906
847.8744	43.684	57.845
847.4597	43.523	57.592
847.0448	43.117	57.529
846.6298	42.804	57.371
846.2148	43.175	57.085
845.7997	42.835	56.926
845.3845	42.891	56.827
844.9692	42.343	56.780
844.5538	41.905	56.760
844.1383	41.864	56.684
843.7227	41.592	56.714
843.3071	41.782	56.479
842.8914	41.577	56.452
842.4755	41.809	56.458
842.0596	41.637	56.437
841.6436	41.166	56.274
841.2275	41.125	56.056
840.8113	41.249	56.022
840.3951	41.542	55.781
839.9787	41.620	55.794
839.5623	42.135	55.855
839.1457	42.300	56.130
838.7291	42.462	56.089
838.3124	42.630	56.015
837.8956	42.598	56.003
837.4787	42.471	55.915
837.0617	42.521	55.759
836.6447	42.422	55.666
836.2275	42.382	55.591
835.8102	42.349	55.371
835.3929	42.285	55.227
834.9755	42.245	55.078
834.5579	42.160	54.947
834.1403	42.022	54.959
833.7227	42.110	54.935
833.3049	42.100	54.839
832.8870	42.030	54.726
832.4691	42.141	54.764
832.0510	42.120	54.648
831.6329	42.184	54.560
831.2146	42.274	54.417
830.7963	42.230	54.308
830.3779	42.288	54.173
829.9594	42.303	54.098
829.5408	42.294	54.007
829.1221	42.289	53.924
828.7034	42.340	53.904
828.2845	42.377	53.841
827.8656	42.376	53.768
827.4465	42.413	53.696
827.0275	42.449	53.591
826.6082	42.437	53.544
826.1889	42.449	53.465
825.7695	42.460	53.407
825.3500	42.442	53.349
824.9305	42.419	53.322
824.5108	42.416	53.270
824.0911	42.382	53.186
823.6713	42.316	53.133
823.2513	42.296	53.101
822.8313	42.306	53.067
822.4112	42.278	53.057
821.9910	42.326	53.068
821.5707	42.328	53.021
821.1503	42.287	52.994
820.7299	42.234	52.951
820.3093	42.238	52.935
819.8886	42.363	52.910
819.4679	42.382	52.869
819.0471	42.392	52.849
818.6262	42.385	52.806
818.2051	42.410	52.743
817.7841	42.384	52.714
817.3629	42.359	52.704
816.9416	42.358	52.701
816.5202	42.318	52.657
816.0988	42.287	52.641
815.6772	42.278	52.562
815.2556	42.310	52.523
814.8338	42.333	52.502
814.4120	42.325	52.457
813.9901	42.286	52.479
813.5681	42.336	52.479
813.1460	42.339	52.415
812.7238	42.337	52.395
812.3015	42.332	52.321
811.8792	42.305	52.322
811.4567	42.314	52.304
811.0341	42.369	52.263
810.6115	42.348	52.300
810.1888	42.339	52.233
809.7659	42.382	52.168
809.3430	42.424	52.114
808.9200	42.452	52.013
808.4969	42.501	51.936
808.0737	42.571	51.876
807.6505	42.582	51.856
807.2271	42.595	51.827
806.8036	42.642	51.733
806.3801	42.698	51.673
805.9564	42.768	51.594
805.5327	42.823	51.536
805.1089	42.900	51.445
804.6850	42.933	51.400
804.2610	42.961	51.342
803.8369	43.000	51.280
803.4127	43.068	51.226
802.9884	43.112	51.190
802.5640	43.136	51.150
802.1396	43.164	51.098
801.7150	43.210	51.068
801.2903	43.282	50.992
800.8657	43.333	50.961
800.4408	43.371	50.898
800.0159	43.414	50.870
799.5909	43.453	50.799
799.1658	43.481	50.761
798.7406	43.508	50.686
798.3153	43.573	50.643
797.8899	43.618	50.566
797.4644	43.636	50.526
797.0389	43.655	50.443
796.6132	43.678	50.372
796.1875	43.724	50.315
795.7617	43.755	50.253
795.3357	43.832	50.183
794.9097	43.885	50.099
794.4836	43.947	50.000
794.0574	43.985	49.973
793.6310	44.002	49.903
793.2047	44.054	49.809
792.7782	44.094	49.752
792.3516	44.130	49.709
791.9249	44.142	49.663
791.4982	44.199	49.601
791.0714	44.233	49.558
790.6444	44.265	49.514
790.2173	44.332	49.460
789.7902	44.379	49.389
789.3630	44.422	49.325
788.9357	44.466	49.293
788.5083	44.499	49.239
788.0807	44.513	49.214
787.6532	44.538	49.163
787.2255	44.577	49.123
786.7977	44.612	49.033
786.3699	44.620	48.987
785.9419	44.653	48.944
785.5139	44.696	48.899
785.0857	44.720	48.842
784.6575	44.760	48.760
784.2291	44.794	48.721
783.8007	44.828	48.662
783.3722	44.869	48.611
782.9435	44.928	48.550
782.5148	44.959	48.498
782.0861	44.972	48.475
781.6572	44.988	48.451
781.2282	45.020	48.408
780.7991	45.064	48.376
780.3699	45.109	48.333
779.9407	45.158	48.291
779.5113	45.192	48.251
779.0818	45.260	48.186
778.6523	45.312	48.105
778.2227	45.363	48.026
777.7930	45.410	47.983
777.3632	45.463	47.931
776.9332	45.521	47.875
776.5032	45.566	47.822
776.0731	45.607	47.765
775.6429	45.645	47.695
775.2126	45.711	47.642
774.7822	45.777	47.591
774.3517	45.812	47.563
773.9212	45.848	47.506
773.4905	45.884	47.464
773.0598	45.920	47.408
772.6289	45.970	47.343
772.1980	46.036	47.263
771.7669	46.072	47.195
771.3358	46.116	47.139
770.9046	46.159	47.081
770.4733	46.198	47.032
770.0419	46.237	46.985
769.6104	46.282	46.937
769.1787	46.317	46.893
768.7471	46.362	46.846
768.3152	46.406	46.798
767.8834	46.450	46.714
767.4514	46.504	46.627
767.0193	46.559	46.564
766.5872	46.610	46.492
766.1549	46.663	46.420
765.7225	46.715	46.378
765.2901	46.768	46.334
764.8575	46.811	46.292
764.4249	46.842	46.229
763.9922	46.877	46.170
763.5593	46.942	46.091
763.1264	46.999	46.046
