Source : TiO2_SiO2_Si_muestra2.X1.14h 13mn 58s.spe
Spectrum : 1

Wavelength	Psi	Delta
905.0883	2.127	49.798
904.6855	1.943	35.698
904.2826	2.150	14.187
903.8797	10.560	198.291
903.4767	88.953	50.317
903.0736	81.307	18.668
902.6704	84.510	335.616
902.2672	82.047	314.333
901.8638	81.067	299.623
901.4604	84.497	320.141
901.0569	79.467	290.963
900.6533	63.452	235.036
900.2496	55.020	26.792
899.8458	39.150	39.051
899.4420	46.613	28.441
899.0380	43.633	208.431
898.6340	44.477	208.202
898.2299	46.271	196.126
897.8257	46.011	214.940
897.4214	43.812	51.371
897.0171	45.106	65.590
896.6127	46.297	94.398
896.2081	49.241	70.812
895.8035	45.789	66.116
895.3989	43.602	62.778
894.9941	38.795	54.422
894.5892	25.735	22.205
894.1843	26.741	283.479
893.7792	15.196	335.027
893.3741	13.931	329.870
892.9689	13.983	315.714
892.5637	27.256	268.607
892.1583	47.759	184.581
891.7528	11.442	19.715
891.3473	17.116	34.952
890.9417	24.120	42.617
890.5359	25.411	44.320
890.1302	26.413	44.949
889.7243	34.042	136.708
889.3184	26.382	11.754
888.9123	34.386	2.268
888.5062	48.932	21.741
888.1000	33.766	27.958
887.6937	36.510	31.941
887.2873	38.447	32.416
886.8808	43.620	35.921
886.4743	40.112	37.734
886.0676	46.774	48.487
885.6609	66.457	91.005
885.2541	40.846	47.278
884.8472	38.834	48.191
884.4402	39.402	47.789
884.0332	41.072	48.489
883.6260	65.177	47.684
883.2188	41.068	49.065
882.8115	50.522	348.529
882.4041	21.450	118.936
881.9966	63.604	334.809
881.5890	62.120	344.651
881.1813	63.211	351.265
880.7736	61.850	341.183
880.3658	60.729	338.039
879.9579	60.290	329.354
879.5499	59.069	326.784
879.1418	31.834	132.962
878.7336	35.432	94.549
878.3253	32.753	140.802
877.9170	36.067	140.324
877.5085	43.185	138.201
877.1000	40.372	129.206
876.6915	41.861	117.126
876.2828	50.253	99.887
875.8740	57.827	64.533
875.4651	43.742	94.011
875.0562	41.776	95.797
874.6472	27.485	85.729
874.2380	44.182	316.646
873.8289	46.886	65.180
873.4196	56.394	68.153
873.0102	50.065	68.174
