Source : SiO2_2mm_muestra2.M1.12h 02mn 31s.spe
Spectrum : 1

Wavelength	Psi	Delta
905.0883	10.804	50.522
904.6855	6.689	67.879
904.2826	2.009	336.262
903.8797	32.436	249.989
903.4767	12.610	153.824
903.0736	32.381	158.879
902.6704	27.217	156.854
902.2672	22.926	162.082
901.8638	19.532	166.492
901.4604	17.824	159.624
901.0569	32.295	316.948
900.6533	22.083	176.928
900.2496	2.997	208.855
899.8458	5.578	356.116
899.4420	74.133	173.732
899.0380	70.728	175.365
898.6340	69.695	176.412
898.2299	65.376	174.939
897.8257	77.512	178.128
897.4214	3.865	163.845
897.0171	14.278	171.698
896.6127	22.696	172.746
896.2081	18.174	173.072
895.8035	18.742	170.435
895.3989	16.933	167.215
894.9941	15.040	164.004
894.5892	9.644	156.318
894.1843	2.573	49.943
893.7792	6.897	148.358
893.3741	4.090	144.579
892.9689	2.019	8.169
892.5637	6.493	338.279
892.1583	9.243	335.492
891.7528	6.629	335.596
891.3473	6.972	326.037
890.9417	5.803	318.077
890.5359	3.050	303.375
890.1302	2.933	252.431
889.7243	5.894	213.821
889.3184	7.671	321.845
888.9123	8.268	356.969
888.5062	6.906	358.505
888.1000	6.126	117.063
887.6937	6.630	115.187
887.2873	7.145	117.110
886.8808	8.028	120.275
886.4743	5.596	128.957
886.0676	7.923	135.623
885.6609	9.468	140.146
885.2541	8.513	129.116
884.8472	8.531	123.952
884.4402	8.960	116.779
884.0332	11.617	120.178
883.6260	11.172	116.571
883.2188	14.484	113.487
882.8115	12.944	90.107
882.4041	4.705	134.171
881.9966	5.489	184.004
881.5890	6.439	217.064
881.1813	9.395	234.613
880.7736	22.927	243.641
880.3658	36.684	208.350
879.9579	48.931	256.887
879.5499	41.808	149.347
879.1418	39.334	119.355
878.7336	35.072	113.154
878.3253	35.389	113.532
877.9170	35.293	112.673
877.5085	35.137	112.112
877.1000	34.453	112.784
876.6915	32.539	114.754
876.2828	31.920	139.497
875.8740	43.058	266.742
875.4651	14.965	144.478
875.0562	11.665	172.195
874.6472	9.071	289.335
874.2380	45.279	323.901
873.8289	63.943	275.350
873.4196	72.100	250.505
873.0102	62.641	226.653
872.6007	37.604	190.966
872.1912	15.380	112.220
871.7816	11.412	109.296
871.3718	11.829	104.217
