Source : TiO2_Si_Sputtering_50min_muestra2.D1.11h 07mn 53s
Spectrum : 1

Wavelength	Psi	Delta
726.4210	10.108	167.268
725.9799	10.110	167.265
725.5388	10.111	167.245
725.0975	10.115	167.229
724.6562	10.118	167.223
724.2147	10.115	167.216
723.7732	10.114	167.220
723.3315	10.112	167.218
722.8898	10.114	167.221
722.4479	10.115	167.227
722.0060	10.114	167.235
721.5640	10.121	167.206
721.1218	10.123	167.207
720.6796	10.124	167.209
720.2373	10.123	167.206
719.7949	10.122	167.216
719.3524	10.124	167.224
718.9097	10.125	167.222
718.4670	10.126	167.212
718.0242	10.135	167.197
717.5813	10.137	167.192
717.1383	10.137	167.200
716.6952	10.141	167.190
716.2520	10.144	167.194
715.8087	10.148	167.196
715.3653	10.152	167.199
714.9218	10.153	167.211
714.4782	10.156	167.210
714.0345	10.161	167.183
713.5907	10.165	167.181
713.1469	10.166	167.158
712.7028	10.170	167.162
712.2588	10.176	167.146
711.8146	10.183	167.126
711.3703	10.190	167.103
710.9259	10.197	167.080
710.4814	10.201	167.073
710.0369	10.208	167.080
709.5922	10.212	167.080
709.1474	10.218	167.082
708.7026	10.224	167.087
708.2576	10.229	167.082
707.8125	10.236	167.069
707.3674	10.244	167.037
706.9221	10.251	167.024
706.4767	10.258	167.007
706.0313	10.265	166.980
705.5857	10.275	166.960
705.1401	10.284	166.960
704.6943	10.292	166.958
704.2484	10.298	166.950
703.8025	10.304	166.934
703.3564	10.312	166.900
702.9103	10.322	166.892
702.4641	10.330	166.881
702.0177	10.339	166.862
701.5712	10.348	166.847
701.1247	10.356	166.834
700.6780	10.363	166.836
700.2313	10.371	166.813
699.7844	10.379	166.805
699.3375	10.388	166.804
698.8904	10.395	166.783
698.4433	10.400	166.772
697.9961	10.411	166.728
697.5488	10.417	166.709
697.1013	10.423	166.699
696.6537	10.429	166.708
696.2061	10.436	166.702
695.7584	10.443	166.703
695.3105	10.451	166.690
694.8626	10.456	166.678
694.4146	10.464	166.668
693.9664	10.473	166.656
693.5182	10.484	166.655
693.0699	10.492	166.652
692.6215	10.500	166.649
692.1729	10.506	166.639
691.7243	10.512	166.637
691.2756	10.521	166.640
690.8267	10.528	166.625
690.3778	10.537	166.612
689.9288	10.543	166.601
689.4797	10.550	166.597
689.0304	10.555	166.586
688.5811	10.562	166.580
688.1317	10.567	166.588
687.6821	10.572	166.587
687.2325	10.578	166.574
686.7828	10.583	166.554
686.3329	10.590	166.547
685.8830	10.598	166.530
685.4330	10.606	166.522
684.9828	10.612	166.509
684.5327	10.617	166.503
684.0823	10.623	166.498
683.6319	10.629	166.497
683.1813	10.633	166.497
682.7307	10.642	166.477
682.2800	10.647	166.472
681.8292	10.653	166.471
681.3782	10.660	166.473
680.9272	10.663	166.478
680.4761	10.668	166.468
680.0248	10.672	166.471
679.5735	10.677	166.472
679.1221	10.682	166.465
678.6705	10.687	166.455
678.2189	10.691	166.445
677.7672	10.696	166.432
677.3154	10.701	166.430
676.8634	10.708	166.430
676.4114	10.711	166.426
