Source : TiO2_Si_Sputtering_50min_sincinta.Y1.13h 57mn 08s
Spectrum : 1

Wavelength	Psi	Delta
726.4210	8.736	165.675
725.9799	8.738	165.700
725.5388	8.739	165.676
725.0975	8.743	165.668
724.6562	8.747	165.666
724.2147	8.745	165.684
723.7732	8.745	165.685
723.3315	8.745	165.713
722.8898	8.749	165.711
722.4479	8.749	165.728
722.0060	8.749	165.753
721.5640	8.755	165.751
721.1218	8.757	165.752
720.6796	8.759	165.761
720.2373	8.761	165.769
719.7949	8.760	165.792
719.3524	8.763	165.811
718.9097	8.761	165.812
718.4670	8.762	165.797
718.0242	8.769	165.801
717.5813	8.771	165.801
717.1383	8.776	165.801
716.6952	8.781	165.773
716.2520	8.782	165.782
715.8087	8.785	165.762
715.3653	8.789	165.748
714.9218	8.791	165.758
714.4782	8.795	165.754
714.0345	8.799	165.744
713.5907	8.803	165.741
713.1469	8.805	165.731
712.7028	8.806	165.722
712.2588	8.811	165.707
711.8146	8.816	165.694
711.3703	8.821	165.675
710.9259	8.826	165.647
710.4814	8.829	165.642
710.0369	8.835	165.641
709.5922	8.839	165.647
709.1474	8.844	165.631
708.7026	8.848	165.633
708.2576	8.854	165.616
707.8125	8.858	165.602
707.3674	8.864	165.592
706.9221	8.870	165.571
706.4767	8.876	165.557
706.0313	8.881	165.516
705.5857	8.888	165.495
705.1401	8.896	165.487
704.6943	8.903	165.463
704.2484	8.907	165.455
703.8025	8.911	165.458
703.3564	8.919	165.420
702.9103	8.927	165.413
702.4641	8.935	165.406
702.0177	8.942	165.404
701.5712	8.949	165.393
701.1247	8.961	165.381
700.6780	8.969	165.381
700.2313	8.977	165.391
699.7844	8.986	165.387
699.3375	8.994	165.368
698.8904	9.002	165.335
698.4433	9.010	165.327
697.9961	9.019	165.309
697.5488	9.027	165.303
697.1013	9.032	165.302
696.6537	9.037	165.300
696.2061	9.046	165.283
695.7584	9.053	165.264
695.3105	9.062	165.251
694.8626	9.070	165.234
694.4146	9.076	165.222
693.9664	9.085	165.212
693.5182	9.097	165.214
693.0699	9.105	165.210
692.6215	9.114	165.198
692.1729	9.121	165.177
691.7243	9.129	165.175
691.2756	9.137	165.167
690.8267	9.143	165.161
690.3778	9.154	165.141
689.9288	9.163	165.131
689.4797	9.172	165.126
689.0304	9.180	165.123
688.5811	9.188	165.137
688.1317	9.194	165.134
687.6821	9.200	165.142
687.2325	9.209	165.119
686.7828	9.216	165.130
686.3329	9.224	165.143
685.8830	9.231	165.147
685.4330	9.241	165.133
684.9828	9.249	165.124
684.5327	9.255	165.109
684.0823	9.262	165.110
683.6319	9.268	165.109
683.1813	9.272	165.119
682.7307	9.281	165.101
682.2800	9.288	165.090
681.8292	9.297	165.096
681.3782	9.305	165.096
680.9272	9.310	165.088
680.4761	9.318	165.083
680.0248	9.320	165.084
679.5735	9.326	165.093
679.1221	9.330	165.084
678.6705	9.335	165.076
678.2189	9.340	165.078
677.7672	9.345	165.070
677.3154	9.348	165.070
676.8634	9.354	165.071
676.4114	9.358	165.058
675.9592	9.361	165.052
