Source : TiO2_Si_Sputtering_50min_muestra2_sincinta.Z1.13h 53mn 55s
Spectrum : 1

Wavelength	Psi	Delta
726.8619	9.416	168.024
726.4210	9.415	168.040
725.9799	9.417	168.055
725.5388	9.418	168.045
725.0975	9.421	168.029
724.6562	9.422	168.054
724.2147	9.420	168.079
723.7732	9.419	168.085
723.3315	9.418	168.111
722.8898	9.421	168.118
722.4479	9.421	168.132
722.0060	9.421	168.129
721.5640	9.427	168.119
721.1218	9.427	168.128
720.6796	9.428	168.127
720.2373	9.430	168.116
719.7949	9.429	168.115
719.3524	9.433	168.110
718.9097	9.432	168.114
718.4670	9.433	168.093
718.0242	9.441	168.081
717.5813	9.443	168.063
717.1383	9.445	168.061
716.6952	9.448	168.044
716.2520	9.450	168.033
715.8087	9.456	168.000
715.3653	9.459	167.983
714.9218	9.459	167.999
714.4782	9.462	168.008
714.0345	9.468	167.986
713.5907	9.473	167.978
713.1469	9.474	167.960
712.7028	9.474	167.939
712.2588	9.480	167.927
711.8146	9.487	167.935
711.3703	9.493	167.907
710.9259	9.500	167.880
710.4814	9.504	167.865
710.0369	9.510	167.859
709.5922	9.516	167.859
709.1474	9.521	167.858
708.7026	9.527	167.842
708.2576	9.532	167.833
707.8125	9.537	167.828
707.3674	9.544	167.811
706.9221	9.552	167.789
706.4767	9.558	167.772
706.0313	9.564	167.741
705.5857	9.572	167.737
705.1401	9.581	167.735
704.6943	9.586	167.731
704.2484	9.592	167.715
703.8025	9.598	167.701
703.3564	9.605	167.668
702.9103	9.615	167.646
702.4641	9.623	167.620
702.0177	9.630	167.608
701.5712	9.637	167.593
701.1247	9.646	167.592
700.6780	9.651	167.597
700.2313	9.657	167.594
699.7844	9.663	167.587
699.3375	9.672	167.577
698.8904	9.678	167.557
698.4433	9.686	167.552
697.9961	9.695	167.523
697.5488	9.701	167.527
697.1013	9.706	167.515
696.6537	9.712	167.511
696.2061	9.721	167.504
695.7584	9.727	167.506
695.3105	9.734	167.486
694.8626	9.740	167.477
694.4146	9.747	167.458
693.9664	9.755	167.451
693.5182	9.767	167.451
693.0699	9.775	167.475
692.6215	9.786	167.469
692.1729	9.793	167.473
691.7243	9.799	167.490
691.2756	9.808	167.473
690.8267	9.815	167.462
690.3778	9.824	167.449
689.9288	9.831	167.447
689.4797	9.840	167.438
689.0304	9.846	167.425
688.5811	9.854	167.425
688.1317	9.860	167.413
687.6821	9.866	167.406
687.2325	9.875	167.389
686.7828	9.881	167.385
686.3329	9.889	167.383
685.8830	9.896	167.385
685.4330	9.906	167.370
684.9828	9.915	167.372
684.5327	9.920	167.365
684.0823	9.927	167.353
683.6319	9.936	167.346
683.1813	9.942	167.341
682.7307	9.950	167.331
682.2800	9.956	167.328
681.8292	9.964	167.328
681.3782	9.971	167.329
680.9272	9.973	167.325
680.4761	9.980	167.328
680.0248	9.984	167.324
679.5735	9.991	167.317
679.1221	9.995	167.324
678.6705	10.001	167.324
678.2189	10.006	167.332
677.7672	10.011	167.317
677.3154	10.016	167.315
676.8634	10.022	167.321
676.4114	10.024	167.317
675.9592	10.030	167.311
675.5070	10.036	167.302
675.0547	10.041	167.295
674.6022	10.043	167.288
674.1497	10.047	167.283
673.6971	10.049	167.286
673.2443	10.054	167.291
672.7915	10.058	167.278
672.3386	10.060	167.272
671.8855	10.064	167.257
671.4324	10.066	167.250
670.9791	10.072	167.241
670.5258	10.076	167.224
670.0723	10.079	167.211
669.6188	10.081	167.213
669.1651	10.084	167.211
668.7114	10.088	167.210
668.2575	10.088	167.212
667.8035	10.092	167.198
667.3495	10.096	167.188
666.8953	10.099	167.188
666.4411	10.102	167.178
665.9868	10.105	167.177
665.5323	10.109	167.168
665.0777	10.112	167.156
664.6230	10.115	167.153
664.1683	10.118	167.166
663.7134	10.120	167.163
663.2584	10.123	167.149
662.8034	10.126	167.144
662.3482	10.130	167.141
661.8929	10.133	167.140
661.4376	10.136	167.135
660.9821	10.137	167.131
660.5265	10.141	167.132
660.0708	10.144	167.130
659.6151	10.148	167.124
659.1592	10.153	167.116
658.7032	10.157	167.102
658.2471	10.159	167.092
657.7909	10.161	167.084
657.3346	10.166	167.085
656.8782	10.171	167.098
656.4218	10.174	167.089
655.9651	10.178	167.081
655.5084	10.181	167.066
655.0516	10.183	167.069
654.5947	10.186	167.069
654.1377	10.190	167.063
653.6806	10.193	167.064
653.2234	10.196	167.065
652.7661	10.201	167.075
652.3087	10.205	167.067
651.8511	10.208	167.066
651.3936	10.214	167.061
650.9358	10.220	167.064
650.4780	10.226	167.070
650.0201	10.233	167.080
649.5620	10.237	167.085
649.1039	10.241	167.088
648.6457	10.244	167.071
648.1873	10.251	167.064
647.7289	10.255	167.057
647.2703	10.259	167.049
646.8117	10.263	167.042
646.3530	10.269	167.039
645.8941	10.271	167.040
645.4351	10.274	167.034
644.9761	10.280	167.043
644.5169	10.283	167.035
644.0577	10.288	167.020
643.5983	10.291	167.013
643.1389	10.297	167.012
642.6793	10.300	167.003
642.2196	10.302	166.997
641.7598	10.308	166.997
641.2999	10.313	166.978
640.8400	10.319	166.971
640.3799	10.323	166.963
639.9197	10.329	166.953
639.4594	10.333	166.943
638.9990	10.336	166.931
638.5385	10.340	166.926
638.0779	10.341	166.917
637.6172	10.344	166.908
637.1564	10.347	166.909
636.6954	10.351	166.901
636.2344	10.356	166.885
635.7733	10.359	166.872
635.3121	10.360	166.860
634.8508	10.364	166.846
634.3893	10.369	166.831
633.9278	10.377	166.828
633.4662	10.387	166.811
633.0044	10.391	166.809
632.5425	10.393	166.809
632.0806	10.397	166.804
631.6186	10.394	166.801
631.1564	10.397	166.806
630.6942	10.395	166.790
630.2318	10.396	166.769
629.7693	10.390	166.763
629.3068	10.396	166.750
628.8441	10.392	166.741
628.3813	10.402	166.737
627.9184	10.408	166.733
627.4554	10.419	166.746
626.9923	10.421	166.726
626.5291	10.415	166.732
626.0658	10.415	166.719
625.6024	10.418	166.718
625.1389	10.422	166.763
624.6753	10.426	166.774
624.2115	10.419	166.808
623.7477	10.417	166.831
623.2838	10.431	166.866
622.8198	10.437	166.878
622.3557	10.436	166.785
621.8914	10.435	166.703
621.4271	10.433	166.613
620.9626	10.424	166.506
620.4980	10.407	166.414
620.0334	10.406	166.321
619.5687	10.412	166.221
619.1038	10.407	166.143
618.6388	10.398	166.060
618.1737	10.398	165.985
617.7086	10.388	165.908
617.2433	10.382	165.832
616.7779	10.379	165.759
616.3124	10.374	165.700
615.8468	10.363	165.648
615.3810	10.362	165.578
614.9153	10.352	165.524
614.4492	10.344	165.468
613.9833	10.338	165.430
613.5172	10.334	165.385
613.0510	10.332	165.348
612.5847	10.329	165.318
612.1182	10.328	165.291
611.6516	10.326	165.255
611.1850	10.325	165.233
610.7183	10.324	165.209
610.2514	10.324	165.191
609.7844	10.323	165.173
609.3173	10.326	165.159
608.8502	10.330	165.156
608.3829	10.332	165.167
607.9156	10.336	165.170
607.4480	10.343	165.178
606.9804	10.350	165.196
606.5127	10.358	165.204
606.0449	10.366	165.220
605.5770	10.373	165.247
605.1089	10.384	165.265
604.6408	10.394	165.281
604.1726	10.408	165.312
603.7042	10.422	165.343
603.2358	10.436	165.378
602.7673	10.449	165.424
602.2986	10.460	165.472
601.8298	10.472	165.510
601.3610	10.485	165.558
600.8920	10.500	165.606
600.4229	10.515	165.655
599.9537	10.532	165.707
599.4844	10.550	165.763
599.0150	10.569	165.824
598.5455	10.587	165.881
598.0759	10.605	165.934
597.6062	10.622	165.998
597.1364	10.641	166.063
596.6664	10.663	166.121
596.1964	10.681	166.200
595.7263	10.702	166.275
595.2560	10.719	166.346
594.7857	10.734	166.427
594.3152	10.751	166.493
593.8447	10.770	166.560
593.3741	10.788	166.627
592.9032	10.811	166.685
592.4323	10.833	166.741
591.9613	10.860	166.807
591.4902	10.886	166.871
591.0190	10.917	166.930
590.5477	10.937	166.993
590.0763	10.968	167.052
589.6048	10.983	167.113
589.1331	11.002	167.174
588.6614	11.012	167.203
588.1896	11.029	167.258
587.7176	11.054	167.282
587.2455	11.077	167.312
586.7734	11.094	167.329
586.3011	11.107	167.287
585.8287	11.115	167.264
585.3563	11.136	167.194
584.8837	11.155	167.122
584.4109	11.152	167.019
583.9382	11.155	166.904
583.4652	11.164	166.878
582.9922	11.172	166.836
582.5191	11.179	166.804
582.0458	11.191	166.789
581.5725	11.209	166.768
581.0991	11.213	166.747
580.6255	11.210	166.746
