#Lam(nm)  R%(0-100)  T%(0-100)
666.917  5.128  94.837  
668.421  5.209  94.755  
669.925  5.292  94.672  
671.429  5.374  94.591  
672.932  5.455  94.510  
674.436  5.537  94.428  
675.940  5.618  94.347  
677.444  5.701  94.266  
678.947  5.783  94.185  
680.451  5.864  94.104  
681.955  5.945  94.023  
683.459  6.027  93.941  
684.962  6.107  93.861  
686.466  6.188  93.780  
687.970  6.269  93.699  
689.474  6.349  93.620  
690.977  6.430  93.539  
692.481  6.509  93.459  
693.985  6.590  93.379  
695.489  6.669  93.300  
696.992  6.750  93.219  
698.496  6.830  93.140  
700.000  6.911  93.059  
701.504  6.990  92.979  
703.008  7.071  92.898  
704.511  7.150  92.819  
706.015  7.229  92.741  
707.519  7.309  92.661  
709.023  7.387  92.583  
710.526  7.465  92.505  
712.030  7.543  92.427  
713.534  7.621  92.349  
715.038  7.701  92.270  
716.541  7.778  92.192  
718.045  7.856  92.115  
719.549  7.934  92.037  
721.053  8.012  91.959  
722.556  8.088  91.883  
724.060  8.165  91.808  
725.564  8.243  91.730  
727.068  8.319  91.654  
728.571  8.394  91.579  
730.075  8.470  91.503  
731.579  8.547  91.427  
733.083  8.623  91.351  
734.586  8.698  91.275  
736.090  8.773  91.201  
737.594  8.848  91.126  
739.098  8.922  91.052  
740.602  8.997  90.977  
742.105  9.071  90.903  
743.609  9.145  90.829  
745.113  9.218  90.756  
746.617  9.291  90.684  
748.120  9.363  90.611  
749.624  9.435  90.539  
751.128  9.507  90.468  
752.632  9.579  90.396  
754.135  9.650  90.325  
755.639  9.721  90.254  
757.143  9.793  90.182  
758.647  9.865  90.110  
760.150  9.937  90.038  
761.654  10.009  89.966  
763.158  10.080  89.895  
764.662  10.151  89.824  
766.165  10.222  89.753  
767.669  10.292  89.684  
769.173  10.361  89.614  
770.677  10.430  89.545  
772.180  10.499  89.476  
773.684  10.568  89.408  
775.188  10.636  89.340  
776.692  10.703  89.274  
778.195  10.771  89.207  
779.699  10.837  89.141  
781.203  10.903  89.075  
782.707  10.970  89.008  
784.211  11.036  88.942  
785.714  11.102  88.876  
787.218  11.167  88.811  
788.722  11.233  88.745  
790.226  11.296  88.682  
791.729  11.361  88.617  
793.233  11.425  88.553  
794.737  11.489  88.489  
796.241  11.553  88.425  
797.744  11.616  88.362  
799.248  11.679  88.299  
800.752  11.743  88.236  
802.256  11.806  88.173  
803.759  11.867  88.111  
805.263  11.929  88.049  
806.767  11.992  87.987  
808.271  12.055  87.924  
809.774  12.116  87.863  
811.278  12.177  87.802  
812.782  12.239  87.740  
814.286  12.300  87.679  
815.789  12.360  87.619  
817.293  12.421  87.558  
818.797  12.482  87.497  
820.301  12.541  87.438  
821.805  12.602  87.378  
823.308  12.661  87.318  
824.812  12.720  87.260  
826.316  12.779  87.200  
827.820  12.838  87.142  
829.323  12.897  87.082  
830.827  12.957  87.023  
832.331  13.014  86.965  
833.835  13.073  86.907  
835.338  13.131  86.849  
836.842  13.188  86.793  
838.346  13.246  86.735  
839.850  13.303  86.679  
841.353  13.360  86.622  
842.857  13.416  86.566  
844.361  13.473  86.509  
845.865  13.530  86.452  
847.368  13.585  86.397  
848.872  13.641  86.341  
850.376  13.695  86.287  
851.880  13.751  86.231  
853.383  13.805  86.177  
854.887  13.860  86.122  
856.391  13.914  86.068  
857.895  13.968  86.014  
859.398  14.022  85.960  
860.902  14.075  85.907  
862.406  14.129  85.854  
863.910  14.181  85.801  
865.414  14.234  85.748  
866.917  14.286  85.696  
868.421  14.339  85.644  
869.925  14.390  85.592  
871.429  14.441  85.541  
872.932  14.493  85.489  
874.436  14.544  85.439  
875.940  14.595  85.387  
877.444  14.645  85.337  
878.947  14.696  85.286  
880.451  14.746  85.237  
881.955  14.795  85.188  
883.459  14.846  85.137  
884.962  14.894  85.089  
886.466  14.944  85.039  
887.970  14.992  84.991  
889.474  15.041  84.942  
890.977  15.090  84.894  
892.481  15.137  84.846  
893.985  15.186  84.797  
895.489  15.233  84.750  
896.992  15.280  84.704  
898.496  15.328  84.656  
900.000  15.374  84.609  
