#Lam(nm)  R%(0-100)  T%(0-100)
666.917  2.568  96.131  
668.421  2.607  96.442  
669.925  2.646  96.753  
671.429  2.682  96.988  
672.932  2.710  96.975  
674.436  2.736  96.963  
675.940  2.762  96.952  
677.444  2.788  96.940  
678.947  2.815  96.928  
680.451  2.842  96.916  
681.955  2.868  96.903  
683.459  2.895  96.891  
684.962  2.922  96.878  
686.466  2.949  96.865  
687.970  2.976  96.852  
689.474  3.003  96.839  
690.977  2.987  96.857  
692.481  2.978  96.866  
693.985  2.989  96.856  
695.489  3.000  96.845  
696.992  3.009  96.837  
698.496  3.015  96.831  
700.000  3.023  96.824  
701.504  3.034  96.813  
703.008  3.048  96.800  
704.511  3.063  96.786  
706.015  3.078  96.772  
707.519  3.093  96.757  
709.023  3.112  96.738  
710.526  3.132  96.719  
712.030  3.151  96.700  
713.534  3.171  96.680  
715.038  3.192  96.660  
716.541  3.210  96.642  
718.045  3.230  96.623  
719.549  3.249  96.604  
721.053  3.269  96.585  
722.556  3.292  96.563  
724.060  3.314  96.542  
725.564  3.337  96.520  
727.068  3.360  96.498  
728.571  3.381  96.478  
730.075  3.404  96.456  
731.579  3.426  96.435  
733.083  3.447  96.414  
734.586  3.469  96.392  
736.090  3.491  96.371  
737.594  3.513  96.349  
739.098  3.535  96.328  
740.602  3.560  96.303  
742.105  3.585  96.278  
743.609  3.609  96.255  
745.113  3.635  96.230  
746.617  3.658  96.206  
748.120  3.680  96.185  
749.624  3.701  96.164  
751.128  3.722  96.144  
752.632  3.743  96.123  
754.135  3.766  96.101  
755.639  3.791  96.076  
757.143  3.816  96.052  
758.647  3.842  96.028  
760.150  3.867  96.003  
761.654  3.893  95.979  
763.158  3.918  95.955  
764.662  3.944  95.928  
766.165  3.969  95.904  
767.669  3.994  95.879  
769.173  4.019  95.855  
770.677  4.044  95.830  
772.180  4.068  95.806  
773.684  4.095  95.780  
775.188  4.121  95.754  
776.692  4.147  95.728  
778.195  4.173  95.703  
779.699  4.199  95.677  
781.203  4.225  95.651  
782.707  4.249  95.628  
784.211  4.271  95.606  
785.714  4.295  95.584  
787.218  4.318  95.562  
788.722  4.341  95.539  
790.226  4.364  95.517  
791.729  4.388  95.494  
793.233  4.414  95.468  
794.737  4.442  95.441  
796.241  4.468  95.414  
797.744  4.495  95.388  
799.248  4.521  95.362  
800.752  4.545  95.338  
802.256  4.571  95.312  
803.759  4.595  95.289  
805.263  4.621  95.264  
806.767  4.645  95.240  
808.271  4.671  95.214  
809.774  4.695  95.190  
811.278  4.720  95.166  
812.782  4.746  95.140  
814.286  4.771  95.115  
815.789  4.796  95.090  
817.293  4.821  95.066  
818.797  4.847  95.040  
820.301  4.871  95.017  
821.805  4.895  94.993  
823.308  4.921  94.968  
824.812  4.945  94.945  
826.316  4.971  94.919  
827.820  5.001  94.890  
