#Lam(nm)  R%(0-100)  T%(0-100)
666.917  0.889  97.788  
668.421  0.838  98.194  
669.925  0.789  98.598  
671.429  0.748  98.916  
672.932  0.725  98.953  
674.436  0.705  98.988  
675.940  0.685  99.022  
677.444  0.666  99.057  
678.947  0.647  99.090  
680.451  0.628  99.124  
681.955  0.609  99.157  
683.459  0.590  99.191  
684.962  0.571  99.224  
686.466  0.552  99.257  
687.970  0.534  99.289  
689.474  0.515  99.322  
690.977  0.508  99.332  
692.481  0.500  99.340  
693.985  0.487  99.353  
695.489  0.475  99.367  
696.992  0.464  99.377  
698.496  0.457  99.385  
700.000  0.450  99.393  
701.504  0.441  99.402  
703.008  0.432  99.412  
704.511  0.423  99.422  
706.015  0.412  99.433  
707.519  0.401  99.444  
709.023  0.389  99.457  
710.526  0.378  99.468  
712.030  0.367  99.480  
713.534  0.355  99.492  
715.038  0.344  99.503  
716.541  0.334  99.514  
718.045  0.324  99.524  
719.549  0.314  99.535  
721.053  0.304  99.545  
722.556  0.294  99.557  
724.060  0.284  99.568  
725.564  0.274  99.579  
727.068  0.264  99.590  
728.571  0.254  99.600  
730.075  0.245  99.610  
731.579  0.237  99.619  
733.083  0.229  99.628  
734.586  0.221  99.636  
736.090  0.213  99.644  
737.594  0.205  99.652  
739.098  0.198  99.660  
740.602  0.190  99.668  
742.105  0.182  99.676  
743.609  0.175  99.684  
745.113  0.168  99.691  
746.617  0.162  99.698  
748.120  0.156  99.704  
749.624  0.151  99.709  
751.128  0.146  99.714  
752.632  0.142  99.719  
754.135  0.137  99.724  
755.639  0.132  99.730  
757.143  0.128  99.736  
758.647  0.123  99.741  
760.150  0.119  99.746  
761.654  0.115  99.751  
763.158  0.112  99.755  
764.662  0.108  99.759  
766.165  0.106  99.762  
767.669  0.103  99.765  
769.173  0.101  99.767  
770.677  0.099  99.770  
772.180  0.098  99.771  
773.684  0.096  99.773  
775.188  0.095  99.775  
776.692  0.094  99.776  
778.195  0.094  99.777  
779.699  0.093  99.777  
781.203  0.094  99.777  
782.707  0.094  99.777  
784.211  0.096  99.777  
785.714  0.097  99.776  
787.218  0.099  99.775  
788.722  0.101  99.774  
790.226  0.103  99.772  
791.729  0.106  99.771  
793.233  0.108  99.769  
794.737  0.111  99.766  
796.241  0.114  99.764  
797.744  0.117  99.761  
799.248  0.121  99.757  
800.752  0.125  99.754  
802.256  0.129  99.750  
803.759  0.133  99.745  
805.263  0.138  99.741  
806.767  0.143  99.736  
808.271  0.149  99.731  
809.774  0.155  99.725  
811.278  0.160  99.720  
812.782  0.167  99.714  
814.286  0.173  99.707  
815.789  0.180  99.700  
817.293  0.187  99.694  
818.797  0.194  99.687  
820.301  0.202  99.680  
821.805  0.210  99.673  
823.308  0.218  99.666  
824.812  0.226  99.658  
826.316  0.235  99.650  
827.820  0.243  99.642  
829.323  0.252  99.635  
830.827  0.261  99.626  
