#Lam(nm)  R%(0-100)  T%(0-100)
666.917  2.569  96.007  
668.421  2.606  96.319  
669.925  2.644  96.631  
671.429  2.680  96.867  
672.932  2.707  96.856  
674.436  2.732  96.845  
675.940  2.758  96.835  
677.444  2.783  96.824  
678.947  2.810  96.814  
680.451  2.835  96.803  
681.955  2.861  96.792  
683.459  2.888  96.780  
684.962  2.914  96.769  
686.466  2.940  96.757  
687.970  2.966  96.746  
689.474  2.992  96.734  
690.977  2.976  96.753  
692.481  2.967  96.763  
693.985  2.978  96.754  
695.489  2.988  96.745  
696.992  2.996  96.738  
698.496  3.002  96.733  
700.000  3.009  96.727  
701.504  3.020  96.718  
703.008  3.033  96.705  
704.511  3.048  96.693  
706.015  3.062  96.680  
707.519  3.076  96.666  
709.023  3.095  96.649  
710.526  3.113  96.631  
712.030  3.132  96.613  
713.534  3.152  96.595  
715.038  3.171  96.576  
716.541  3.189  96.560  
718.045  3.208  96.542  
719.549  3.227  96.524  
721.053  3.246  96.506  
722.556  3.268  96.486  
724.060  3.289  96.467  
725.564  3.311  96.446  
727.068  3.333  96.426  
728.571  3.354  96.406  
730.075  3.375  96.386  
731.579  3.396  96.367  
733.083  3.417  96.347  
734.586  3.438  96.327  
736.090  3.459  96.307  
737.594  3.481  96.286  
739.098  3.501  96.267  
740.602  3.525  96.243  
742.105  3.550  96.220  
743.609  3.573  96.198  
745.113  3.597  96.174  
746.617  3.620  96.153  
748.120  3.641  96.133  
749.624  3.661  96.113  
751.128  3.681  96.094  
752.632  3.702  96.075  
754.135  3.723  96.054  
755.639  3.748  96.031  
757.143  3.772  96.009  
758.647  3.796  95.986  
760.150  3.820  95.963  
761.654  3.845  95.940  
763.158  3.869  95.917  
764.662  3.895  95.893  
766.165  3.919  95.869  
767.669  3.943  95.846  
769.173  3.966  95.823  
770.677  3.991  95.800  
772.180  4.014  95.778  
773.684  4.040  95.753  
775.188  4.064  95.729  
776.692  4.090  95.704  
778.195  4.115  95.680  
779.699  4.140  95.656  
781.203  4.164  95.632  
782.707  4.187  95.611  
784.211  4.209  95.590  
785.714  4.231  95.569  
787.218  4.253  95.549  
788.722  4.276  95.528  
790.226  4.297  95.507  
791.729  4.320  95.486  
793.233  4.345  95.462  
794.737  4.372  95.436  
796.241  4.397  95.411  
797.744  4.423  95.386  
799.248  4.448  95.362  
800.752  4.471  95.340  
802.256  4.496  95.315  
803.759  4.519  95.293  
805.263  4.544  95.269  
806.767  4.568  95.246  
808.271  4.593  95.221  
809.774  4.617  95.198  
811.278  4.642  95.174  
812.782  4.667  95.150  
814.286  4.692  95.126  
815.789  4.717  95.101  
817.293  4.741  95.078  
818.797  4.767  95.053  
820.301  4.791  95.030  
821.805  4.815  95.007  
823.308  4.841  94.983  
824.812  4.864  94.960  
826.316  4.890  94.936  
827.820  4.919  94.908  
829.323  4.950  94.877  
830.827  4.983  94.846  
832.331  5.013  94.817  
833.835  5.046  94.785  
835.338  5.077  94.754  
836.842  5.108  94.724  
838.346  5.141  94.692  
839.850  5.172  94.662  
841.353  5.203  94.631  
842.857  5.237  94.598  
844.361  5.270  94.565  
845.865  5.305  94.531  
847.368  5.339  94.498  
848.872  5.372  94.466  
850.376  5.407  94.432  
851.880  5.440  94.399  
853.383  5.474  94.365  
854.887  5.510  94.331  
856.391  5.544  94.298  
857.895  5.579  94.264  
859.398  5.613  94.231  
860.902  5.647  94.198  
862.406  5.684  94.163  
863.910  5.718  94.129  
865.414  5.753  94.095  
866.917  5.788  94.061  
868.421  5.822  94.028  
869.925  5.856  93.995  
871.429  5.891  93.960  
872.932  5.925  93.927  
874.436  5.959  93.893  
875.940  5.995  93.858  
877.444  6.032  93.821  
878.947  6.070  93.784  
880.451  6.109  93.746  
881.955  6.147  93.709  
883.459  6.186  93.670  
884.962  6.223  93.634  
886.466  6.255  93.603  
887.970  6.283  93.576  
889.474  6.313  93.547  
890.977  6.341  93.519  
892.481  6.370  93.492  
893.985  6.399  93.463  
895.489  6.427  93.437  
896.992  6.454  93.410  
898.496  6.484  93.381  
900.000  6.510  93.355  
