#Lam(nm)  R%(0-100)  T%(0-100)
666.917  0.085  98.581  
668.421  0.071  98.954  
669.925  0.058  99.325  
671.429  0.048  99.613  
672.932  0.042  99.634  
674.436  0.037  99.654  
675.940  0.032  99.674  
677.444  0.027  99.693  
678.947  0.023  99.712  
680.451  0.020  99.730  
681.955  0.017  99.748  
683.459  0.014  99.765  
684.962  0.012  99.782  
686.466  0.010  99.798  
687.970  0.009  99.814  
689.474  0.008  99.829  
690.977  0.011  99.828  
692.481  0.015  99.825  
693.985  0.017  99.823  
695.489  0.019  99.822  
696.992  0.021  99.820  
698.496  0.024  99.818  
700.000  0.026  99.816  
701.504  0.028  99.815  
703.008  0.030  99.814  
704.511  0.032  99.812  
706.015  0.035  99.809  
707.519  0.038  99.807  
709.023  0.042  99.804  
710.526  0.045  99.801  
712.030  0.049  99.797  
713.534  0.053  99.794  
715.038  0.057  99.790  
716.541  0.062  99.786  
718.045  0.066  99.782  
719.549  0.071  99.777  
721.053  0.077  99.772  
722.556  0.083  99.768  
724.060  0.089  99.763  
725.564  0.095  99.757  
727.068  0.102  99.751  
728.571  0.109  99.745  
730.075  0.116  99.739  
731.579  0.123  99.733  
733.083  0.131  99.725  
734.586  0.139  99.718  
736.090  0.147  99.710  
737.594  0.155  99.702  
739.098  0.164  99.694  
740.602  0.174  99.684  
742.105  0.184  99.675  
743.609  0.194  99.665  
745.113  0.205  99.655  
746.617  0.215  99.644  
748.120  0.226  99.634  
749.624  0.238  99.623  
751.128  0.249  99.612  
752.632  0.261  99.601  
754.135  0.273  99.589  
755.639  0.285  99.577  
757.143  0.298  99.566  
758.647  0.312  99.553  
760.150  0.325  99.540  
761.654  0.339  99.527  
763.158  0.353  99.514  
764.662  0.368  99.500  
766.165  0.383  99.486  
767.669  0.398  99.471  
769.173  0.413  99.456  
770.677  0.428  99.441  
772.180  0.444  99.426  
773.684  0.460  99.409  
775.188  0.477  99.393  
776.692  0.494  99.376  
778.195  0.511  99.360  
779.699  0.529  99.342  
781.203  0.546  99.325  
782.707  0.564  99.308  
784.211  0.581  99.292  
785.714  0.599  99.274  
787.218  0.617  99.258  
788.722  0.636  99.240  
790.226  0.654  99.222  
791.729  0.674  99.204  
793.233  0.694  99.184  
794.737  0.714  99.163  
796.241  0.735  99.144  
797.744  0.756  99.123  
799.248  0.776  99.103  
800.752  0.796  99.083  
802.256  0.818  99.062  
803.759  0.838  99.041  
805.263  0.860  99.020  
806.767  0.881  98.999  
808.271  0.904  98.976  
809.774  0.926  98.954  
811.278  0.949  98.932  
812.782  0.972  98.909  
814.286  0.995  98.886  
815.789  1.019  98.863  
817.293  1.042  98.840  
818.797  1.066  98.817  
820.301  1.089  98.794  
821.805  1.113  98.771  
823.308  1.138  98.747  
824.812  1.162  98.724  
826.316  1.187  98.699  
827.820  1.213  98.674  
829.323  1.240  98.648  
830.827  1.268  98.621  
832.331  1.295  98.594  
833.835  1.323  98.566  
835.338  1.351  98.538  
836.842  1.379  98.510  
838.346  1.409  98.481  
839.850  1.438  98.452  
841.353  1.467  98.423  
842.857  1.499  98.392  
844.361  1.530  98.361  
845.865  1.562  98.329  
847.368  1.594  98.298  
848.872  1.626  98.266  
850.376  1.660  98.232  
851.880  1.692  98.200  
853.383  1.726  98.167  
854.887  1.760  98.133  
856.391  1.794  98.100  
857.895  1.829  98.065  
859.398  1.864  98.031  
860.902  1.899  97.997  
862.406  1.936  97.961  
863.910  1.971  97.926  
865.414  2.008  97.890  
866.917  2.045  97.853  
868.421  2.081  97.818  
869.925  2.117  97.782  
871.429  2.156  97.743  
872.932  2.192  97.707  
874.436  2.231  97.669  
875.940  2.270  97.630  
877.444  2.310  97.590  
878.947  2.351  97.549  
880.451  2.394  97.507  
881.955  2.436  97.465  
883.459  2.478  97.423  
884.962  2.520  97.381  
886.466  2.561  97.341  
887.970  2.601  97.301  
889.474  2.644  97.259  
890.977  2.684  97.219  
892.481  2.726  97.178  
893.985  2.768  97.136  
895.489  2.810  97.095  
896.992  2.851  97.054  
898.496  2.894  97.012  
900.000  2.936  96.971  
