nm	mW/cm2/nm
561	0.15595
562	0.14847
563	0.15408
564	0.15106
565	0.15201
566	0.14374
567	0.1532
568	0.1518
569	0.14807
570	0.14816
571	0.14331
572	0.15134
573	0.15198
574	0.15119
575	0.14777
576	0.14654
577	0.15023
578	0.1456
579	0.1477
580	0.1502
581	0.15089
582	0.1532
583	0.15479
584	0.15448
585	0.15324
586	0.14953
587	0.15281
588	0.14934
589	0.12894
590	0.13709
591	0.14662
592	0.14354
593	0.14561
594	0.14491
595	0.14308
596	0.14745
597	0.14788
598	0.14607
599	0.14606
600	0.14753
601	0.14579
602	0.1436
603	0.14664
604	0.14921
605	0.14895
606	0.14822
607	0.14911
608	0.14862
609	0.14749
610	0.14686
611	0.14611
612	0.14831
613	0.14621
614	0.14176
615	0.14697
616	0.1431
617	0.14128
618	0.14664
619	0.14733
620	0.14739
621	0.14802
622	0.14269
623	0.14165
624	0.14118
625	0.14026
626	0.14012
627	0.14417
628	0.13631
629	0.14114
630	0.13924
631	0.14161
632	0.13638
633	0.14508
634	0.14284
635	0.14458
636	0.14128
637	0.1461
638	0.14707
639	0.14646
640	0.1434
641	0.14348
642	0.14376
643	0.14525
644	0.14462
645	0.14567
646	0.1415
647	0.14086
648	0.13952
649	0.13519
650	0.13594
651	0.14447
652	0.13871
653	0.14311
654	0.14153
655	0.13499
656	0.11851
657	0.12393
658	0.13855
659	0.13905
660	0.13992
661	0.13933
662	0.13819
663	0.13844
664	0.13967
665	0.14214
666	0.14203
667	0.14102
668	0.1415
669	0.14394
670	0.14196
671	0.14169
672	0.13972
673	0.14094
674	0.14074
675	0.13958
676	0.1412
677	0.13991
678	0.14066
679	0.13947
680	0.13969
681	0.13915
682	0.13981
683	0.1383
684	0.13739
685	0.13748
686	0.13438
687	0.09682
688	0.11206
689	0.11278
690	0.11821
691	0.12333
692	0.12689
693	0.12609
694	0.12464
695	0.12714
696	0.12684
697	0.13403
698	0.13192
699	0.12918
700	0.12823
701	0.12659
702	0.12674
703	0.12747
704	0.13078
705	0.13214
706	0.13144
707	0.1309
708	0.13048
709	0.13095
710	0.13175
711	0.13155
712	0.13071
713	0.12918
714	0.13029
715	0.12587
716	0.12716
717	0.11071
718	0.10296
719	0.09232
720	0.09855
721	0.10861
722	0.12407
723	0.11444
724	0.10555
725	0.1038
726	0.10813
727	0.1085
728	0.104
729	0.10466
730	0.11285
731	0.10703
732	0.11534
733	0.11962
734	0.12357
735	0.12178
736	0.12059
737	0.12039
738	0.12269
739	0.11905
740	0.12195
741	0.12148
742	0.12153
743	0.12405
744	0.12503
745	0.12497
746	0.1247
747	0.12477
748	0.12401
749	0.12357
750	0.12341
751	0.12286
752	0.1233
753	0.12266
754	0.1242
755	0.12383
756	0.12232
757	0.12221
758	0.12295
759	0.11945
760	0.0266
761	0.0154
762	0.06877
763	0.03795
764	0.05388
765	0.0686
766	0.08146
767	0.09742
768	0.11138
769	0.11278
770	0.11608
771	0.11686
772	0.11778
773	0.11771
774	0.11771
775	0.11771
776	0.11798
777	0.11727
778	0.11713
779	0.11765
780	0.11636
781	0.11607
782	0.11662
783	0.11614
784	0.11536
785	0.11586
786	0.11592
787	0.1145
788	0.11305
789	0.11257
790	0.1091
791	0.11058
792	0.10953
793	0.10875
794	0.10972
795	0.10932
796	0.10742
797	0.10913
798	0.11121
799	0.10905
800	0.10725
801	0.10843
802	0.10856
803	0.10657
804	0.10782
805	0.10545
806	0.10974
807	0.10859
808	0.10821
809	0.10548
810	0.10559
811	0.10533
812	0.10268
813	0.10086
814	0.09036
815	0.08952
816	0.08322
817	0.08518
818	0.08226
819	0.09052
820	0.08619
821	0.09976
822	0.09516
823	0.06727
824	0.09351
825	0.09694
826	0.09338
827	0.09847
828	0.08498
829	0.09293
830	0.0916
831	0.09239
832	0.08943
833	0.09565
834	0.09341
835	0.10032
836	0.09723
837	0.10092
838	0.0999
839	0.10013
840	0.10157
841	0.10101
842	0.0997
843	0.10053
844	0.09863
845	0.10165
846	0.10187
847	0.09917
848	0.09922
849	0.0986
850	0.08937
851	0.09749
852	0.09693
853	0.09649
854	0.08511
855	0.0913
856	0.09732
857	0.09917
858	0.0992
859	0.09917
860	0.09882
861	0.09868
862	0.09945
863	0.10005
864	0.09792
865	0.09632
866	0.0849
867	0.09155
868	0.09592
869	0.09496
870	0.09675
871	0.09539
872	0.09669
873	0.09572
874	0.09404
875	0.09269
876	0.09528
877	0.09562
878	0.09524
879	0.09366
880	0.09396
881	0.09086
882	0.09325
883	0.09293
884	0.09331
885	0.09442
886	0.09075
887	0.09106
888	0.09223
889	0.09345
890	0.09239
891	0.09258
892	0.09088
893	0.08733
894	0.08513
895	0.08136
896	0.07625
897	0.06657
898	0.07178
899	0.05487
900	0.07426
901	0.05993
902	0.06679
903	0.06889
904	0.08446
905	0.08171
906	0.07756
907	0.06385
908	0.06522
909	0.07043
910	0.06247
911	0.06681
912	0.06889
913	0.06283
914	0.06265
915	0.06784
916	0.05765
917	0.07302
918	0.05927
919	0.07388
920	0.07441
921	0.07805
922	0.07003
923	0.0745
924	0.07215
925	0.07111
926	0.07033
927	0.07874
928	0.05897
929	0.05513
930	0.04321
931	0.04092
932	0.03009
933	0.02484
934	0.01438
935	0.02508
936	0.01614
937	0.01634
938	0.02006
939	0.03989
940	0.04718
941	0.03719
942	0.04053
943	0.02783
944	0.02858
945	0.03682
946	0.01946
947	0.03711
948	0.02742
949	0.0494
950	0.01473
951	0.04838
952	0.02689
953	0.03436
954	0.04241
955	0.03412
956	0.03282
957	0.02707
958	0.0461
959	0.03739
960	0.04207
961	0.04612
962	0.04417
963	0.0505
964	0.04586
965	0.05037
966	0.05028
967	0.05024
968	0.06521
969	0.06862
970	0.06346
971	0.0714
972	0.06877
973	0.06065
974	0.05753
975	0.05899
976	0.05719
977	0.06386
978	0.06151
979	0.06381
980	0.06047
981	0.07134
982	0.06922
983	0.06686
984	0.07373
985	0.06882
986	0.07508
987	0.07393
988	0.07346
989	0.07491
990	0.07323
991	0.07536
992	0.0751
993	0.07373
994	0.07541
995	0.07518
996	0.07488
997	0.07397
998	0.07389
999	0.07386
1000	0.07353
1001	0.07444
1002	0.0728
1003	0.07344
1004	0.07234
1005	0.06817
1006	0.07125
1007	0.07275
1008	0.07269
1009	0.07197
1010	0.07191
1011	0.07228
1012	0.07188
1013	0.07176
1014	0.07207
1015	0.07082
1016	0.07113
1017	0.07034
1018	0.07142
1019	0.06888
1020	0.0699
1021	0.07018
1022	0.06897
1023	0.06951
1024	0.06906
1025	0.06975
1026	0.06964
1027	0.06931
1028	0.06938
1029	0.06863
1030	0.06906
1031	0.06874
1032	0.06879
1033	0.06761
1034	0.06802
1035	0.06823
1036	0.0682
1037	0.0675
1038	0.06717
1039	0.06764
1040	0.06717
1041	0.06718
1042	0.0672
1043	0.06653
1044	0.06683
1045	0.06645
1046	0.06471
1047	0.06569
1048	0.06627
1049	0.0659
1050	0.06546
1051	0.06552
1052	0.06512
1053	0.06492
1054	0.06465
1055	0.06485
1056	0.06464
1057	0.06448
1058	0.06382
1059	0.06187
1060	0.06359
1061	0.06212
1062	0.06327
1063	0.06224
1064	0.0632
1065	0.06291
1066	0.06171
1067	0.06203
1068	0.06194
1069	0.05863
1070	0.06047
1071	0.06166
1072	0.06154
1073	0.06036
1074	0.06216
1075	0.05925
1076	0.06147
1077	0.06043
1078	0.06032
1079	0.06047
1080	0.05972
1081	0.05808
1082	0.05894
1083	0.05981
1084	0.05785
1085	0.05933
1086	0.05541
1087	0.0567
1088	0.05932
1089	0.05792
1090	0.05557
1091	0.05884
1092	0.05812
1093	0.05106
1094	0.05396
1095	0.05207
1096	0.05032
1097	0.05785
1098	0.05029
1099	0.05077
1100	0.04858
1101	0.0497
1102	0.04688
1103	0.04664
1104	0.04677
1105	0.05064
1106	0.03979
1107	0.0483
1108	0.04157
1109	0.04128
1110	0.0479
1111	0.03315
1112	0.04136
1113	0.02685
1114	0.02998
1115	0.02499
1116	0.02014
1117	0.00796
1118	0.02175
1119	0.01132
1120	0.01419
1121	0.01859
1122	0.00817
1123	0.01282
1124	0.01087
1125	0.01443
1126	0.00516
1127	0.01572
1128	0.00992
1129	0.01059
1130	0.00706
1131	0.02956
1132	0.02341
1133	0.01533
1134	0.00417
1135	0.00155
1136	0.01288
1137	0.02878
1138	0.02033
1139	0.02985
1140	0.0256
1141	0.01934
1142	0.02248
1143	0.03118
1144	0.01133
1145	0.0146
1146	0.01576
1147	0.00592
1148	0.02711
1149	0.02185
1150	0.01216
1151	0.02034
1152	0.02476
1153	0.02381
1154	0.01425
1155	0.03132
1156	0.02809
1157	0.03146
1158	0.03117
1159	0.03369
1160	0.02865
1161	0.03475
1162	0.035
1163	0.04686
1164	0.04019
1165	0.03886
1166	0.03749
1167	0.041
1168	0.04195
1169	0.04231
1170	0.04587
1171	0.04483
1172	0.04548
1173	0.04564
1174	0.03369
1175	0.04524
1176	0.04768
1177	0.04723
1178	0.036
1179	0.04837
1180	0.04407
1181	0.04551
1182	0.03232
1183	0.04387
1184	0.04199
1185	0.04074
1186	0.04772
1187	0.04558
1188	0.0335
1189	0.04157
1190	0.04624
1191	0.04466
1192	0.04734
1193	0.04543
1194	0.04689
1195	0.0447
1196	0.04313
1197	0.04772
1198	0.04339
1199	0.03649
1200	0.04482
1201	0.04371
1202	0.04372
1203	0.04341
1204	0.03625
1205	0.04369
1206	0.04809
1207	0.04299
1208	0.04335
1209	0.04143
1210	0.04534
1211	0.04223
1212	0.04249
1213	0.04696
1214	0.04341
1215	0.04278
1216	0.04664
1217	0.04553
1218	0.04593
1219	0.04466
1220	0.0458
1221	0.04653
1222	0.04514
1223	0.04441
1224	0.04481
1225	0.04624
1226	0.04682
1227	0.0433
1228	0.04666
1229	0.04672
1230	0.046
1231	0.0472
1232	0.04663
1233	0.0454
1234	0.04702
1235	0.0465
1236	0.04691
1237	0.04634
1238	0.0468
1239	0.04627
1240	0.04608
1241	0.0462
1242	0.04625
1243	0.04575
1244	0.04553
1245	0.04566
1246	0.04595
1247	0.04575
1248	0.04586
1249	0.04597
1250	0.04571
1251	0.04526
1252	0.0451
1253	0.04477
1254	0.04436
1255	0.04507
1256	0.04402
1257	0.04353
1258	0.0445
1259	0.04272
1260	0.04311
1261	0.04115
1262	0.03957
1263	0.04002
1264	0.03715
1265	0.03957
1266	0.03853
1267	0.03882
1268	0.03705
1269	0.02465
1270	0.03874
1271	0.04082
1272	0.04088
1273	0.04063
1274	0.04061
1275	0.04123
1276	0.04169
1277	0.042
1278	0.04276
1279	0.04246
1280	0.0422
1281	0.04133
1282	0.03731
1283	0.04073
1284	0.04208
1285	0.0424
1286	0.04271
1287	0.04221
1288	0.04199
1289	0.04094
1290	0.04128
1291	0.04179
1292	0.03962
1293	0.04126
1294	0.04042
1295	0.04051
1296	0.03896
1297	0.03713
1298	0.03918
1299	0.04085
1300	0.03531
1301	0.03623
1302	0.03918
1303	0.03462
1304	0.03006
1305	0.03838
1306	0.03845
1307	0.03059
1308	0.0347
1309	0.03841
1310	0.03011
1311	0.03337
1312	0.03334
1313	0.03135
1314	0.02883
1315	0.02858
1316	0.03242
1317	0.03122
1318	0.03333
1319	0.02686
1320	0.02587
1321	0.02987
1322	0.03022
1323	0.02328
1324	0.02625
1325	0.03222
1326	0.02805
1327	0.02662
1328	0.02345
1329	0.01776
1330	0.02292
1331	0.01448
1332	0.01458
1333	0.0203
1334	0.01693
1335	0.02312
1336	0.01835
1337	0.01645
1338	0.0178
1339	0.01768
1340	0.01683
1341	0.01704
1342	0.0178
1343	0.01271
1344	0.00756
1345	0.0109
1346	0.00582
1347	0.00601
1348	4.7451E-4
1349	0.00162
1350	0.0016
1351	4.6298E-4
1352	1.5164E-4
1353	9.6096E-6
1354	2.9009E-5
1355	3.6034E-7
1356	4.807E-6
1357	7.1786E-6
1358	4.1948E-7
1359	7.3439E-8
1360	2.1404E-7
1361	4.8133E-10
1362	1.8076E-12
1363	3.1563E-7
1364	1.3589E-7
1365	9.0764E-13
1366	1.2791E-6
1367	4.9764E-7
1368	1.481E-14
1369	5.1667E-8
1370	2.92E-8
1371	1.9731E-9
1372	2.7498E-7
1373	4.4401E-6
1374	1.7917E-5
1375	3.2332E-5
1376	2.5748E-5
1377	1.227E-5
1378	1.1089E-4
1379	5.2164E-6
1380	8.1587E-6
1381	2.3716E-7
1382	2.5672E-7
1383	4.4017E-9
1384	6.1689E-8
1385	2.0899E-7
1386	2.5215E-7
1387	1.9896E-5
1388	4.0262E-7
1389	5.8098E-5
1390	4.9328E-5
1391	3.4384E-5
1392	2.3782E-6
1393	1.1586E-5
1394	7.5526E-6
1395	6.7136E-8
1396	6.3215E-10
1397	4.9057E-6
1398	1.2704E-4
1399	8.1226E-5
1400	3.2466E-10
1401	1.0528E-9
1402	1.8353E-4
1403	2.38E-4
1404	7.3892E-5
1405	3.6444E-8
1406	2.0448E-4
1407	1.7457E-5
1408	1.6493E-4
1409	6.1919E-5
1410	4.6653E-5
1411	2.1142E-4
1412	2.6396E-4
1413	0.00234
1414	3.6378E-5
1415	1.8366E-5
1416	0.00356
1417	0.00118
1418	0.00136
1419	2.1442E-4
1420	8.2718E-4
1421	9.1637E-4
1422	0.00463
1423	9.2198E-4
1424	0.0017
1425	0.00259
1426	0.00278
1427	0.00495
1428	4.5588E-4
1429	0.0038
1430	0.00616
1431	0.00502
1432	2.5194E-4
1433	0.00358
1434	0.0021
1435	0.00214
1436	0.00384
1437	0.00299
1438	0.00133
1439	0.0051
1440	0.00396
1441	0.00318
1442	0.00363
1443	0.00451
1444	0.00618
1445	0.00498
1446	0.00231
1447	0.00362
1448	0.01157
1449	0.01021
1450	0.00274
1451	0.00113
1452	0.00624
1453	0.0082
1454	0.01376
1455	0.00661
1456	0.00885
1457	0.0117
1458	0.01364
1459	0.01631
1460	0.00854
1461	0.00903
1462	0.01306
1463	0.00432
1464	0.01518
1465	0.00934
1466	0.00652
1467	0.00361
1468	0.00769
1469	0.00948
1470	0.00497
1471	0.00178
1472	0.00468
1473	0.00702
1474	0.00973
1475	0.01846
1476	0.00688
1477	0.00697
1478	0.00635
1479	0.012
1480	0.00606
1481	0.01153
1482	0.00585
1483	0.01486
1484	0.01375
1485	0.0125
1486	0.01234
1487	0.00606
1488	0.00942
1489	0.01897
1490	0.01748
1491	0.01978
1492	0.01644
1493	0.01816
1494	0.02037
1495	0.01825
1496	0.01685
1497	0.02285
1498	0.01897
1499	0.02176
1500	0.02506
1501	0.02655
1502	0.02336
1503	0.01849
1504	0.01603
1505	0.0184
1506	0.02577
1507	0.02551
1508	0.0243
1509	0.01869
1510	0.02705
1511	0.02647
1512	0.02607
1513	0.02424
1514	0.02257
1515	0.02657
1516	0.02568
1517	0.02493
1518	0.02521
1519	0.02444
1520	0.02645
1521	0.02751
1522	0.02638
1523	0.028
1524	0.02754
1525	0.02588
1526	0.02675
1527	0.02622
1528	0.02793
1529	0.02724
1530	0.02552
1531	0.02697
1532	0.02784
1533	0.02771
1534	0.02689
1535	0.02669
1536	0.02746
1537	0.02734
1538	0.0272
1539	0.0273
1540	0.02649
1541	0.0269
1542	0.02693
1543	0.02721
1544	0.02721
1545	0.02771
1546	0.02748
1547	0.02731
1548	0.02668
1549	0.02734
1550	0.02699
1551	0.02706
1552	0.02718
1553	0.02713
1554	0.02647
1555	0.02676
1556	0.02631
1557	0.02706
1558	0.02685
1559	0.02681
1560	0.02657
1561	0.027
1562	0.02676
1563	0.02667
1564	0.02626
1565	0.02673
1566	0.02625
1567	0.02631
1568	0.02572
1569	0.02545
1570	0.02417
1571	0.02351
1572	0.02378
1573	0.02341
1574	0.02415
1575	0.02397
1576	0.02468
1577	0.0216
1578	0.02352
1579	0.02367
1580	0.02446
1581	0.02487
1582	0.0242
1583	0.02475
1584	0.0249
1585	0.02587
1586	0.02557
1587	0.0253
1588	0.02511
1589	0.02323
1590	0.02418
1591	0.0242
1592	0.02523
1593	0.02583
1594	0.02562
1595	0.02582
1596	0.02445
1597	0.02469
1598	0.02542
1599	0.0242
1600	0.02381
1601	0.02232
1602	0.02241
1603	0.0224
1604	0.02284
1605	0.02368
1606	0.02414
1607	0.0233
1608	0.02299
1609	0.02273
1610	0.02176
1611	0.02268
1612	0.02308
1613	0.02372
1614	0.02384
1615	0.0241
1616	0.02305
1617	0.02347
1618	0.02435
1619	0.0241
1620	0.02345
1621	0.02343
1622	0.02375
1623	0.02425
1624	0.02427
1625	0.02378
1626	0.02397
1627	0.02408
1628	0.02413
1629	0.02414
1630	0.02365
1631	0.02381
1632	0.02382
1633	0.02327
1634	0.02328
1635	0.02337
1636	0.02354
1637	0.0227
1638	0.02201
1639	0.02203
1640	0.02151
1641	0.02196
1642	0.02208
1643	0.02154
1644	0.02236
1645	0.02182
1646	0.02175
1647	0.02277
1648	0.02165
1649	0.02187
1650	0.02253
1651	0.02086
1652	0.02237
1653	0.02228
1654	0.02158
1655	0.02223
1656	0.0221
1657	0.02222
1658	0.02249
1659	0.02212
1660	0.02233
1661	0.02238
1662	0.02191
1663	0.02224
1664	0.0221
1665	0.02118
1666	0.01788
1667	0.02107
1668	0.02146
1669	0.02152
1670	0.02217
1671	0.02188
1672	0.02115
1673	0.02163
1674	0.02157
1675	0.02136
1676	0.02115
1677	0.02123
1678	0.02092
1679	0.0213
1680	0.02056
1681	0.01945
1682	0.02037
1683	0.02091
1684	0.0198
1685	0.02132
1686	0.02103
1687	0.02048
1688	0.02101
1689	0.02072
1690	0.02052
1691	0.0193
1692	0.02071
1693	0.02113
1694	0.02048
1695	0.02097
1696	0.02092
1697	0.01811
1698	0.02074
1699	0.02055
1700	0.01998
1702	0.0204
1705	0.01978
1710	0.01879
1715	0.01896
1720	0.0187
1725	0.01781
1730	0.01741
1735	0.01615
1740	0.01682
1745	0.01548
1750	0.01657
1755	0.0153
1760	0.016
1765	0.01328
1770	0.01417
1775	0.01148
1780	0.01005
1785	0.0077
1790	0.00889
1795	0.00469
1800	0.00318
1805	0.00148
1810	9.6911E-4
1815	3.2816E-4
1820	9.8755E-5
1825	1.2744E-4
1830	5.2041E-7
1835	6.419E-7
1840	6.2703E-9
1845	6.2658E-7
1850	2.9993E-7
1855	2.8396E-8
1860	1.1151E-6
1865	1.6982E-6
1870	2.6662E-11
1875	4.513E-11
1880	7.7505E-6
1885	4.389E-6
1890	2.2333E-5
1895	1.2947E-5
1900	8.6221E-8
1905	5.6667E-8
1910	2.3045E-6
1915	1.9947E-6
1920	4.5069E-5
1925	9.3615E-5
1930	5.5242E-5
1935	3.5935E-4
1940	3.2821E-4
1945	0.00109
1950	0.00167
1955	0.001
1960	0.00219
1965	0.00286
1970	0.00488
1975	0.00679
1980	0.00755
1985	0.00831
1990	0.00856
1995	0.00812
2000	0.00382
2005	0.0015
2010	0.00397
2015	0.00266
2020	0.0045
2025	0.0074
2030	0.00849
2035	0.00964
2040	0.00898
2045	0.00911
2050	0.00679
2055	0.00549
2060	0.00692
2065	0.00619
2070	0.00657
2075	0.00774
2080	0.00868
2085	0.00851
2090	0.00891
2095	0.00897
2100	0.00861
2105	0.00932
2110	0.00897
2115	0.00917
2120	0.00876
2125	0.00886
2130	0.00898
2135	0.009
2140	0.00908
2145	0.00895
2150	0.00846
2155	0.00848
2160	0.00842
2165	0.00763
2170	0.0082
2175	0.00804
2180	0.00818
2185	0.00746
2190	0.00791
2195	0.0079
2200	0.00712
2205	0.0074
2210	0.00793
2215	0.00763
2220	0.00777
2225	0.00755
2230	0.00758
2235	0.00743
2240	0.00731
2245	0.00708
2250	0.00719
2255	0.00677
2260	0.00669
2265	0.00681
2270	0.00649
2275	0.0064
2280	0.00663
2285	0.00631
2290	0.00632
2295	0.00613
2300	0.00588
2305	0.00592
2310	0.00639
2315	0.00581
2320	0.0052
2325	0.00562
2330	0.00568
2335	0.0058
2340	0.00458
2345	0.00514
2350	0.00415
2355	0.00475
2360	0.00502
2365	0.00494
2370	0.00308
2375	0.00441
2380	0.00426
2385	0.00308
2390	0.00371
2395	0.00406
2400	0.00441
2405	0.00336
2410	0.00338
2415	0.00273
2420	0.00266
2425	0.00331
2430	0.00451
2435	0.00149
2440	0.00432
2445	0.00208
2450	0.00136
2455	0.00249
2460	0.00334
2465	0.00241
2470	0.00167
2475	0.00165
2480	8.0395E-4
2485	5.6102E-4
2490	3.5113E-4
2495	2.8772E-4
2500	7.0642E-4
2505	1.5191E-4
2510	2.2163E-4
2515	5.188E-5
2520	3.7054E-5
2525	4.1393E-6
2530	6.3593E-8
2535	1.7502E-8
2540	3.7716E-8
2545	5.3758E-12
2550	2.8222E-14
2555	1.0435E-10
2560	3.102E-12
2565	1.5955E-15
2570	1.5258E-19
2575	1.0786E-28
2580	3.8214E-23
2585	1.7194E-35
2590	5.4793E-32
2595	2.2838E-34
2600	4.4912E-29
2605	5.8053E-36
2610	5.9447E-35
2615	1.1196E-38
2620	5.6505E-30
2625	3.8687E-29
2630	2.8026E-46
2635	3.9027E-17
2640	1.175E-17
2645	8.9988E-20
2650	1.4295E-20
2655	1.3133E-28
2660	2.6068E-26
2665	1.1123E-38
2670	0
2675	0
2680	0
2685	0
2690	1.0226E-30
2695	7.1284E-34
2700	0
2705	2.9315E-43
2710	1.125E-36
2715	3.8557E-27
2720	5.6052E-46
2725	7.2935E-23
2730	6.0734E-20
2735	5.4888E-22
2740	2.3314E-28
2745	1.3146E-24
2750	1.6648E-29
2755	6.7262E-45
