nm	mW/cm2/nm
2760	0
2765	2.6777E-28
2770	8.3791E-25
2775	3.999E-39
2780	4.8067E-35
2785	3.8866E-28
2790	1.217E-17
2795	3.6205E-17
2800	1.6484E-13
2805	6.7478E-15
2810	4.0233E-11
2815	2.8685E-11
2820	2.0548E-12
2825	1.7605E-8
2830	3.9008E-7
2835	2.1276E-11
2840	1.9609E-8
2845	4.0575E-6
2850	1.1566E-7
2855	4.4867E-8
2860	2.5356E-6
2865	1.6763E-5
2870	6.3129E-7
2875	3.917E-5
2880	2.4724E-5
2885	4.5332E-5
2890	1.8623E-5
2895	2.6643E-4
2900	8.1152E-5
2905	1.1096E-5
2910	2.722E-4
2915	1.2581E-4
2920	2.8948E-4
2925	1.0835E-4
2930	5.8858E-4
2935	6.4903E-4
2940	1.6273E-4
2945	1.4489E-4
2950	5.2276E-4
2955	2.3361E-4
2960	4.5971E-4
2965	7.4379E-4
2970	3.5233E-5
2975	8.5429E-5
2980	1.3381E-4
2985	6.9628E-4
2990	0.00103
2995	4.2755E-4
3000	7.8472E-4
3005	2.8906E-4
3010	6.8479E-4
3015	5.5551E-4
3020	6.3369E-5
3025	7.5031E-4
3030	6.0753E-4
3035	2.4986E-4
3040	2.0242E-4
3045	4.209E-4
3050	1.0321E-4
3055	2.8947E-5
3060	6.3012E-4
3065	2.9113E-4
3070	1.7492E-4
3075	6.0221E-4
3080	3.6224E-4
3085	1.7671E-4
3090	2.3805E-4
3095	6.551E-5
3100	4.401E-4
3105	9.2155E-5
3110	8.4569E-5
3115	2.2677E-4
3120	9.8197E-4
3125	3.0289E-4
3130	5.7614E-4
3135	0.00114
3140	3.3241E-4
3145	3.2517E-4
3150	6.6744E-4
3155	5.6366E-4
3160	9.232E-4
3165	0.0014
3170	0.00125
3175	9.2302E-4
3180	0.00106
3185	8.0823E-4
3190	4.2388E-4
3195	2.6927E-4
3200	4.3843E-5
3205	3.0973E-5
3210	1.3634E-5
3215	4.9752E-5
3220	1.6089E-4
3225	1.9875E-5
3230	3.408E-5
3235	7.294E-4
3240	3.7464E-4
3245	7.3409E-5
3250	2.6067E-4
3255	9.9378E-4
3260	1.2248E-4
3265	2.4465E-4
3270	1.2186E-4
3275	5.9265E-4
3280	2.8644E-4
3285	0.00111
3290	8.7571E-4
3295	1.2234E-4
3300	1.7794E-4
3305	3.9416E-4
3310	3.9235E-4
3315	1.6133E-6
3320	5.9987E-6
3325	3.5187E-4
3330	4.6616E-4
3335	9.0694E-4
3340	3.4602E-4
3345	3.5408E-4
3350	8.0277E-4
3355	3.6308E-4
3360	5.2402E-4
3365	7.1907E-4
3370	3.9389E-4
3375	8.456E-4
3380	5.1115E-4
3385	7.4896E-4
3390	9.8552E-4
3395	9.5465E-4
3400	0.00125
3405	4.4594E-4
3410	7.0802E-4
3415	7.2774E-4
3420	0.00132
3425	0.001
3430	8.6892E-4
3435	0.00116
3440	8.0348E-4
3445	0.00113
3450	0.00112
3455	8.3089E-4
3460	0.00125
3465	9.8179E-4
3470	0.00123
3475	0.00109
3480	0.00112
3485	0.00121
3490	0.00104
3495	0.00123
3500	0.00119
3505	0.00118
3510	0.0012
3515	0.00115
3520	0.00121
3525	0.00114
3530	0.00111
3535	9.4556E-4
3540	9.031E-4
3545	9.5432E-4
3550	0.00105
3555	9.0581E-4
3560	0.00108
3565	0.00109
3570	8.3376E-4
3575	8.6444E-4
3580	0.00102
3585	9.1671E-4
3590	9.4523E-4
3595	9.67E-4
3600	0.00103
3605	0.00104
3610	9.4787E-4
3615	9.4726E-4
3620	0.00116
3625	0.00102
3630	9.955E-4
3635	0.00103
3640	0.00115
3645	0.00106
3650	0.00101
3655	0.0011
3660	0.00109
3665	0.00103
3670	7.9003E-4
3675	4.8286E-4
3680	8.3312E-4
3685	9.438E-4
3690	9.6922E-4
3695	0.00101
3700	0.00109
3705	0.00108
3710	9.364E-4
3715	9.2254E-4
3720	0.00104
3725	0.00107
3730	9.2707E-4
3735	8.5837E-4
3740	8.8494E-4
3745	0.00103
3750	9.2903E-4
3755	8.9918E-4
3760	8.8633E-4
3765	8.5502E-4
3770	9.1243E-4
3775	9.0521E-4
3780	9.5746E-4
3785	8.8123E-4
3790	7.7564E-4
3795	8.8692E-4
3800	9.8592E-4
3805	9.3049E-4
3810	8.2451E-4
3815	7.7569E-4
3820	9.655E-4
3825	9.5056E-4
3830	9.5925E-4
3835	7.6916E-4
3840	8.9756E-4
3845	8.7801E-4
3850	8.8274E-4
3855	8.5085E-4
3860	7.994E-4
3865	8.0989E-4
3870	7.3604E-4
3875	6.762E-4
3880	6.534E-4
3885	6.7717E-4
3890	6.8818E-4
3895	7.476E-4
3900	7.9254E-4
3905	7.9269E-4
3910	7.1353E-4
3915	6.9868E-4
3920	6.9466E-4
3925	6.852E-4
3930	7.0502E-4
3935	7.3541E-4
3940	7.4027E-4
3945	7.5412E-4
3950	7.6277E-4
3955	7.7199E-4
3960	7.7482E-4
3965	7.8057E-4
3970	7.6806E-4
3975	7.5097E-4
3980	7.3872E-4
3985	7.4327E-4
3990	7.3723E-4
3995	7.21E-4
4000	7.1043E-4
