# lams, desv_psi, desv_delta
916.732100 3.766197 102.996984
916.331700 11.156544 1.359177
915.931300 11.791876 2.253615
915.530800 10.271529 3.324432
915.130200 5.148071 5.761271
914.729500 47.640363 92.833013
914.328700 43.009059 100.588076
913.927900 51.341047 13.236252
913.527000 0.442247 9.045977
913.125900 0.112067 1.635225
912.724900 0.128697 10.195327
912.323700 0.073528 2.824228
911.922400 0.815252 6.230054
911.521100 6.922201 29.683470
911.119600 0.904976 55.672835
910.718100 2.734975 16.459477
910.316500 0.899502 13.041983
909.914900 2.957960 25.450038
909.513100 2.654877 5.026723
909.111300 2.932009 6.693440
908.709300 2.441229 10.245745
908.307300 2.813143 17.120308
907.905200 0.303385 13.305127
907.503100 4.269995 8.455216
907.100800 1.576659 7.606735
906.698400 0.903899 2.879386
906.296000 5.230786 1.868121
905.893500 33.590261 90.757178
905.490900 33.102727 102.416463
905.088300 33.838149 102.657553
904.685500 38.066308 174.083329
904.282600 35.668316 91.556264
903.879700 8.958280 88.711843
903.476700 2.683207 11.496968
903.073600 6.986284 14.989779
902.670400 4.634196 13.737505
902.267200 3.427573 12.671535
901.863800 2.114123 5.193577
901.460400 1.518285 0.333204
901.056900 13.494180 85.413866
900.653300 24.069979 61.273916
900.249600 34.665833 47.062020
899.845800 2.113076 3.050059
899.442000 1.009540 4.959810
899.038000 1.958508 4.888459
898.634000 2.520695 5.370852
898.229900 2.313200 3.640046
897.825700 1.097547 6.186239
897.421400 1.141626 1.949575
897.017100 2.565023 2.870081
896.612700 4.241400 1.545639
896.208100 3.078081 2.649934
895.803500 2.272173 2.441973
895.398900 0.375938 1.948604
894.994100 0.679552 2.802704
894.589200 0.864672 10.673276
894.184300 3.210806 78.745368
893.779200 1.047893 12.181770
893.374100 0.217785 24.595956
892.968900 0.048508 4.642725
892.563700 1.052655 2.773923
892.158300 0.173984 0.502535
891.752800 0.133882 0.292575
891.347300 0.155030 0.699372
890.941700 0.234250 3.804638
890.535900 0.122000 8.942403
890.130200 0.381690 5.189422
889.724300 0.449429 2.087204
889.318400 0.271102 2.895356
888.912300 0.467894 1.936198
888.506200 0.747508 0.194744
888.100000 0.244933 2.275434
887.693700 0.207502 1.529884
887.287300 0.225753 0.989863
886.880800 0.189980 1.017338
886.474300 0.183053 0.977631
886.067600 0.117645 1.693561
885.660900 0.064257 2.010807
885.254100 0.100301 2.238406
884.847200 0.046487 2.440568
884.440200 0.052144 2.301073
884.033200 0.062308 1.759734
883.626000 0.094236 2.136894
883.218800 0.124532 2.077871
882.811500 0.170392 2.303149
882.404100 0.136873 7.038992
881.996600 0.548616 4.859064
881.589000 0.780383 1.866216
881.181300 0.912399 3.236764
880.773600 0.826538 1.885091
880.365800 0.428066 3.924042
879.957900 0.214510 1.877117
879.549900 0.429384 3.695593
879.141800 0.113271 1.073266
878.733600 0.145286 0.502070
878.325300 0.202841 0.552449
877.917000 0.244083 0.450436
877.508500 0.237025 0.290216
877.100000 0.296507 0.154846
876.691500 0.427488 0.319705
876.282800 0.613529 1.082869
875.874000 0.254213 0.334121
875.465100 0.592414 2.354032
875.056200 2.705669 2.837583
874.647200 4.755587 3.337308
874.238000 1.711274 3.402214
873.828900 1.399516 3.365364
873.419600 1.329723 3.671782
873.010200 1.321916 3.807770
872.600700 1.400984 4.019929
872.191200 15.255547 99.120003
871.781600 0.637539 13.329089
871.371800 0.577827 2.067877
870.962000 0.271667 5.519844
870.552100 0.166135 2.033678
870.142200 0.154991 3.631996
869.732100 0.135390 3.432261
869.321900 0.092652 2.087189
868.911700 0.116818 1.735238
868.501300 0.120615 1.749994
868.090900 0.094177 2.089162
867.680500 0.073119 2.156862
867.269900 0.074144 2.113032
866.859200 0.109427 2.280241
866.448500 0.080019 2.440349
866.037600 0.122541 2.733376
865.626700 0.094585 2.560802
865.215700 0.110268 2.213204
864.804600 0.062378 1.830832
864.393400 0.076622 1.726487
863.982100 0.047791 1.648303
863.570700 0.034034 1.566128
863.159300 0.032332 1.408485
862.747700 0.021455 2.051081
862.336100 0.034699 2.585245
861.924400 0.061262 2.749125
861.512600 0.056722 2.482255
861.100800 0.062051 2.723916
860.688800 0.067263 2.353938
860.276700 0.052166 2.580265
859.864600 0.076794 2.547184
859.452300 0.040513 2.447636
859.040000 0.040037 2.273032
858.627600 0.050269 2.228037
858.215100 0.038553 2.195822
857.802600 0.045133 2.170573
857.389900 0.077253 2.156460
856.977100 0.029143 2.187482
856.564300 0.052558 2.186744
856.151400 0.073899 2.181097
855.738300 0.292235 2.737329
855.325300 0.413188 2.926842
854.912000 0.363800 2.963335
854.498800 0.399945 2.937569
854.085400 0.296989 2.496496
853.671900 0.220014 2.236952
853.258400 0.242184 2.198505
852.844800 0.244516 2.199593
852.431100 0.404007 2.375651
852.017300 0.167506 2.075714
851.603400 0.152214 2.058523
851.189400 0.159026 1.601216
850.775300 0.322112 2.080837
850.361200 0.199613 2.309065
849.947000 0.379482 2.620768
849.532600 0.349451 2.610693
849.118200 0.241581 2.456787
848.703700 0.213570 2.378467
848.289100 0.148665 2.304875
847.874400 0.159215 2.350704
847.459700 0.145548 2.250091
847.044800 0.110666 2.234843
846.629800 0.119176 2.216771
846.214800 0.090002 2.144673
845.799700 0.073433 2.080563
845.384500 0.097746 2.107729
844.969200 0.071582 2.055050
844.553800 0.091555 2.076344
844.138300 0.121550 2.127361
843.722700 0.098138 2.108214
843.307100 0.082456 2.067368
842.891400 0.075009 2.060292
842.475500 0.066010 2.031447
842.059600 0.085114 2.032484
841.643600 0.067174 2.011062
841.227500 0.127775 2.030157
840.811300 0.161878 2.037673
840.395100 0.169977 2.065275
839.978700 0.167248 2.051992
839.562300 0.165968 2.045920
839.145700 0.156617 2.049848
838.729100 0.130600 2.043565
838.312400 0.092652 2.024319
837.895600 0.076429 1.999518
837.478700 0.090515 2.013700
837.061700 0.071808 1.982525
836.644700 0.067796 2.003058
836.227500 0.055570 1.990957
835.810200 0.062746 1.984120
835.392900 0.066905 1.983688
834.975500 0.057663 1.968222
834.557900 0.059573 1.983476
834.140300 0.057472 1.993912
833.722700 0.060119 1.991239
833.304900 0.070465 1.979058
832.887000 0.063129 1.973499
832.469100 0.064694 1.976278
832.051000 0.066425 1.977705
831.632900 0.077091 2.002855
831.214600 0.073901 2.001586
830.796300 0.082863 2.003588
830.377900 0.084583 2.015852
829.959400 0.089690 2.005217
829.540800 0.097429 1.994624
829.122100 0.097700 1.986964
828.703400 0.091243 1.991048
828.284500 0.098774 1.992243
827.865600 0.099606 2.000095
827.446500 0.104424 2.011601
827.027500 0.100002 2.019451
826.608200 0.123322 2.024972
826.188900 0.122741 2.038418
825.769500 0.129793 2.041404
825.350000 0.129268 2.034134
824.930500 0.133422 2.034062
824.510800 0.134998 2.030906
824.091100 0.138944 2.036069
823.671300 0.141096 2.037147
823.251300 0.141019 2.034078
822.831300 0.151579 2.038760
822.411200 0.148769 2.041764
