# lams, desv_psi, desv_delta
916.732100 8.146914 6.316181
916.331700 13.005715 3.528905
915.931300 37.225523 169.381040
915.530800 40.277556 108.078880
915.130200 39.714284 85.572512
914.729500 4.773822 39.342964
914.328700 9.448091 39.107857
913.927900 5.781064 22.652986
913.527000 1.339903 16.594751
913.125900 17.905453 33.982621
912.724900 1.967896 26.206990
912.323700 1.983940 5.447282
911.922400 1.687685 5.779739
911.521100 0.906179 3.861814
911.119600 5.988108 3.111990
910.718100 2.737875 5.874212
910.316500 4.031849 25.234681
909.914900 1.040689 36.665032
909.513100 2.198645 9.130863
909.111300 2.456326 3.104969
908.709300 0.722129 0.780147
908.307300 1.973126 1.832429
907.905200 3.647294 0.668582
907.503100 6.902194 5.189481
907.100800 4.476094 6.160063
906.698400 3.035874 9.535319
906.296000 1.424588 3.915600
905.893500 1.863387 24.070080
905.490900 2.047410 8.151478
905.088300 2.013808 8.931355
904.685500 1.687650 14.949449
904.282600 0.576599 17.994678
903.879700 5.052154 21.881764
903.476700 8.916525 18.230703
903.073600 2.053059 16.057110
902.670400 1.539311 19.871746
902.267200 1.154869 18.963696
901.863800 3.666220 22.389794
901.460400 8.202564 4.346525
901.056900 22.442585 24.363550
900.653300 5.044602 32.629623
900.249600 10.005030 50.231429
899.845800 2.368667 4.584033
899.442000 20.267465 100.613747
899.038000 20.633815 100.062057
898.634000 21.610911 99.488580
898.229900 31.434438 101.092341
897.825700 20.999970 98.087063
897.421400 1.738027 2.295684
897.017100 3.045462 1.336002
896.612700 4.247356 3.970521
896.208100 2.604495 1.037702
895.803500 2.200712 1.700938
895.398900 1.839732 4.994103
894.994100 1.531999 9.433260
894.589200 3.445146 10.547302
894.184300 1.810432 8.870715
893.779200 4.316916 5.764233
893.374100 3.830967 13.175526
892.968900 0.164795 11.806968
892.563700 1.190410 5.461415
892.158300 0.190122 11.717676
891.752800 0.369042 0.467618
891.347300 1.103227 2.933105
890.941700 1.479533 8.076534
890.535900 1.371878 10.911219
890.130200 1.602584 14.900111
889.724300 0.339240 20.769155
889.318400 2.822922 7.556838
888.912300 2.983829 10.107745
888.506200 3.022222 8.748233
888.100000 1.322590 17.232264
887.693700 1.245852 16.401696
887.287300 1.131992 16.462948
886.880800 1.024614 16.586679
886.474300 0.648822 16.505363
886.067600 0.702004 18.624889
885.660900 0.425820 21.011974
885.254100 0.618427 19.847301
884.847200 0.650207 20.386525
884.440200 0.681632 20.564338
884.033200 2.777445 20.004315
883.626000 2.989341 19.700520
883.218800 4.264689 19.636416
882.811500 8.428016 17.512286
882.404100 3.291046 18.696533
881.996600 2.741120 20.347917
881.589000 0.388568 20.262629
881.181300 2.946746 9.873332
880.773600 2.766639 4.392114
880.365800 3.580395 1.911919
879.957900 5.794413 1.185161
879.549900 4.150265 0.992556
879.141800 1.692505 3.712385
878.733600 1.307864 1.488929
878.325300 2.187379 0.831632
877.917000 2.951427 0.949158
877.508500 3.593741 1.213828
877.100000 3.524438 0.958669
876.691500 2.536000 0.786309
876.282800 1.166326 0.500046
875.874000 2.746872 0.439569
875.465100 1.532688 1.014007
875.056200 0.896889 2.189312
874.647200 6.935720 2.715720
874.238000 5.956774 4.251886
873.828900 8.546249 3.109550
873.419600 7.125439 3.878243
873.010200 6.612241 3.871479
872.600700 6.113672 3.677973
872.191200 2.668650 3.616604
871.781600 0.968197 15.187211
871.371800 1.077220 23.291300
870.962000 0.495300 21.821425
870.552100 0.554686 40.292548
870.142200 0.913297 17.470951
869.732100 0.511830 27.233893
869.321900 1.107768 21.369515
868.911700 1.484494 19.671504
868.501300 1.655314 19.061416
