grosores: [98.24089932 48.62133798]
corriente: 38.00065799984809 mA/cm2
wavelength	Reflectance
300.0	0.42500430125411415
301.0	0.4244461216486185
302.0	0.42389728316889835
303.0	0.42335263918386506
304.0	0.42281011664652884
305.0	0.4222685935282841
306.0	0.4217278778194104
307.0	0.4211874770531303
308.0	0.4206450109208274
309.0	0.42009980589063634
310.0	0.4195539523221098
311.0	0.41901814394194953
312.0	0.4184877027191587
313.0	0.41796464501263314
314.0	0.4174499535325732
315.0	0.4169537341523482
316.0	0.41648009707878897
317.0	0.41603401635779536
318.0	0.41562291350280733
319.0	0.4111077408255164
320.0	0.40654424536774947
321.0	0.4019328044550849
322.0	0.3972758824086815
323.0	0.3925753186095078
324.0	0.38782957397770385
325.0	0.3830427886960407
326.0	0.3782168142165805
327.0	0.37335745634120965
328.0	0.368469995202026
329.0	0.3635597265987257
330.0	0.35863636526768494
331.0	0.3537110771975322
332.0	0.3487898955683628
333.0	0.34388561850639404
334.0	0.33902245623035254
335.0	0.3342217918533217
336.0	0.3295051304478316
337.0	0.3249050819329401
338.0	0.3204544673652743
339.0	0.3162042302046047
340.0	0.3122212747066452
341.0	0.3085552476922461
342.0	0.3052816989108166
343.0	0.3025124734272537
344.0	0.3003587752609653
345.0	0.30519040828337585
346.0	0.31043747778968345
347.0	0.3160641364988795
348.0	0.3219811150542484
349.0	0.32828825267637096
350.0	0.33481794814756116
351.0	0.3415914216245808
352.0	0.3484244944822986
353.0	0.35553378913991207
354.0	0.36261786063802076
355.0	0.36979157676854535
356.0	0.37679491046797164
357.0	0.38385873863619757
358.0	0.3906981570316614
359.0	0.3970648797298061
360.0	0.4029259913108382
361.0	0.4080346065485571
362.0	0.41243154139185556
363.0	0.4157841927063336
364.0	0.4180908203002879
365.0	0.419445198206904
366.0	0.41931384371161223
367.0	0.41841682472259045
368.0	0.41604585270292804
369.0	0.4131533501523359
370.0	0.40883308414271347
371.0	0.4039842837546631
372.0	0.398020518465238
373.0	0.39136754449704425
374.0	0.38422623880199874
375.0	0.37658961637792593
376.0	0.3684580515816869
377.0	0.3598847341243997
378.0	0.3508115924265469
379.0	0.34179380512986346
380.0	0.33232812741740575
381.0	0.3228850905505177
382.0	0.3132467662837408
383.0	0.30334778086645126
384.0	0.2933721777164523
385.0	0.28307563743874414
386.0	0.2731367646199013
387.0	0.26293600624099633
388.0	0.2526259569565131
389.0	0.24568926975563374
390.0	0.23873561893797893
391.0	0.23213182361319926
392.0	0.22549209597431494
393.0	0.2189606339667113
394.0	0.21250195937685354
395.0	0.2060595332214712
396.0	0.19986250012172158
397.0	0.19367312529785705
398.0	0.1877153085572716
399.0	0.18192825451299588
400.0	0.17617497968337092
401.0	0.17023616833358296
402.0	0.16438133086564655
403.0	0.1587481138844717
404.0	0.1533351656787035
405.0	0.14800945702269103
406.0	0.14292198187478922
407.0	0.13796353093315575
408.0	0.13309027288806222
409.0	0.12827529604695348
410.0	0.12355286726796999
411.0	0.11894998735579076
412.0	0.11446568993231085
413.0	0.11007500608253556
414.0	0.10590115266151925
415.0	0.10187150827081506
416.0	0.09793378827149465
417.0	0.094151517921736
418.0	0.09046656731881383
419.0	0.08686466806699225
420.0	0.08328684035937892
421.0	0.08005058341289628
422.0	0.07689842503186484
423.0	0.07383149939319289
424.0	0.07084479040085478
425.0	0.06799805563297096
426.0	0.06531800765688574
427.0	0.06271255587138565
428.0	0.060180543907079026
429.0	0.05772014316551777
430.0	0.05533069691245981
431.0	0.05301221898008896
432.0	0.050763618911609826
433.0	0.0485830714774044
434.0	0.046535083340356775
435.0	0.04461478199692789
436.0	0.0427544275910259
437.0	0.04087606955484644
438.0	0.038944834873295725
439.0	0.037077062333561325
440.0	0.03530115360567907
441.0	0.03382182721031604
442.0	0.03239083369118292
443.0	0.03099220873617813
444.0	0.02958136174475002
445.0	0.02821797321449992
446.0	0.026901078267477344
447.0	0.025774255249479537
448.0	0.024686505544292844
449.0	0.023636838524929225
450.0	0.02250239440673425
451.0	0.02137890006805489
452.0	0.02029647011301146
453.0	0.01931589863422521
454.0	0.01843211520181392
455.0	0.01758108126364452
456.0	0.01676344637595559
457.0	0.01598267042441439
458.0	0.015231535589420721
459.0	0.01450923105692825
460.0	0.013825923544308671
461.0	0.013239715830068327
462.0	0.012675615319963744
463.0	0.01213830638029358
464.0	0.011629460039289458
465.0	0.011140193783230185
466.0	0.01066989195559427
467.0	0.010119768458205143
468.0	0.009580936794336402
469.0	0.00906386951533059
470.0	0.008600679926587862
471.0	0.008204398432292195
472.0	0.00782417819024819
473.0	0.007459461893890462
474.0	0.006986891334691082
475.0	0.006505626324480534
476.0	0.006046592117395824
477.0	0.005624570590409082
478.0	0.005357272071240843
479.0	0.005101566667190993
480.0	0.004857015937659072
481.0	0.0045983690511005185
482.0	0.004315063428660296
483.0	0.004044875125273392
484.0	0.0037873486441884685
485.0	0.0035597383835813106
