grosores: [88.46733445 54.82386781]
corriente: 38.40224928915461 mA/cm2
wavelength	Reflectance
300.0	0.37998500532875695
301.0	0.37490647106466485
302.0	0.36979977874622577
303.0	0.36466571814910304
304.0	0.35950511442231137
305.0	0.3543188259085824
306.0	0.34910774069734324
307.0	0.34387277810512484
308.0	0.3386148938876475
309.0	0.3333350698152383
310.0	0.32803431253335114
311.0	0.3227136389213644
312.0	0.31737412213498906
313.0	0.3120168474539032
314.0	0.30664293398971265
315.0	0.30125349527664846
316.0	0.29584966873020385
317.0	0.2904326237892883
318.0	0.28500353641040327
319.0	0.27506199081419475
320.0	0.265108879529445
321.0	0.25515369729180165
322.0	0.24520620731550286
323.0	0.23527648647051572
324.0	0.22537481091624031
325.0	0.21551166120688015
326.0	0.2056976588316452
327.0	0.1959435580150429
328.0	0.18626029669931785
329.0	0.17665876447998133
330.0	0.16715034700956233
331.0	0.1577465253178845
332.0	0.14846011482544272
333.0	0.13930479831421905
334.0	0.13029524110639468
335.0	0.12144984163872632
336.0	0.11279099569038058
337.0	0.10434815054805327
338.0	0.09615988141460236
339.0	0.08827946854657523
340.0	0.08077922367657146
341.0	0.07376583016348111
342.0	0.06738902225148267
343.0	0.061861871256559835
344.0	0.05749430860057849
345.0	0.05571616337825343
346.0	0.053941045189241726
347.0	0.052168860955367505
348.0	0.05040433329614976
349.0	0.04863230418721707
350.0	0.046865461218409066
351.0	0.045098464754901334
352.0	0.04334584085376938
353.0	0.0415796577974776
354.0	0.03982880037950616
355.0	0.038066914887040205
356.0	0.0363264581882227
357.0	0.03455083356485367
358.0	0.03278430943882526
359.0	0.031010660498158767
360.0	0.029262730395845312
361.0	0.027515089112594586
362.0	0.02578704536073682
363.0	0.024105534060339436
364.0	0.022469018941510897
365.0	0.020888518725284924
366.0	0.019348732820922827
367.0	0.01788953804542352
368.0	0.016566821381946525
369.0	0.015304336493153957
370.0	0.014183140013499173
371.0	0.01312112032158069
372.0	0.012182362512668778
373.0	0.011315868863632107
374.0	0.010610444043853704
375.0	0.010035458195857107
376.0	0.0095559800187781
377.0	0.009214377726529426
378.0	0.00893772244604483
379.0	0.008841717152611154
380.0	0.008818208109820773
381.0	0.008945773641952894
382.0	0.009188977555128947
383.0	0.009536170531459992
384.0	0.010020685277298939
385.0	0.010590950458509697
386.0	0.01136606644659448
387.0	0.01224594050851706
388.0	0.01325847539756558
389.0	0.013977225648971007
390.0	0.014770531483933248
391.0	0.015732263179887098
392.0	0.016768803328606877
393.0	0.0179203474970643
394.0	0.019178947372382186
395.0	0.02052520985014446
396.0	0.02204031590473312
397.0	0.02364289671759943
398.0	0.025419404616627023
399.0	0.027354792096201255
400.0	0.029392462635618857
401.0	0.027833807149481346
402.0	0.02639355466842296
403.0	0.025134480140113533
404.0	0.024048236528666472
405.0	0.023062243555902834
406.0	0.022201964949480218
407.0	0.021435550097769224
408.0	0.020761656438204906
409.0	0.020211154665004477
410.0	0.019738651856201588
411.0	0.019364514742953417
412.0	0.019085111304151314
413.0	0.018872510925711215
414.0	0.01875913766509376
415.0	0.018717548597894658
416.0	0.018728288347766044
417.0	0.018815919408581842
418.0	0.018951533157622946
419.0	0.019132184456684586
420.0	0.019383182370941297
421.0	0.019673252602575256
422.0	0.02001012395477107
423.0	0.020405870542672705
424.0	0.020833324662525767
425.0	0.021291393670486172
426.0	0.021775873375333044
427.0	0.02228102773226755
428.0	0.02282757920370069
429.0	0.02341442640192235
430.0	0.024016830472020727
431.0	0.02463781041832752
432.0	0.025275609916509734
433.0	0.025923371539673744
434.0	0.02659250054890324
435.0	0.02728042358085969
436.0	0.02797210594332856
437.0	0.02868448630599951
438.0	0.02942803515381611
439.0	0.030174796206165578
440.0	0.03092323482610264
441.0	0.03167102461929746
442.0	0.03241658235488548
443.0	0.03317206997912659
444.0	0.033977895422433325
445.0	0.034780445694778866
446.0	0.03557860376513514
447.0	0.036312834975914414
448.0	0.03703837360952708
449.0	0.0377544192564384
450.0	0.03853251014153597
451.0	0.03932010731730131
452.0	0.04009857746229917
453.0	0.040847786904891006
454.0	0.04156609007944975
455.0	0.042271908092735
456.0	0.042968731898531655
457.0	0.043668453653200094
458.0	0.044354583892573275
459.0	0.0450266809400418
460.0	0.04569850029495759
461.0	0.04635943902189389
462.0	0.04700565402692023
463.0	0.047633463798156785
464.0	0.04824092083776944
465.0	0.048832795897267765
466.0	0.049408851454460216
467.0	0.05006810435540109
468.0	0.05072286862255284
469.0	0.05136185206451013
470.0	0.05195878306268712
471.0	0.05250033857686544
472.0	0.05302533846788177
473.0	0.05353365072021356
474.0	0.054162761537740266
475.0	0.05481066178072616
476.0	0.05544287444390421
477.0	0.056045004572346305
478.0	0.05650328361172048
479.0	0.05694523084072742
480.0	0.05737084689157265
481.0	0.05780475348362062
482.0	0.05825867668758456
483.0	0.05869540347854554
484.0	0.05911489505383896
485.0	0.05951717898283045
486.0	0.05990277051592153
