grosores: [46.85797704 56.92788508 53.46349718]
corriente: 38.67063077240988 mA/cm2
wavelength	Reflectance
300.0	0.18636498134112298
301.0	0.18169409704571657
302.0	0.17704708523418594
303.0	0.17242542041751713
304.0	0.16783056661076756
305.0	0.16326400844622885
306.0	0.15872728569058364
307.0	0.15422199487205968
308.0	0.14974970717528574
309.0	0.1453120895382683
310.0	0.14091089088600414
311.0	0.13654800159147745
312.0	0.13222515411811178
313.0	0.1279442220858778
314.0	0.12370711254277862
315.0	0.11951590970543301
316.0	0.1153726634061974
317.0	0.11127948784440954
318.0	0.10723858862877739
319.0	0.10021139038019013
320.0	0.09335020911261892
321.0	0.08666890406932565
322.0	0.08018217678328836
323.0	0.07390553600186138
324.0	0.06785541265488672
325.0	0.062049465224312636
326.0	0.056506596282168385
327.0	0.051247265401171437
328.0	0.04629356176726
329.0	0.04166981281988775
330.0	0.03740244633940291
331.0	0.03352103820227604
332.0	0.030057508821867966
333.0	0.027048171241802244
334.0	0.024535278377607658
335.0	0.022565661063585204
336.0	0.021193929928334247
337.0	0.020483042600629844
338.0	0.02050868997700581
339.0	0.021360441266847732
340.0	0.023150362104514752
341.0	0.02601094396084154
342.0	0.03011120163631983
343.0	0.035666327436913066
344.0	0.04295018764238669
345.0	0.044214689648123244
346.0	0.045501629976285776
347.0	0.0468176033936547
348.0	0.04815492580800871
349.0	0.04952398175352019
350.0	0.05091474941816484
351.0	0.05233869131315094
352.0	0.053781646288426285
353.0	0.05526427069794218
354.0	0.056767702672335024
355.0	0.05828207198545089
356.0	0.059808880251631495
357.0	0.06131750268832288
358.0	0.06282414367035423
359.0	0.06422751344770983
360.0	0.06558894489929137
361.0	0.06678893296063505
362.0	0.06787844016175222
363.0	0.06879030454793476
364.0	0.06951409505413167
365.0	0.07008769761089416
366.0	0.07030407706539243
367.0	0.07044392030322691
368.0	0.07032732878614947
369.0	0.07016259264590635
370.0	0.06972953273862877
371.0	0.06922609295201418
372.0	0.0685149828333029
373.0	0.0676795351778323
374.0	0.06687092089332314
375.0	0.06604431090126112
376.0	0.06516060633780116
377.0	0.06426616188477449
378.0	0.06327698000937063
379.0	0.062471742397424056
380.0	0.061586055476065604
381.0	0.060838546067527706
382.0	0.060120954740041484
383.0	0.05939749618881823
384.0	0.058746987003478274
385.0	0.05804857825718008
386.0	0.057626550271412905
387.0	0.057182165802935746
388.0	0.05678160656540843
389.0	0.05601310322878636
390.0	0.05525369684797333
391.0	0.05469787083394937
392.0	0.05414455456227699
393.0	0.053674878353742204
394.0	0.0532706212964962
395.0	0.05289841666404395
396.0	0.05269149697487578
397.0	0.05251365027364243
398.0	0.052495528675974894
399.0	0.05260540628541711
400.0	0.05276191124811372
401.0	0.050506400235139436
402.0	0.04834438657085789
403.0	0.04636413971457429
404.0	0.04455975703404057
405.0	0.04283749963852523
406.0	0.041244210145866995
407.0	0.03973687611394827
408.0	0.03831189539918077
409.0	0.03700245887805228
410.0	0.03576168089435968
411.0	0.03461779896722522
412.0	0.03356827231809563
413.0	0.032580269685937004
414.0	0.031710028450554144
415.0	0.0309188632039605
416.0	0.030179079436381324
417.0	0.029529101034942405
418.0	0.028929665588870456
419.0	0.02837628422643987
420.0	0.027885040471806562
421.0	0.027436084977629213
422.0	0.02703874266493992
423.0	0.02670642016471187
424.0	0.026411077861797163
425.0	0.026165025911458355
426.0	0.02597118175388498
427.0	0.025805591949772708
428.0	0.02568942034814135
429.0	0.02562155439439386
430.0	0.025577789003585514
431.0	0.025561725558272692
432.0	0.025571952967090146
433.0	0.025601867294132868
434.0	0.025678325689821997
435.0	0.02579855168662839
436.0	0.02593253051777128
437.0	0.026078049207073822
438.0	0.026236279756680178
439.0	0.02640865325950265
440.0	0.026601243292129928
441.0	0.026821458365141833
442.0	0.02705047104144535
443.0	0.027296004539778797
444.0	0.027584692632819832
445.0	0.02788129705974202
446.0	0.028184831446994796
447.0	0.0284776934174756
448.0	0.02877275664292819
449.0	0.029069217277098276
450.0	0.029400849895331642
451.0	0.029743926828977328
452.0	0.030089352299603522
453.0	0.030435238253613103
454.0	0.03077923670462646
455.0	0.03112125629730228
456.0	0.03146479744245724
457.0	0.03182173593120094
458.0	0.03217516450780196
459.0	0.0325245946169525
460.0	0.03288533066875654
461.0	0.03324518653973115
462.0	0.033599805876099446
463.0	0.03394721649300104
464.0	0.03428620386603777
465.0	0.034618664374452914
466.0	0.03494426757841986
467.0	0.035324455933149035
468.0	0.03570562958846237
469.0	0.03608060167278571
470.0	0.03643483594554918
471.0	0.03676015441321988
472.0	0.03707725033402475
473.0	0.03738586408854422
474.0	0.037774113111580646
475.0	0.03817840962099562
476.0	0.03857665539178642
477.0	0.03896021740750715
478.0	0.039261012676131635
479.0	0.039552515714905895
480.0	0.03983459844635562
481.0	0.04012213057626749
482.0	0.04042261168381937
483.0	0.04071346880809573
484.0	0.04099454428803217
485.0	0.041270269647596794
486.0	0.04153798587961876
487.0	0.041795643629364936
488.0	0.042043163885280906
489.0	0.04228378714639967
490.0	0.04251460607562505
491.0	0.042735198271817085
492.0	0.04294552893088579
493.0	0.04316043456007724
494.0	0.04336504120827528
495.0	0.04355933023059373
496.0	0.04374446374018137
497.0	0.04393009789501264
498.0	0.04410566725796607
499.0	0.04427117960984987
500.0	0.044429388646701186
501.0	0.0445877869422621
502.0	0.04473590991513928
503.0	0.0448737808861978
504.0	0.04500141201046188
505.0	0.04509009552164703
506.0	0.04516933700260822
507.0	0.04523919393759088
508.0	0.04529974480717604
509.0	0.04539518138852988
510.0	0.04548555009362193
511.0	0.04556594700606173
512.0	0.04563642409421117
513.0	0.04569154826387476
514.0	0.0457349734665013
515.0	0.045769207912470654
516.0	0.045794318926677735
517.0	0.045816366236673164
518.0	0.045838256426583755
519.0	0.045851041518038455
520.0	0.04585481497082712
521.0	0.04585052111675696
522.0	0.04584518033597689
523.0	0.04583116546561219
524.0	0.04580856988323364
525.0	0.04577748444177889
526.0	0.04574714120093183
527.0	0.04571433284563646
528.0	0.04567299071486946
529.0	0.04562320812688002
530.0	0.04556332045157912
531.0	0.04547971989543211
532.0	0.045388668468632834
533.0	0.045290281965538366
534.0	0.045184659677079124
535.0	0.04508951254039106
536.0	0.04499914555457754
537.0	0.044901937573368994
538.0	0.04479800141426211
539.0	0.04468743175697139
540.0	0.04457115947471021
541.0	0.04444807931711792
542.0	0.044318179820404764
543.0	0.04418157700450449
544.0	0.04403909072197462
545.0	0.043893138870507394
546.0	0.04374106080368636
547.0	0.0435829541636607
548.0	0.043418925277178944
549.0	0.04325373682424745
550.0	0.04308940121333711
551.0	0.04291886311307061
552.0	0.04274223748635612
553.0	0.04255962429911079
554.0	0.04237470126271315
555.0	0.042188332418729546
556.0	0.041997315801957376
557.0	0.04180174194505033
558.0	0.04160172249074388
559.0	0.04140099441013902
560.0	0.0411990520548634
561.0	0.04099216045578948
562.0	0.040780414679032984
563.0	0.0405639233923611
564.0	0.04034075043915342
565.0	0.04011031022239753
566.0	0.039875904556268965
567.0	0.03963762886784249
568.0	0.039395592541098604
569.0	0.039155667057141075
570.0	0.03892539128986396
571.0	0.038691207097896425
572.0	0.03845322401832423
573.0	0.03821152799742361
574.0	0.037966228068587016
575.0	0.03771192154462778
576.0	0.0374542702641657
577.0	0.037193386648832184
578.0	0.03692934532047413
579.0	0.036662251450100804
580.0	0.03640047683453367
581.0	0.03614155813854746
582.0	0.035880096952091864
583.0	0.035616184543218445
584.0	0.03534989893344516
585.0	0.035081538959895915
586.0	0.034811739345826355
587.0	0.0345396495994022
588.0	0.03426534790552419
589.0	0.03398892498525056
590.0	0.033710457716421734
591.0	0.033433864148111246
592.0	0.033157802420291795
593.0	0.03287977600531925
594.0	0.032599860731370014
595.0	0.03231813780863885
596.0	0.03203469652411254
597.0	0.03175223811652963
598.0	0.031468518271872574
599.0	0.031183333660407368
600.0	0.030896754140251954
601.0	0.030608855616468245
602.0	0.030320846799129376
603.0	0.030041758058530096
604.0	0.029761553479630665
605.0	0.029480303520332304
606.0	0.02919808475335377
607.0	0.028914959469568513
608.0	0.028629652660896957
609.0	0.028338204687859123
610.0	0.028046082511570865
611.0	0.027753359069280448
612.0	0.027460098854609052
613.0	0.02716635981210691
614.0	0.02687356150524938
615.0	0.02658570007348563
616.0	0.026297469476452968
617.0	0.026008930500406827
618.0	0.025720140497512273
619.0	0.025431173925673366
620.0	0.025141984810584533
621.0	0.024851842723592348
622.0	0.02456176605662359
623.0	0.024271812691632994
624.0	0.023982039788775722
625.0	0.02369249713305785
626.0	0.023403253764964153
627.0	0.023121438289725387
628.0	0.02284164055555839
