Source : TiO2_Si_SP_muestra2.D2.10h 45mn 30s
Spectrum : 1

Wavelength	Psi	Delta
726.4210	15.362	84.405
725.9799	15.367	84.379
725.5388	15.371	84.336
725.0975	15.378	84.281
724.6562	15.385	84.239
724.2147	15.383	84.199
723.7732	15.384	84.164
723.3315	15.387	84.135
722.8898	15.390	84.083
722.4479	15.391	84.048
722.0060	15.393	84.008
721.5640	15.406	83.941
721.1218	15.413	83.909
720.6796	15.416	83.888
720.2373	15.420	83.853
719.7949	15.420	83.825
719.3524	15.426	83.780
718.9097	15.431	83.747
718.4670	15.434	83.713
718.0242	15.446	83.666
717.5813	15.453	83.615
717.1383	15.457	83.574
716.6952	15.464	83.531
716.2520	15.470	83.481
715.8087	15.479	83.414
715.3653	15.488	83.356
714.9218	15.492	83.328
714.4782	15.501	83.284
714.0345	15.514	83.223
713.5907	15.523	83.184
713.1469	15.525	83.130
712.7028	15.533	83.077
712.2588	15.543	83.013
711.8146	15.555	82.971
711.3703	15.565	82.915
710.9259	15.580	82.851
710.4814	15.586	82.805
710.0369	15.599	82.751
709.5922	15.610	82.699
709.1474	15.618	82.660
708.7026	15.629	82.616
708.2576	15.637	82.572
707.8125	15.648	82.522
707.3674	15.659	82.465
706.9221	15.668	82.414
706.4767	15.680	82.357
706.0313	15.691	82.289
705.5857	15.704	82.243
705.1401	15.715	82.199
704.6943	15.731	82.146
704.2484	15.740	82.091
703.8025	15.750	82.050
703.3564	15.763	81.989
702.9103	15.779	81.942
702.4641	15.791	81.877
702.0177	15.804	81.827
701.5712	15.817	81.770
701.1247	15.831	81.717
700.6780	15.842	81.667
700.2313	15.856	81.617
699.7844	15.870	81.559
699.3375	15.882	81.503
698.8904	15.897	81.446
698.4433	15.911	81.400
697.9961	15.930	81.331
697.5488	15.943	81.269
697.1013	15.954	81.214
696.6537	15.964	81.169
696.2061	15.981	81.115
695.7584	15.995	81.061
695.3105	16.010	81.010
694.8626	16.026	80.953
694.4146	16.038	80.894
693.9664	16.052	80.843
693.5182	16.072	80.786
693.0699	16.088	80.744
692.6215	16.102	80.699
692.1729	16.112	80.656
691.7243	16.122	80.613
691.2756	16.137	80.563
690.8267	16.150	80.511
690.3778	16.165	80.454
689.9288	16.176	80.394
689.4797	16.188	80.331
689.0304	16.199	80.278
688.5811	16.210	80.221
688.1317	16.219	80.169
687.6821	16.231	80.128
687.2325	16.243	80.061
686.7828	16.255	80.014
686.3329	16.267	79.968
685.8830	16.278	79.923
685.4330	16.294	79.883
684.9828	16.311	79.829
684.5327	16.320	79.789
684.0823	16.331	79.746
683.6319	16.344	79.688
683.1813	16.353	79.640
682.7307	16.368	79.580
682.2800	16.379	79.531
681.8292	16.390	79.473
681.3782	16.404	79.419
680.9272	16.412	79.367
680.4761	16.423	79.317
680.0248	16.432	79.269
679.5735	16.444	79.215
679.1221	16.450	79.168
678.6705	16.459	79.129
678.2189	16.469	79.084
677.7672	16.479	79.027
677.3154	16.487	78.977
676.8634	16.496	78.931
676.4114	16.504	78.879
675.9592	16.513	78.827
675.5070	16.520	78.781
675.0547	16.529	78.746
674.6022	16.535	78.695
674.1497	16.542	78.650
673.6971	16.543	78.613
673.2443	16.554	78.564
672.7915	16.560	78.519
672.3386	16.566	78.468
671.8855	16.574	78.416
671.4324	16.579	78.360
670.9791	16.587	78.309
670.5258	16.595	78.250
670.0723	16.602	78.196
669.6188	16.610	78.146
669.1651	16.617	78.097
668.7114	16.627	78.052
668.2575	16.635	78.010
667.8035	16.647	77.958
667.3495	16.649	77.906
666.8953	16.656	77.862
666.4411	16.663	77.805
665.9868	16.670	77.759
665.5323	16.678	77.699
665.0777	16.688	77.651
664.6230	16.693	77.594
664.1683	16.699	77.550
663.7134	16.706	77.505
663.2584	16.713	77.448
662.8034	16.720	77.390
662.3482	16.725	77.347
661.8929	16.732	77.294
661.4376	16.739	77.241
660.9821	16.743	77.186
660.5265	16.747	77.137
660.0708	16.753	77.094
659.6151	16.759	77.045
659.1592	16.768	76.993
658.7032	16.773	76.939
658.2471	16.778	76.893
657.7909	16.782	76.834
657.3346	16.788	76.792
656.8782	16.794	76.753
656.4218	16.798	76.706
655.9651	16.803	76.647
655.5084	16.807	76.595
655.0516	16.809	76.537
654.5947	16.813	76.477
654.1377	16.820	76.426
653.6806	16.821	76.370
653.2234	16.826	76.311
652.7661	16.830	76.260
652.3087	16.835	76.215
651.8511	16.841	76.171
651.3936	16.846	76.121
650.9358	16.854	76.075
650.4780	16.863	76.030
650.0201	16.873	75.976
649.5620	16.881	75.934
649.1039	16.885	75.884
648.6457	16.889	75.827
648.1873	16.899	75.771
647.7289	16.905	75.712
647.2703	16.913	75.663
646.8117	16.917	75.602
646.3530	16.923	75.548
645.8941	16.927	75.497
645.4351	16.935	75.439
644.9761	16.941	75.390
644.5169	16.947	75.334
644.0577	16.954	75.275
643.5983	16.958	75.222
643.1389	16.967	75.169
642.6793	16.971	75.118
642.2196	16.975	75.058
641.7598	16.984	75.004
641.2999	16.993	74.946
640.8400	17.003	74.889
640.3799	17.009	74.839
639.9197	17.020	74.779
639.4594	17.026	74.723
638.9990	17.033	74.660
638.5385	17.041	74.601
638.0779	17.042	74.546
637.6172	17.048	74.484
637.1564	17.056	74.428
636.6954	17.061	74.370
636.2344	17.070	74.304
635.7733	17.080	74.234
635.3121	17.083	74.170
634.8508	17.091	74.102
634.3893	17.099	74.041
633.9278	17.113	73.976
633.4662	17.129	73.917
633.0044	17.140	73.860
632.5425	17.146	73.808
632.0806	17.152	73.759
631.6186	17.152	73.707
631.1564	17.161	73.654
630.6942	17.161	73.579
630.2318	17.161	73.506
629.7693	17.153	73.450
629.3068	17.165	73.385
628.8441	17.161	73.325
628.3813	17.180	73.266
627.9184	17.193	73.199
627.4554	17.211	73.159
626.9923	17.214	73.096
626.5291	17.210	73.043
626.0658	17.210	72.983
625.6024	17.215	72.927
625.1389	17.222	72.904
624.6753	17.235	72.873
624.2115	17.232	72.832
623.7477	17.234	72.777
623.2838	17.258	72.740
622.8198	17.270	72.669
622.3557	17.267	72.516
621.8914	17.265	72.377
621.4271	17.261	72.226
620.9626	17.250	72.061
620.4980	17.232	71.919
620.0334	17.233	71.760
619.5687	17.247	71.591
619.1038	17.243	71.444
618.6388	17.232	71.302
618.1737	17.235	71.154
617.7086	17.224	71.019
617.2433	17.219	70.877
616.7779	17.222	70.742
616.3124	17.221	70.629
615.8468	17.206	70.522
615.3810	17.208	70.402
614.9153	17.194	70.294
614.4492	17.187	70.191
613.9833	17.182	70.097
613.5172	17.178	69.996
613.0510	17.183	69.903
612.5847	17.185	69.815
612.1182	17.187	69.731
611.6516	17.188	69.645
611.1850	17.189	69.565
610.7183	17.192	69.491
610.2514	17.197	69.417
609.7844	17.200	69.342
609.3173	17.207	69.277
608.8502	17.217	69.213
608.3829	17.224	69.163
607.9156	17.234	69.109
607.4480	17.247	69.062
606.9804	17.259	69.021
606.5127	17.275	68.980
606.0449	17.287	68.938
605.5770	17.302	68.907
605.1089	17.319	68.870
604.6408	17.335	68.832
604.1726	17.359	68.801
603.7042	17.382	68.780
603.2358	17.403	68.765
602.7673	17.425	68.748
602.2986	17.445	68.720
601.8298	17.468	68.696
601.3610	17.489	68.680
