Source : TiO2_Si_SP_muestra2.D1.10h 43mn 29s
Spectrum : 1

Wavelength	Psi	Delta
726.4210	15.847	85.714
725.9799	15.852	85.680
725.5388	15.856	85.637
725.0975	15.861	85.588
724.6562	15.869	85.554
724.2147	15.866	85.523
723.7732	15.866	85.492
723.3315	15.868	85.464
722.8898	15.874	85.416
722.4479	15.876	85.384
722.0060	15.878	85.344
721.5640	15.894	85.292
721.1218	15.900	85.263
720.6796	15.902	85.229
720.2373	15.907	85.194
719.7949	15.904	85.185
719.3524	15.910	85.150
718.9097	15.911	85.131
718.4670	15.915	85.098
718.0242	15.929	85.040
717.5813	15.935	84.984
717.1383	15.941	84.943
716.6952	15.945	84.903
716.2520	15.954	84.850
715.8087	15.961	84.781
715.3653	15.967	84.740
714.9218	15.968	84.710
714.4782	15.976	84.672
714.0345	15.989	84.613
713.5907	15.997	84.566
713.1469	16.000	84.511
712.7028	16.007	84.469
712.2588	16.018	84.420
711.8146	16.027	84.370
711.3703	16.035	84.310
710.9259	16.048	84.242
710.4814	16.054	84.187
710.0369	16.064	84.138
709.5922	16.075	84.096
709.1474	16.087	84.055
708.7026	16.096	84.016
708.2576	16.105	83.980
707.8125	16.115	83.940
707.3674	16.126	83.881
706.9221	16.137	83.832
706.4767	16.148	83.769
706.0313	16.158	83.703
705.5857	16.169	83.653
705.1401	16.182	83.601
704.6943	16.193	83.559
704.2484	16.203	83.507
703.8025	16.212	83.462
703.3564	16.227	83.396
702.9103	16.244	83.345
702.4641	16.257	83.280
702.0177	16.273	83.227
701.5712	16.287	83.171
701.1247	16.299	83.125
700.6780	16.310	83.079
700.2313	16.324	83.028
699.7844	16.338	82.974
699.3375	16.352	82.928
698.8904	16.365	82.864
698.4433	16.381	82.814
697.9961	16.398	82.741
697.5488	16.411	82.683
697.1013	16.420	82.624
696.6537	16.433	82.578
696.2061	16.444	82.517
695.7584	16.454	82.470
695.3105	16.469	82.412
694.8626	16.483	82.357
694.4146	16.493	82.307
693.9664	16.509	82.251
693.5182	16.528	82.187
693.0699	16.545	82.135
692.6215	16.557	82.090
692.1729	16.567	82.040
691.7243	16.580	81.987
691.2756	16.594	81.942
690.8267	16.605	81.891
