Resultados del Stack: Ajuste_muestra2_2try
Fecha: 2026-06-08 17:23:42
ID: 6

información del stack
=====================

Material: air
Modelo de Dispersión: None

Material: T1_porosa
Modelo de Dispersión: bruggeman
Espesor: 15.26 nm
Parámetros del Modelo: {'f_air': 0.14012753631896632, 'linked_to': 'T1_densa', 'f_optimized': 1.0}

Material: T1_densa
Modelo de Dispersión: cauchy
Espesor: 91.24 nm
Parámetros del Modelo: {'A': 2.946776532748256, 'B': 47.55137940203669, 'C': -35.2978628930602}

Material: Si
Modelo de Dispersión: None

=====================

wl,best_Ic,best_Is,Ic_exp,Is_exp
829.9594,-0.3045165134251907,0.04681766812304891,-0.2807454991781968,0.05607300894799631
829.5408,-0.30464448298635555,0.047017129359583736,-0.28308836910058655,0.05680302861487205
829.1221,-0.304771727869469,0.047216687818724706,-0.28234964000345175,0.05691628926182361
828.7034,-0.3048982158080486,0.047416291125553414,-0.2845952762084471,0.057105396698166
828.2845,-0.305024005091309,0.047616029894160534,-0.2825571723495568,0.05690167459400593
827.8656,-0.3051490335497872,0.04781580399892596,-0.2832153060893489,0.057188531617551906
827.4465,-0.30527335878149625,0.04801570402293882,-0.28318031876374106,0.05736152732207653
827.0275,-0.3053968899882467,0.04821558203567494,-0.28284705382838843,0.05765899328915313
826.6082,-0.3055131019431903,0.04838484871211776,-0.2836102325893945,0.05776301448643853
826.1889,-0.3056283045953076,0.048551926169332835,-0.28346817856642353,0.057790763997844975
825.7695,-0.3057404810103394,0.04870692619015727,-0.28251956524132565,0.057592234021244394
825.35,-0.3058502048057563,0.04885199699114327,-0.28064197326748086,0.057428888259978675
824.9305,-0.3059595499746608,0.04899699606765594,-0.28011869356690106,0.057316713741887335
824.5108,-0.3060685785117643,0.049141989230595956,-0.2805934662028768,0.05733222731474679
824.0911,-0.30617722460454877,0.04928690465737998,-0.28049548430603916,0.057643781134245946
823.6713,-0.3062855012449649,0.0494317739414623,-0.280431932107818,0.057952167119172025
823.2513,-0.30639344237659016,0.04957662815290335,-0.2801425842930116,0.05803003769067261
822.8313,-0.30650099939215225,0.04972139506190469,-0.2798992882506631,0.05771985420716402
822.4112,-0.30660819741952194,0.049866105961456964,-0.28016080114223907,0.0579420254399756
821.991,-0.30671503619520046,0.05001075762582915,-0.28086841493849285,0.057822610492352516
821.5707,-0.30682153024974784,0.050155346880203955,-0.27999454721603095,0.05775478226431225
821.1503,-0.30692766355586304,0.050299870511208496,-0.27967537017978916,0.057480329378217634
820.7299,-0.3070334003104111,0.05044429076973923,-0.2805065459481356,0.057589928805119914
820.3093,-0.3071387947853524,0.050588673011862546,-0.28122364556746765,0.057588829860471646
819.8886,-0.3072438290781096,0.05073297744167042,-0.2812594183808215,0.05758081129501157
819.4679,-0.3073484817413801,0.05087716267097946,-0.2813168886492617,0.0576335035920261
819.0471,-0.30745277131771837,0.05102126565325839,-0.28188376668690995,0.057698379024035455
818.6262,-0.30755669000798747,0.051165290144037104,-0.28227272432131983,0.05779852648978784
818.2051,-0.30766026827621273,0.051309260619021704,-0.282506687051739,0.058154743284308225
817.7841,-0.30776344105275744,0.051453070553106404,-0.2831236507961697,0.05847235314726441
817.3629,-0.30786628117572845,0.05159681910692736,-0.2829363000557625,0.058222590839199145
816.9416,-0.3079687538280743,0.05174046826732663,-0.2837984389538613,0.058343211307987294
816.5202,-0.30807084724494727,0.05188401394062777,-0.28429845156401456,0.05839946041898504
816.0988,-0.3081725505774936,0.05202741920696946,-0.2849824472359819,0.05855551554058193
815.6772,-0.30828494003029816,0.052191036020283015,-0.2855127137769258,0.058960560750823135
815.2556,-0.3084001372455366,0.05236081059667873,-0.28529932599452307,0.05867252301488834
814.8338,-0.3085171905913839,0.05253512233195906,-0.28561203283237563,0.058809575351989204
814.412,-0.30863727197557667,0.052716338411905025,-0.2859184804491068,0.058976718467807825
813.9901,-0.308756700883145,0.05289759021855511,-0.2862263244244866,0.058805889259873956
813.5681,-0.30887548380948154,0.05307886561263914,-0.28650433960192495,0.05877962867053771
813.146,-0.308993610730339,0.05326016724308253,-0.28646529246677443,0.058969632602779806
812.7238,-0.309111079987422,0.053441490191803775,-0.28644699636932613,0.05889291182518977
812.3015,-0.3092278899444367,0.05362282950771568,-0.2871824281486388,0.05912770629243695
811.8792,-0.30934401157158214,0.053804137277390356,-0.28667911718994143,0.05875813346866913
811.4567,-0.30945949827260666,0.05398549435135622,-0.2867975911147104,0.05884500882967274
811.0341,-0.30957432090010556,0.054166852741833506,-0.2868833423336998,0.05892522011268133
810.6115,-0.30968845098431425,0.05434816446720936,-0.28710227614356176,0.05852121061393375
810.1888,-0.30980191425685777,0.0545294673341748,-0.28700824460207686,0.05864814455080275
809.7659,-0.3099147309211988,0.0547108031330931,-0.28740765385005,0.05886041439743236
