## SPECTRUM TYPE:
LCE

## DATE:
08/07/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:21:37

# END TIME:
11:21:37

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.792 198.190 -4.00773 -1.31690 0.000 67.35753 8.0000 5.81 2.7228281211233239E18 2.01491487133207101E19 1.240099 
999.4089 1.792 198.190 -4.00773 -1.31690 0.696 67.35753 8.0000 5.81 2.53243338912274842E18 1.87402103242327327E19 1.240575 
999.0253 1.792 198.190 -4.00773 -1.31690 0.406 67.35753 8.0000 5.93 2.41413006114265498E18 1.7864757175964926E19 1.241052 
998.6415 1.792 198.190 -4.00773 -1.31690 0.910 67.35753 8.0000 5.92 2.27919002272268288E18 1.68661906112234127E19 1.241529 
998.2578 1.792 198.190 -4.00773 -1.31690 0.177 67.35753 8.0000 6.04 2.12576526969444762E18 1.57308349043819151E19 1.242006 
997.8739 1.792 198.190 -4.00773 -1.31690 0.501 67.35753 8.0000 6.00 1.95200711069479731E18 1.44450099317676442E19 1.242484 
997.4900 1.792 198.190 -4.00773 -1.31690 -0.014 67.35753 8.0000 5.99 1.75606699179953357E18 1.29950377687310664E19 1.242962 
997.1060 1.792 198.190 -4.00773 -1.31690 -0.009 67.35753 8.0000 6.12 1.53609649652341146E18 1.1367237192087765E19 1.243440 
996.7219 1.792 198.190 -4.00773 -1.31690 -3.056 67.35752 8.0000 6.11 1.29024707094223258E18 9.54793247621146214E18 1.243920 
996.3377 1.792 198.190 -4.00773 -1.31690 -0.397 67.35753 8.0000 6.17 1.01667036729022874E18 7.52344294767355494E18 1.244399 
995.9535 1.792 198.190 -4.00773 -1.31690 -0.179 67.35753 8.0000 6.11 717214733333168128.0000 5.30744708087939072E18 1.244879 
995.5692 1.792 198.190 -4.00773 -1.31690 0.843 67.35752 8.0000 6.29 393728688635510784.0000 2.91362417486803763E18 1.245360 
995.1848 1.792 198.190 -4.00773 -1.31690 -0.595 67.35752 8.0000 6.40 51757761825865728.0000 383011611360624640.0000 1.245841 
994.8003 1.792 198.190 -4.00773 -1.31690 0.019 67.35753 8.0000 6.39 295758663547617280.0000 2.18863795591079526E18 1.246322 
994.4158 1.792 198.190 -4.00773 -1.31690 0.011 67.35753 8.0000 6.33 630335585113866240.0000 4.66453459457225523E18 1.246804 
994.0311 30.170 323.157 0.37073 -0.27777 0.010 0.26380 8.0000 6.47 0.5532 0.9002 1.247287 
993.6464 26.023 317.226 0.15524 -0.14362 0.425 0.16496 8.0000 6.48 0.5237 0.8193 1.247770 
993.2617 23.415 169.639 -0.13135 0.02401 0.859 0.12526 8.0000 6.41 0.5166 0.7052 1.248253 
992.8768 34.283 156.152 -0.33691 0.14893 -0.190 0.14462 8.0000 6.50 0.5971 0.6694 1.248737 
992.4919 17.761 129.427 -0.12014 0.14612 0.097 0.26499 8.0000 6.47 0.6944 0.7723 1.249221 
992.1069 18.043 142.899 -0.13969 0.10565 -6.691 0.24030 8.0000 6.52 0.5952 0.6787 1.249706 
991.7218 13.997 133.079 -0.12521 0.13390 -0.400 0.34487 8.0000 6.68 0.6257 0.6936 1.250191 
991.3367 13.349 111.512 -0.06829 0.17327 0.205 0.37033 8.0000 6.85 0.6508 0.6986 1.250677 
990.9514 11.979 108.168 -0.08611 0.26240 0.961 0.62148 8.0000 6.80 0.8272 0.8571 1.251163 
990.5661 7.350 132.914 -0.14606 0.15710 9.301 0.81771 8.0000 6.78 0.8446 0.8686 1.251650 
990.1807 4.264 87.871 0.00521 0.14027 -16.516 0.93602 8.0000 6.87 0.7640 0.8100 1.252137 
989.7953 1.597 116.858 -0.02329 0.04599 -0.329 0.92402 8.0000 6.84 0.7481 0.8150 1.252625 
989.4097 4.891 142.566 -0.12774 0.09779 -1.580 0.93321 8.0000 7.02 0.7376 0.8242 1.253113 
989.0241 7.907 149.958 -0.22556 0.13045 0.834 0.91996 8.0000 7.01 0.7529 0.8551 1.253601 
988.6384 11.668 155.643 -0.35860 0.16234 1.264 0.91242 8.0000 6.97 0.7713 0.8548 1.254090 
988.2526 11.062 137.548 -0.27239 0.24918 21.385 0.90804 8.0000 7.07 0.7482 0.8334 1.254580 
987.8668 11.842 132.690 -0.27661 0.29987 0.838 0.93005 8.0000 7.04 0.7583 0.8438 1.255070 
987.4809 10.757 133.397 -0.24309 0.25708 -3231.370 0.89757 8.0000 7.09 0.6993 0.7507 1.255560 
987.0949 10.378 135.186 -0.26437 0.26265 0.980 0.98336 8.0000 7.17 0.6811 0.6982 1.256051 
986.7088 5.671 132.186 -0.14667 0.16184 0.814 1.08893 8.0000 7.21 0.7608 0.7722 1.256543 
986.3226 4.705 163.690 -0.17113 0.05007 -1.763 1.07577 8.0000 7.22 0.8513 0.8588 1.257035 
985.9364 7.098 133.813 -0.16903 0.17619 -5.805 0.96524 8.0000 7.24 0.9034 0.9272 1.257527 
985.5501 8.636 119.637 -0.13868 0.24375 64.138 0.90191 8.0000 7.27 0.9809 1.0340 1.258020 
985.1638 11.555 116.701 -0.17118 0.34034 -1.697 0.89277 8.0000 7.41 1.0934 1.1612 1.258513 
984.7773 14.045 115.764 -0.19970 0.41376 0.833 0.86079 8.0000 7.44 1.1332 1.1936 1.259007 
984.3907 17.600 110.069 -0.18765 0.51363 -0.416 0.77521 8.0000 7.50 1.0097 1.0618 1.259502 
984.0041 13.263 105.555 -0.11160 0.40093 -0.402 0.83375 8.0000 7.54 0.9223 0.9630 1.259997 
983.6174 6.566 102.837 -0.04197 0.18420 0.453 0.80975 8.0000 7.68 0.7311 0.7787 1.260492 
983.2307 6.940 88.456 0.00638 0.23673 0.507 0.95835 8.0000 7.71 0.6966 0.7601 1.260988 
982.8438 3.749 318.900 0.11267 -0.09829 0.397 1.13591 8.0000 7.74 0.8004 0.8575 1.261484 
982.4569 4.696 129.327 -0.09964 0.12162 0.400 0.95047 8.0000 7.76 0.8095 0.9434 1.261981 
982.0699 11.371 120.719 -0.15587 0.26231 -2.081 0.72789 8.0000 7.84 0.7470 0.8634 1.262478 
981.6828 17.998 134.202 -0.30635 0.31501 -0.009 0.60490 8.0000 7.88 0.7455 0.8311 1.262976 
981.2957 25.654 149.783 -0.69556 0.40510 -0.005 0.64469 8.0000 7.95 0.8193 0.8945 1.263474 
980.9084 24.163 132.026 -0.41778 0.46357 0.003 0.55549 8.0000 8.03 0.7877 1.0138 1.263973 
980.5211 40.007 51.806 0.52792 0.67101 0.006 0.15033 8.0000 7.99 0.7840 0.8417 1.264472 
980.1337 37.314 75.318 0.13779 0.52588 -0.001 0.14945 8.0000 8.14 0.6089 0.7644 1.264972 
979.7463 35.254 40.922 0.52590 0.45590 -0.001 0.24636 8.0000 8.02 0.6461 0.9370 1.265472 
979.3587 56.686 93.494 -0.13082 2.14251 5.617 -0.92761 8.0000 8.10 0.6743 0.8474 1.265973 
978.9711 72.427 109.066 -0.19299 0.55838 4.389 -0.83920 8.0000 8.15 0.7067 1.2403 1.266474 
978.5834 60.694 195.719 -0.81708 -0.22997 0.945 -0.51787 8.0000 8.11 0.8250 1.5311 1.266976 
978.1956 44.053 198.820 -0.88084 -0.30021 5.722 0.03077 8.0000 8.18 0.9625 1.7042 1.267478 
977.8077 34.818 193.015 -0.89881 -0.20775 -2.164 0.34241 8.0000 8.26 1.0994 1.7212 1.267981 
977.4199 27.364 189.465 -0.86339 -0.14394 2.238 0.61913 8.0000 8.37 1.2594 1.6418 1.268484 
977.0319 15.586 198.274 -0.39115 -0.12916 1.884 0.68091 8.0000 8.34 0.9954 1.1358 1.268988 
976.6437 4.534 281.297 0.02199 -0.11006 0.969 0.70322 8.0000 8.34 0.8333 1.2115 1.269493 
976.2556 10.907 190.836 -0.34183 -0.06543 -6.506 0.86953 8.0000 8.42 1.0649 1.2141 1.269997 
975.8674 8.153 130.072 -0.18066 0.21475 0.891 0.95933 8.0000 8.47 1.0910 1.1783 1.270502 
975.4790 17.142 123.762 -0.31670 0.47377 0.678 0.83592 8.0000 8.65 1.1417 1.2425 1.271008 
975.0906 12.393 128.442 -0.23761 0.29933 -1.257 0.82760 8.0000 8.57 1.1091 1.1673 1.271515 
974.7021 12.250 130.758 -0.22806 0.26461 -10.807 0.76654 8.0000 8.66 1.0608 1.1443 1.272021 
974.3136 11.355 132.775 -0.21955 0.23730 0.843 0.77246 8.0000 8.54 0.9504 1.0133 1.272529 
973.9250 10.961 130.603 -0.18892 0.22039 0.020 0.72132 8.0000 8.68 0.7939 0.8378 1.273036 
973.5363 9.508 127.964 -0.14712 0.18855 0.040 0.69397 8.0000 8.75 0.6854 0.7205 1.273545 
973.1475 10.718 139.852 -0.14350 0.12104 -4.013 0.47815 8.0000 8.79 0.5381 0.5667 1.274053 
972.7586 2.711 138.075 -0.03013 0.02706 -1.993 0.42665 8.0000 8.86 0.5362 0.5601 1.274563 
972.3697 6.268 140.611 -0.05065 0.04159 -0.742 0.29479 8.0000 8.97 0.5191 0.5428 1.275073 
971.9807 23.937 138.021 -0.12013 0.10808 -0.345 0.14614 8.0000 8.92 0.5174 0.5425 1.275583 
971.5916 42.375 134.432 -0.17476 0.17826 -0.523 0.02294 8.0000 8.94 0.5809 0.6062 1.276094 
971.2024 51.865 127.316 -0.17549 0.23022 0.324 -0.07073 8.0000 9.16 0.7373 0.7595 1.276605 
970.8131 65.649 125.633 -0.15286 0.21326 0.035 -0.23050 8.0000 9.10 0.8095 0.8268 1.277117 
970.4238 69.847 121.233 -0.11994 0.19780 0.008 -0.27271 8.0000 9.01 0.8123 0.8241 1.277629 
970.0344 63.724 61.049 0.20216 0.36545 0.006 -0.31987 8.0000 9.30 0.8423 0.8863 1.278142 
969.6449 39.918 123.927 -0.18419 0.27382 0.004 0.05917 8.0000 9.32 0.9093 0.9300 1.278656 
969.2553 30.754 155.805 -0.49022 0.22026 0.001 0.29170 8.0000 9.30 1.0425 1.0992 1.279170 
968.8657 26.648 167.243 -0.74380 0.16841 -1.379 0.56852 8.0000 9.41 1.1573 1.2755 1.279684 
968.4760 26.785 173.975 -0.91324 0.09639 0.894 0.67777 8.0000 9.49 1.2557 1.4057 1.280199 
968.0861 25.129 175.708 -1.03466 0.07765 0.220 0.86267 8.0000 9.73 1.3090 1.4671 1.280714 
967.6962 17.515 173.661 -0.97635 0.10847 -0.782 1.40140 8.0000 9.64 1.5086 1.9308 1.281230 
967.3063 24.096 169.793 -0.81804 0.14729 0.822 0.74338 8.0000 9.63 1.3039 1.3772 1.281747 
966.9163 29.325 164.067 -0.57829 0.16509 0.931 0.36638 8.0000 9.79 1.0870 1.2662 1.282264 
966.5261 28.753 153.739 -0.34196 0.16871 -3.995 0.24286 8.0000 9.64 1.6071 2.1978 1.282782 
966.1359 49.082 39.259 0.71232 0.58219 0.813 -0.13197 8.0000 9.49 0.8212 1.3099 1.283300 
965.7457 37.388 190.710 -1.53085 -0.28953 -0.538 0.42402 8.0000 9.60 1.2547 2.1631 1.283818 
965.3553 28.614 177.836 -0.86885 0.03283 0.908 0.55973 8.0000 9.79 1.9761 3.1966 1.284337 
964.9649 24.299 170.860 -0.75090 0.12082 8.189 0.67058 8.0000 9.90 2.6136 4.0327 1.284857 
964.5743 21.260 167.127 -0.70661 0.16148 1.195 0.79045 8.0000 9.75 2.9929 4.4899 1.285377 
964.1838 18.755 167.260 -0.68896 0.15576 -0.066 0.92022 8.0000 9.81 2.9463 4.4442 1.285898 
