## SPECTRUM TYPE:
LCE

## DATE:
08/07/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:13:48

# END TIME:
11:13:48

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
982.8438 6.082 295.945 0.08333 -0.17127 0.335 0.88361 8.0000 5.45 0.7916 0.8381 1.261484 
982.4569 17.266 21.118 0.51887 0.20040 0.330 0.80837 8.0000 5.38 0.8516 0.9782 1.261981 
982.0699 17.519 43.078 0.31711 0.29652 -1.351 0.61913 8.0000 5.47 0.7480 0.8461 1.262478 
981.6828 24.647 64.511 0.19376 0.40642 -0.007 0.38734 8.0000 5.49 0.7142 0.7764 1.262976 
981.2957 24.634 88.353 0.01379 0.47982 -0.004 0.41334 8.0000 5.48 0.7135 0.8088 1.263474 
980.9084 37.644 97.565 -0.07857 0.59164 0.002 0.15670 8.0000 5.44 0.7203 0.8614 1.263973 
980.5211 48.426 107.652 -0.23201 0.72909 0.005 -0.09194 8.0000 5.43 0.6303 0.7413 1.264472 
980.1337 38.633 127.413 -0.35038 0.45807 -0.001 0.13033 8.0000 5.51 0.6090 0.7873 1.264972 
979.7463 28.609 154.233 -0.48600 0.23460 -0.001 0.34754 8.0000 5.41 0.6569 0.9343 1.265472 
979.3587 35.353 155.512 -0.86525 0.39410 4.422 0.33284 8.0000 5.49 0.7143 0.8658 1.265973 
978.9711 32.292 190.489 -1.03203 -0.19107 3.063 0.49874 8.0000 5.46 0.7562 1.0472 1.266474 
978.5834 27.154 182.904 -0.73368 -0.03721 0.720 0.52772 8.0000 5.40 0.7369 1.1259 1.266976 
978.1956 20.178 169.763 -0.48864 0.08825 3.569 0.58436 8.0000 5.43 0.7123 1.1632 1.267478 
977.8077 17.560 148.648 -0.36814 0.22429 -1.483 0.61292 8.0000 5.49 0.7440 1.1558 1.267981 
977.4199 18.415 144.843 -0.37984 0.26752 1.751 0.62035 8.0000 5.49 0.8764 1.1481 1.268484 
977.0319 21.375 139.771 -0.39199 0.33160 1.243 0.55543 8.0000 5.47 0.9613 1.1530 1.268988 
976.6437 17.547 147.066 -0.37072 0.24014 0.603 0.62862 8.0000 5.43 0.9004 1.1779 1.269493 
976.2556 10.858 150.319 -0.24773 0.14119 -4.404 0.71593 8.0000 5.42 0.9600 1.1436 1.269997 
975.8674 10.794 74.468 0.09752 0.35087 0.599 0.92033 8.0000 5.46 0.9935 1.0584 1.270502 
975.4790 14.877 83.065 0.05846 0.48058 0.492 0.84688 8.0000 5.52 0.9928 1.0614 1.271008 
975.0906 20.050 57.607 0.32421 0.51101 -0.832 0.71865 8.0000 5.43 1.0130 1.0567 1.271515 
974.7021 15.720 68.534 0.16214 0.41234 -10.190 0.72472 8.0000 5.48 0.9497 1.0045 1.272021 
974.3136 14.223 68.866 0.14378 0.37195 0.530 0.73610 8.0000 5.38 0.8621 0.9039 1.272529 
973.9250 14.370 65.632 0.15319 0.33821 0.013 0.67702 8.0000 5.43 0.7442 0.7781 1.273036 
