# lams, psi_mean, delta_mean
927.510400 3.599000 14.943000
927.112300 4.566000 8.634000
926.714100 7.502000 343.571000
926.315800 6.330000 287.472000
925.917400 6.939000 158.004000
925.519000 2.952000 200.521000
925.120400 14.462000 270.703000
924.721800 11.766000 265.051000
924.323100 4.380000 265.823000
923.924300 8.377000 109.149000
923.525500 13.962000 105.429000
923.126500 24.530000 133.008000
922.727500 13.137000 98.310000
922.328300 9.755000 39.064000
921.929100 12.119000 35.128000
921.529800 13.001000 20.024000
921.130500 13.115000 23.781000
920.731100 13.809000 14.373000
920.331500 13.882000 25.937000
919.931900 13.678000 54.322000
919.532200 15.721000 90.197000
919.132400 22.278000 121.670000
918.732600 16.468000 93.978000
918.332600 22.086000 99.607000
917.932600 10.295000 76.138000
917.532500 60.848000 123.387000
917.132300 12.118000 98.439000
916.732100 53.214000 91.081000
916.331700 80.082000 130.203000
915.931300 8.203000 321.521000
915.530800 7.521000 326.719000
915.130200 7.260000 328.366000
914.729500 6.448000 333.536000
914.328700 5.067000 350.205000
913.927900 6.147000 339.708000
913.527000 5.106000 348.341000
913.125900 36.348000 105.139000
912.724900 32.704000 123.910000
912.323700 5.465000 52.824000
911.922400 6.555000 44.488000
911.521100 23.011000 86.844000
911.119600 7.525000 180.855000
910.718100 25.994000 235.424000
910.316500 28.401000 16.621000
909.914900 34.105000 37.206000
909.513100 34.888000 18.151000
909.111300 35.669000 3.418000
908.709300 38.067000 355.056000
908.307300 41.188000 351.742000
907.905200 44.579000 353.505000
907.503100 65.180000 4.209000
907.100800 33.138000 6.686000
906.698400 18.998000 23.915000
906.296000 16.586000 43.160000
905.893500 17.630000 57.978000
905.490900 14.052000 48.061000
905.088300 11.436000 50.203000
904.685500 87.144000 161.821000
904.282600 9.245000 150.733000
903.879700 24.846000 173.907000
903.476700 39.192000 113.931000
903.073600 26.316000 113.849000
902.670400 28.649000 116.397000
902.267200 31.550000 120.602000
901.863800 35.782000 125.059000
901.460400 39.902000 124.662000
901.056900 41.419000 137.876000
900.653300 58.564000 266.225000
900.249600 15.030000 76.562000
899.845800 21.739000 50.746000
899.442000 63.132000 215.274000
899.038000 62.007000 212.556000
898.634000 61.900000 210.260000
898.229900 63.028000 190.423000
897.825700 65.488000 217.487000
897.421400 23.114000 73.847000
897.017100 26.361000 106.964000
896.612700 33.448000 135.707000
896.208100 30.820000 112.250000
895.803500 30.248000 111.513000
895.398900 29.513000 110.408000
894.994100 26.359000 111.556000
894.589200 17.473000 122.664000
894.184300 12.195000 235.012000
893.779200 8.316000 132.631000
893.374100 3.997000 61.472000
892.968900 5.106000 342.458000
892.563700 9.130000 319.844000
892.158300 9.557000 317.799000
891.752800 6.406000 333.789000
891.347300 5.791000 346.493000
890.941700 5.387000 36.863000
890.535900 4.928000 76.020000
890.130200 5.740000 111.507000
889.724300 10.393000 169.934000
889.318400 7.984000 353.693000
888.912300 13.552000 10.404000
888.506200 11.930000 18.469000
888.100000 11.265000 89.472000
887.693700 12.976000 88.882000
887.287300 13.256000 91.163000
886.880800 14.433000 94.432000
886.474300 10.086000 99.274000
886.067600 12.342000 108.566000
885.660900 13.213000 118.534000
885.254100 12.116000 106.763000
884.847200 12.015000 104.369000
884.440200 12.387000 100.393000
884.033200 15.827000 102.108000
883.626000 15.552000 99.393000
883.218800 20.375000 98.001000
882.811500 18.406000 79.821000
882.404100 5.850000 119.883000
881.996600 6.371000 169.884000
881.589000 7.615000 203.470000
881.181300 9.426000 220.357000
880.773600 22.146000 235.744000
880.365800 34.880000 204.383000
879.957900 47.984000 255.811000
879.549900 40.886000 148.629000
879.141800 39.539000 118.401000
878.733600 35.433000 111.745000
878.325300 35.677000 112.435000
877.917000 35.613000 111.643000
877.508500 35.484000 111.104000
877.100000 34.839000 111.655000
876.691500 33.052000 113.486000
876.282800 32.345000 137.608000
875.874000 43.116000 267.394000
875.465100 13.806000 141.895000
875.056200 10.178000 174.981000
874.647200 11.525000 288.425000
874.238000 45.916000 322.988000
873.828900 28.651000 99.936000
873.419600 67.113000 267.250000
873.010200 61.636000 253.696000
872.600700 46.614000 227.561000
872.191200 9.865000 130.776000
871.781600 8.190000 122.288000
871.371800 9.935000 111.935000
870.962000 7.820000 127.809000
870.552100 8.457000 127.520000
870.142200 6.342000 140.679000
869.732100 8.133000 132.996000
869.321900 11.425000 120.522000
868.911700 14.395000 111.224000
868.501300 16.347000 105.911000
868.090900 17.819000 102.494000
867.680500 17.484000 104.460000
867.269900 16.414000 104.356000
866.859200 15.932000 103.757000
866.448500 14.040000 102.407000
866.037600 14.506000 100.099000
