## SPECTRUM TYPE:
LCE

## DATE:
18/08/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
14:15:05

# END TIME:
14:15:05

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.311 208.852 -2.70074 -1.48794 0.000 67.35752 8.0000 7.74 2.72035037167013069E18 1.48441029658363822E19 1.240099 
999.4089 1.311 208.852 -2.70074 -1.48794 0.911 67.35752 8.0000 7.74 2.53012881275092992E18 1.38061244067972383E19 1.240575 
999.0253 1.311 208.852 -2.70074 -1.48794 0.609 67.35752 8.0000 7.90 2.41193296203245158E18 1.31611673786182533E19 1.241052 
998.6415 1.311 208.852 -2.70074 -1.48794 1.139 67.35752 8.0000 7.92 2.27711593147583693E18 1.24255116362640261E19 1.241529 
998.2578 1.311 208.852 -2.70074 -1.48794 0.262 67.35752 8.0000 8.07 2.12383081642432922E18 1.15890823546892452E19 1.242006 
997.8739 1.311 208.852 -2.70074 -1.48794 0.677 67.35752 8.0000 8.04 1.95023071222117171E18 1.06418003108020879E19 1.242484 
997.4900 1.311 208.852 -2.70074 -1.48794 -0.028 67.35752 8.0000 8.06 1.75446885164856115E18 9.5735895800456151E18 1.242962 
997.1060 1.311 208.852 -2.70074 -1.48794 -0.009 67.35751 8.0000 8.18 1.53469846748869427E18 8.37437148908381798E18 1.243440 
996.7219 1.311 208.852 -2.70074 -1.48794 -4.031 67.35752 8.0000 8.15 1.28907292996272128E18 7.03406956360394342E18 1.243920 
996.3377 1.311 208.852 -2.70074 -1.48794 -0.556 67.35752 8.0000 8.25 1.01574512825545523E18 5.54260458051416883E18 1.244399 
995.9535 1.311 208.852 -2.70074 -1.48794 -0.292 67.35752 8.0000 8.17 716562035743129600.0000 3.9100557629063168E18 1.244879 
995.5692 1.311 208.852 -2.70074 -1.48794 1.168 67.35752 8.0000 8.41 393370385283809280.0000 2.14649958509314048E18 1.245360 
