## SPECTRUM TYPE:
LCE

## DATE:
18/08/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
14:22:18

# END TIME:
14:22:18

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
982.8438 7.137 218.999 -0.16744 -0.13559 0.588 0.84682 8.0000 9.87 0.7540 0.8148 1.261484 
982.4569 10.282 133.167 -0.18963 0.20217 0.563 0.73889 8.0000 9.87 0.7929 0.9415 1.261981 
982.0699 14.994 104.168 -0.08047 0.31875 -2.640 0.56969 8.0000 9.97 0.7336 0.8564 1.262478 
981.6828 24.857 93.631 -0.02765 0.43572 -0.013 0.37007 8.0000 10.15 0.7164 0.7997 1.262976 
981.2957 27.416 102.288 -0.11837 0.54346 -0.007 0.39190 8.0000 10.12 0.7370 0.8469 1.263474 
980.9084 36.327 74.424 0.14292 0.51271 0.004 0.16625 8.0000 10.18 0.6647 0.7841 1.263973 
980.5211 46.396 23.971 1.14557 0.50934 0.009 -0.06115 8.0000 10.18 0.7749 0.8956 1.264472 
980.1337 40.777 60.844 0.34683 0.62170 -0.002 0.10571 8.0000 10.33 0.5727 0.7136 1.264972 
979.7463 32.707 72.631 0.17909 0.57256 -0.002 0.27448 8.0000 10.19 0.6006 0.7792 1.265472 
979.3587 38.009 126.401 -0.57256 0.77656 8.623 0.24023 8.0000 10.39 0.6525 0.8475 1.265973 
978.9711 39.377 160.845 -2.06439 0.71707 5.877 0.43457 8.0000 10.46 0.7929 0.9754 1.266474 
978.5834 38.814 163.091 -1.76342 0.53607 1.583 0.40432 8.0000 10.36 0.9634 1.1180 1.266976 
978.1956 36.213 163.704 -1.56788 0.45836 7.239 0.51737 8.0000 10.50 1.1322 1.2836 1.267478 
977.8077 33.167 164.223 -1.23974 0.35026 -2.898 0.56457 8.0000 10.52 1.2272 1.3777 1.267981 
977.4199 29.287 166.984 -0.95206 0.22009 3.322 0.59706 8.0000 10.73 1.2836 1.4297 1.268484 
977.0319 20.178 164.406 -0.45784 0.12778 2.504 0.55938 8.0000 10.81 1.0003 1.1914 1.268988 
976.6437 6.627 104.685 -0.03616 0.13798 1.339 0.60559 8.0000 10.85 0.7840 1.0159 1.269493 
976.2556 12.625 169.439 -0.31427 0.05859 -8.460 0.67780 8.0000 10.85 0.9423 1.1180 1.269997 
975.8674 7.427 100.853 -0.04267 0.22258 1.234 0.85452 8.0000 11.01 0.9657 1.0576 1.270502 
975.4790 9.148 95.565 -0.02529 0.25958 0.972 0.78883 8.0000 11.15 0.9768 1.0405 1.271008 
