# TiO2_oxigeno_T1
# Longitud_de_onda[nm]	Indice_refraccion
693.0699	2.000592
692.6215	2.001444
692.1729	2.002298
691.7243	2.003154
691.2756	2.004011
690.8267	2.004869
690.3778	2.005729
689.9288	2.006590
689.4797	2.007452
689.0304	2.008316
688.5811	2.009182
688.1317	2.010049
687.6821	2.010918
687.2325	2.011788
686.7828	2.012659
686.3329	2.013532
685.8830	2.014406
685.4330	2.015282
684.9828	2.016160
684.5327	2.017038
684.0823	2.017919
683.6319	2.018801
683.1813	2.019684
682.7307	2.020569
682.2800	2.021456
681.8292	2.022343
681.3782	2.023233
680.9272	2.024124
680.4761	2.025016
680.0248	2.025910
679.5735	2.026806
679.1221	2.027703
678.6705	2.028601
678.2189	2.029502
677.7672	2.030403
677.3154	2.031306
676.8634	2.032211
676.4114	2.033117
675.9592	2.034025
675.5070	2.034935
675.0547	2.035845
674.6022	2.036758
674.1497	2.037672
673.6971	2.038588
673.2443	2.039505
672.7915	2.040424
672.3386	2.041344
671.8855	2.042266
671.4324	2.043189
670.9791	2.044114
670.5258	2.045041
670.0723	2.045969
669.6188	2.046899
669.1651	2.047831
668.7114	2.048763
668.2575	2.049698
667.8035	2.050635
667.3495	2.051572
666.8953	2.052512
666.4411	2.053453
665.9868	2.054395
665.5323	2.055340
665.0777	2.056286
664.6230	2.057233
664.1683	2.058182
663.7134	2.059133
663.2584	2.060086
662.8034	2.061040
662.3482	2.061995
661.8929	2.062953
661.4376	2.063912
660.9821	2.064872
660.5265	2.065835
660.0708	2.066799
659.6151	2.067764
659.1592	2.068732
658.7032	2.069701
658.2471	2.070671
657.7909	2.071643
657.3346	2.072617
656.8782	2.073593
656.4218	2.074570
655.9651	2.075549
655.5084	2.076530
655.0516	2.077513
654.5947	2.078497
654.1377	2.079482
653.6806	2.080470
653.2234	2.081459
652.7661	2.082450
652.3087	2.083442
651.8511	2.084437
651.3936	2.085433
650.9358	2.086431
650.4780	2.087430
650.0201	2.088431
649.5620	2.089434
649.1039	2.090439
648.6457	2.091445
648.1873	2.092453
647.7289	2.093463
647.2703	2.094475
646.8117	2.095488
646.3530	2.096503
645.8941	2.097520
645.4351	2.098539
644.9761	2.099559
644.5169	2.100581
644.0577	2.101605
643.5983	2.102631
643.1389	2.103658
642.6793	2.104687
642.2196	2.105719
641.7598	2.106751
641.2999	2.107786
640.8400	2.108822
640.3799	2.109860
639.9197	2.110900
639.4594	2.111942
638.9990	2.112986
638.5385	2.114031
638.0779	2.115078
637.6172	2.116127
637.1564	2.117178
636.6954	2.118231
636.2344	2.119285
635.7733	2.120341
635.3121	2.121399
634.8508	2.122459
634.3893	2.123521
633.9278	2.124584
633.4662	2.125650
633.0044	2.126717
632.5425	2.127786
632.0806	2.128857
631.6186	2.129930
631.1564	2.131005
630.6942	2.132081
630.2318	2.133159
629.7693	2.134240
629.3068	2.135322
628.8441	2.136406
628.3813	2.137492
627.9184	2.138579
627.4554	2.139669
626.9923	2.140760
626.5291	2.141854
626.0658	2.142949
625.6024	2.144046
625.1389	2.145145
624.6753	2.146246
624.2115	2.147349
623.7477	2.148454
623.2838	2.149560
622.8198	2.150669
622.3557	2.151779
621.8914	2.152892
621.4271	2.154006
620.9626	2.155123
620.4980	2.156241
620.0334	2.157361
619.5687	2.158483
619.1038	2.159607
618.6388	2.160733
618.1737	2.161861
617.7086	2.162990
617.2433	2.164122
616.7779	2.165256
616.3124	2.166392
615.8468	2.167529
615.3810	2.168669
614.9153	2.169810
614.4493	2.170954
613.9833	2.172099
613.5172	2.173247
613.0510	2.174396
612.5847	2.175548
612.1182	2.176701
611.6517	2.177856
611.1850	2.179014
610.7183	2.180173
610.2514	2.181335
