# TiO2_RTP_oxigeno
# Longitud_de_onda[nm]	Indice_refraccion
693.0699	1.992692
692.6215	1.993543
692.1729	1.994396
691.7243	1.995251
691.2756	1.996107
690.8267	1.996964
690.3778	1.997823
689.9288	1.998683
689.4797	1.999544
689.0304	2.000408
688.5811	2.001272
688.1317	2.002138
687.6821	2.003006
687.2325	2.003875
686.7828	2.004745
686.3329	2.005617
685.8830	2.006491
685.4330	2.007365
684.9828	2.008242
684.5327	2.009120
684.0823	2.009999
683.6319	2.010880
683.1813	2.011762
682.7307	2.012646
682.2800	2.013531
681.8292	2.014418
681.3782	2.015306
680.9272	2.016196
680.4761	2.017088
680.0248	2.017981
679.5735	2.018875
679.1221	2.019771
678.6705	2.020668
678.2189	2.021567
677.7672	2.022467
677.3154	2.023369
676.8634	2.024273
676.4114	2.025178
675.9592	2.026085
675.5070	2.026993
675.0547	2.027902
674.6022	2.028814
674.1497	2.029726
673.6971	2.030641
673.2443	2.031557
672.7915	2.032474
672.3386	2.033393
671.8855	2.034314
671.4324	2.035236
670.9791	2.036160
670.5258	2.037085
670.0723	2.038012
669.6188	2.038940
669.1651	2.039870
668.7114	2.040802
668.2575	2.041735
667.8035	2.042670
667.3495	2.043606
666.8953	2.044545
666.4411	2.045484
665.9868	2.046425
665.5323	2.047368
665.0777	2.048313
664.6230	2.049259
664.1683	2.050206
663.7134	2.051156
663.2584	2.052107
662.8034	2.053059
662.3482	2.054013
661.8929	2.054969
661.4376	2.055926
660.9821	2.056886
660.5265	2.057846
660.0708	2.058809
659.6151	2.059773
659.1592	2.060738
658.7032	2.061706
658.2471	2.062675
657.7909	2.063645
657.3346	2.064618
656.8782	2.065592
656.4218	2.066567
655.9651	2.067544
655.5084	2.068523
655.0516	2.069504
654.5947	2.070486
654.1377	2.071470
653.6806	2.072456
653.2234	2.073443
652.7661	2.074433
652.3087	2.075423
651.8511	2.076416
651.3936	2.077410
650.9358	2.078406
650.4780	2.079403
650.0201	2.080403
649.5620	2.081404
649.1039	2.082407
648.6457	2.083411
648.1873	2.084417
647.7289	2.085425
647.2703	2.086435
646.8117	2.087446
646.3530	2.088459
645.8941	2.089474
645.4351	2.090491
644.9761	2.091509
644.5169	2.092529
644.0577	2.093551
643.5983	2.094575
643.1389	2.095600
642.6793	2.096627
642.2196	2.097656
641.7598	2.098687
641.2999	2.099719
640.8400	2.100753
640.3799	2.101789
639.9197	2.102827
639.4594	2.103866
638.9990	2.104908
638.5385	2.105951
638.0779	2.106996
637.6172	2.108042
637.1564	2.109091
636.6954	2.110141
636.2344	2.111193
635.7733	2.112247
635.3121	2.113303
634.8508	2.114360
634.3893	2.115420
633.9278	2.116481
633.4662	2.117544
633.0044	2.118609
632.5425	2.119675
632.0806	2.120744
631.6186	2.121814
631.1564	2.122886
630.6942	2.123960
630.2318	2.125036
629.7693	2.126114
629.3068	2.127193
628.8441	2.128274
628.3813	2.129358
627.9184	2.130443
627.4554	2.131530
626.9923	2.132619
626.5291	2.133709
626.0658	2.134802
625.6024	2.135896
625.1389	2.136993
624.6753	2.138091
624.2115	2.139191
623.7477	2.140293
623.2838	2.141397
622.8198	2.142502
622.3557	2.143610
621.8914	2.144720
621.4271	2.145831
620.9626	2.146944
620.4980	2.148060
620.0334	2.149177
619.5687	2.150296
619.1038	2.151417
618.6388	2.152540
618.1737	2.153665
617.7086	2.154791
617.2433	2.155920
616.7779	2.157051
616.3124	2.158183
615.8468	2.159318
615.3810	2.160454
614.9153	2.161593
614.4493	2.162733
613.9833	2.163875
613.5172	2.165019
613.0510	2.166166
612.5847	2.167314
612.1182	2.168464
611.6517	2.169616
611.1850	2.170770
610.7183	2.171926
610.2514	2.173084
609.7844	2.174244
609.3173	2.175406
608.8502	2.176570
608.3829	2.177736
607.9155	2.178903
607.4480	2.180073
606.9804	2.181245
606.5127	2.182419
