# TiO2_aire_T1-2
# wavelength_nm	indice_refraccion
693.0699	1.952974
692.6215	1.953725
692.1729	1.954478
691.7243	1.955232
691.2756	1.955988
690.8267	1.956745
690.3778	1.957503
689.9288	1.958262
689.4797	1.959023
689.0304	1.959785
688.5811	1.960548
688.1317	1.961313
687.6821	1.962079
687.2325	1.962847
686.7828	1.963615
686.3329	1.964386
685.8830	1.965157
685.4330	1.965930
684.9828	1.966704
684.5327	1.967480
684.0823	1.968257
683.6319	1.969035
683.1813	1.969815
682.7307	1.970596
682.2800	1.971378
681.8292	1.972162
681.3782	1.972947
680.9272	1.973734
680.4761	1.974522
680.0248	1.975311
679.5735	1.976102
679.1221	1.976894
678.6705	1.977688
678.2189	1.978482
677.7672	1.979279
677.3154	1.980076
676.8634	1.980876
676.4114	1.981676
675.9592	1.982478
675.5070	1.983282
675.0547	1.984087
674.6022	1.984893
674.1497	1.985701
673.6971	1.986510
673.2443	1.987320
672.7915	1.988132
672.3386	1.988946
671.8855	1.989761
671.4324	1.990577
670.9791	1.991395
670.5258	1.992214
670.0723	1.993035
669.6188	1.993857
669.1651	1.994681
668.7114	1.995506
668.2575	1.996332
667.8035	1.997161
667.3495	1.997990
666.8953	1.998821
666.4411	1.999653
665.9868	2.000487
665.5323	2.001323
665.0777	2.002160
664.6230	2.002998
664.1683	2.003838
663.7134	2.004680
663.2584	2.005523
662.8034	2.006367
662.3482	2.007213
661.8929	2.008061
661.4376	2.008909
660.9821	2.009760
660.5265	2.010612
660.0708	2.011466
659.6151	2.012321
659.1592	2.013177
658.7032	2.014035
658.2471	2.014895
657.7909	2.015756
657.3346	2.016619
656.8782	2.017484
656.4218	2.018349
655.9651	2.019217
655.5084	2.020086
655.0516	2.020956
654.5947	2.021828
654.1377	2.022702
653.6806	2.023577
653.2234	2.024454
652.7661	2.025333
652.3087	2.026212
651.8511	2.027094
651.3936	2.027977
650.9358	2.028862
650.4780	2.029748
650.0201	2.030636
649.5620	2.031526
649.1039	2.032417
648.6457	2.033310
648.1873	2.034204
647.7289	2.035100
647.2703	2.035998
646.8117	2.036897
646.3530	2.037797
645.8941	2.038700
645.4351	2.039604
644.9761	2.040510
644.5169	2.041417
644.0577	2.042326
643.5983	2.043237
643.1389	2.044149
642.6793	2.045063
642.2196	2.045978
641.7598	2.046895
641.2999	2.047814
640.8400	2.048735
640.3799	2.049657
639.9197	2.050581
639.4594	2.051506
638.9990	2.052434
638.5385	2.053362
638.0779	2.054293
637.6172	2.055225
637.1564	2.056159
636.6954	2.057095
636.2344	2.058032
635.7733	2.058971
635.3121	2.059912
634.8508	2.060854
634.3893	2.061799
633.9278	2.062744
633.4662	2.063692
633.0044	2.064641
632.5425	2.065593
632.0806	2.066545
631.6186	2.067500
631.1564	2.068456
630.6942	2.069414
630.2318	2.070373
629.7693	2.071335
629.3068	2.072298
628.8441	2.073263
628.3813	2.074230
627.9184	2.075198
627.4554	2.076168
626.9923	2.077140
626.5291	2.078114
626.0658	2.079090
625.6024	2.080067
625.1389	2.081046
624.6753	2.082027
624.2115	2.083009
623.7477	2.083994
623.2838	2.084980
622.8198	2.085968
622.3557	2.086958
621.8914	2.087949
621.4271	2.088943
620.9626	2.089938
620.4980	2.090935
620.0334	2.091934
619.5687	2.092934
619.1038	2.093937
618.6388	2.094941
618.1737	2.095947
617.7086	2.096955
617.2433	2.097965
616.7779	2.098977
616.3124	2.099990
615.8468	2.101005
615.3810	2.102023
614.9153	2.103042
614.4493	2.104063
613.9833	2.105085
613.5172	2.106110
613.0510	2.107136
612.5847	2.108165
612.1182	2.109195
611.6517	2.110227
611.1850	2.111261
610.7183	2.112297
610.2514	2.113335
609.7844	2.114374
609.3173	2.115416
608.8502	2.116459
608.3829	2.117505
607.9155	2.118552
607.4480	2.119601
606.9804	2.120652
606.5127	2.121705
606.0449	2.122760
605.5770	2.123817
605.1089	2.124876
604.6408	2.125936
604.1726	2.126999
603.7042	2.128064
603.2358	2.129130
602.7673	2.130199
602.2986	2.131269
601.8298	2.132341
601.3610	2.133416
600.8920	2.134492
600.4229	2.135570
599.9537	2.136651
599.4844	2.137733
599.0150	2.138817
598.5455	2.139903
598.0759	2.140991
597.6062	2.142081
597.1364	2.143173
596.6664	2.144267
596.1964	2.145363
595.7263	2.146461
595.2560	2.147561
594.7857	2.148663
594.3152	2.149767
593.8447	2.150873
593.3740	2.151982
592.9032	2.153092
592.4323	2.154204
591.9613	2.155318
591.4902	2.156434
591.0190	2.157552
590.5477	2.158673
590.0763	2.159795
589.6048	2.160919
589.1331	2.162046
588.6614	2.163174
588.1896	2.164304
587.7176	2.165437
587.2455	2.166572
586.7734	2.167708
586.3011	2.168847
585.8287	2.169988
585.3563	2.171130
584.8837	2.172275
584.4109	2.173422
583.9382	2.174571
583.4652	2.175722
582.9922	2.176876
582.5191	2.178031
582.0458	2.179189
581.5725	2.180348
581.0991	2.181509
580.6255	2.182673
580.1519	2.183839
579.6780	2.185007
579.2042	2.186177
578.7302	2.187349
578.2561	2.188524
577.7819	2.189700
577.3076	2.190878
576.8332	2.192059
576.3586	2.193242
575.8840	2.194427
575.4093	2.195614
574.9344	2.196803
574.4595	2.197995
573.9844	2.199188
