## SPECTRUM TYPE:
LCE

## DATE:
24/09/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
10:54:59

# END TIME:
10:54:59

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
19

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
12 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 6.233 226.643 -10.22358 -10.82734 0.000 67.35753 12.0000 5.00 2.78310912099405005E18 7.05285340035054305E19 1.240099 
999.4089 6.233 226.643 -10.22358 -10.82734 1.208 67.35753 12.0000 4.98 2.58849913629048832E18 6.55968021404650045E19 1.240575 
999.0253 6.233 226.643 -10.22358 -10.82734 0.837 67.35754 12.0000 5.09 2.4675764967351255E18 6.25324280494812037E19 1.241052 
998.6415 6.233 226.643 -10.22358 -10.82734 2.532 67.35754 12.0000 5.05 2.32964908522248602E18 5.90371201671998996E19 1.241529 
998.2578 6.233 226.643 -10.22358 -10.82734 0.290 67.35753 12.0000 5.12 2.17282780333709722E18 5.50630101553942364E19 1.242006 
997.8739 6.233 226.643 -10.22358 -10.82734 0.694 67.35753 12.0000 5.19 1.99522272802976563E18 5.05622076856048026E19 1.242484 
997.4900 6.233 226.643 -10.22358 -10.82734 -0.128 67.35753 12.0000 5.08 1.79494462344606515E18 4.54868312254652088E19 1.242962 
997.1060 6.233 226.643 -10.22358 -10.82734 -0.006 67.35753 12.0000 5.23 1.57010411629261619E18 3.97890124367485993E19 1.243440 
996.7219 6.233 226.643 -10.22358 -10.82734 -2.066 67.35753 12.0000 5.17 1.31881183327603917E18 3.34208521949025403E19 1.243920 
996.3377 6.233 226.643 -10.22358 -10.82734 -3.293 67.35754 12.0000 5.28 1.03917846982243123E18 2.63344821617001759E19 1.244399 
995.9535 6.233 226.643 -10.22358 -10.82734 -1.551 67.35754 12.0000 5.26 733093193066741760.0000 1.85777816704846397E19 1.244879 
995.5692 6.233 226.643 -10.22358 -10.82734 0.838 67.35753 12.0000 5.37 402445479381565440.0000 1.01986267560641823E19 1.245360 
995.1848 6.233 226.643 -10.22358 -10.82734 -0.671 67.35753 12.0000 5.48 52903629035667456.0000 1.34066462687808717E18 1.245841 
994.8003 6.233 226.643 -10.22358 -10.82734 0.025 67.35754 12.0000 5.48 302306495809191936.0000 7.66094072501764096E18 1.246322 
994.4158 6.233 226.643 -10.22358 -10.82734 0.018 67.35753 12.0000 5.38 644290655413075968.0000 1.6327379336078295E19 1.246804 
994.0311 62.434 113.241 -0.26522 0.61759 0.010 -0.46832 12.0000 5.46 0.6202 0.6790 1.247287 
993.6464 51.621 96.312 -0.06306 0.57017 1.060 -0.13500 12.0000 5.56 0.5844 0.6825 1.247770 
993.2617 38.284 71.530 0.15935 0.47709 1.042 0.12013 12.0000 5.58 0.6032 0.8242 1.248253 
992.8768 48.271 76.592 0.15872 0.66582 -0.943 -0.07849 12.0000 5.61 0.6007 0.7312 1.248737 
992.4919 56.182 38.676 0.35694 0.28571 0.542 -0.18810 12.0000 5.56 0.6407 0.7837 1.249221 
992.1069 56.656 66.206 0.22147 0.50229 -7.018 -0.23654 12.0000 5.66 0.6266 0.7632 1.249706 
991.7218 48.381 61.677 0.27666 0.51333 -1.159 -0.06914 12.0000 5.72 0.6513 0.7578 1.250191 
991.3367 46.538 50.572 0.38963 0.47387 0.504 -0.03297 12.0000 5.95 0.6627 0.8142 1.250677 
990.9514 36.551 52.803 0.41624 0.54843 1.551 0.20915 12.0000 5.86 0.7710 0.9382 1.251163 
990.5661 22.143 68.016 0.16264 0.40287 15.908 0.44541 12.0000 5.84 0.7770 0.9565 1.251650 
990.1807 19.891 54.203 0.27209 0.37729 -16.216 0.55865 12.0000 5.91 0.8001 1.0165 1.252137 
989.7953 10.436 83.073 0.03051 0.25112 -0.504 0.66344 12.0000 5.91 0.7128 0.8908 1.252625 
989.4097 16.124 89.293 0.00551 0.44697 -1.103 0.70852 12.0000 6.04 0.7027 0.8121 1.253113 
989.0241 20.064 103.484 -0.12320 0.51381 1.301 0.62686 12.0000 6.02 0.6911 0.7764 1.253601 
988.6384 32.474 115.067 -0.29374 0.62802 1.200 0.32407 12.0000 5.95 0.7089 0.7936 1.254090 
988.2526 26.734 82.808 0.09239 0.73217 18.759 0.54672 12.0000 6.09 0.6978 0.7813 1.254580 
987.8668 32.771 71.133 0.27754 0.81214 1.061 0.39036 12.0000 6.10 0.7208 0.8252 1.255070 
987.4809 26.798 75.096 0.17587 0.66080 -3075.773 0.50422 12.0000 6.15 0.6636 0.7234 1.255560 
987.0949 26.467 77.343 0.13667 0.60861 1.648 0.47118 12.0000 6.19 0.6217 0.6486 1.256051 
986.7088 23.511 74.779 0.13718 0.50417 1.145 0.48688 12.0000 6.21 0.6114 0.6509 1.256543 
986.3226 19.727 83.774 0.03686 0.33790 -1.686 0.41302 12.0000 6.24 0.5991 0.6447 1.257035 
985.9364 26.121 79.987 0.07592 0.43003 -6.991 0.33820 12.0000 6.26 0.6282 0.7022 1.257527 
985.5501 24.944 75.449 0.09704 0.37384 53.122 0.32537 12.0000 6.27 0.6522 0.7895 1.258020 
985.1638 34.604 79.035 0.09622 0.49661 -2.843 0.19207 12.0000 6.36 0.7133 0.9036 1.258513 
984.7773 39.769 79.958 0.10605 0.59886 1.144 0.11231 12.0000 6.43 0.7835 0.9636 1.259007 
984.3907 43.383 72.241 0.26908 0.84013 -2.043 0.04985 12.0000 6.45 0.8339 1.0055 1.259502 
984.0041 38.429 70.949 0.15388 0.44563 -1.607 0.11007 12.0000 6.49 0.6445 0.7905 1.259997 
983.6174 2.337 65.540 0.00821 0.01805 0.901 0.24259 12.0000 6.67 0.5400 0.7750 1.260492 
983.2307 30.919 244.205 -0.13791 -0.28534 0.763 0.16966 12.0000 6.70 0.5910 0.7665 1.260988 
