## SPECTRUM TYPE:
LCE

## DATE:
24/09/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
10:57:49

# END TIME:
10:57:49

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
19

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
12 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 32.802 225.698 -103.73374 -106.29299 0.000 67.35757 12.0000 5.25 6.57887834677444608E18 7.02914441121848361E20 1.240099 
999.4089 32.802 225.698 -103.73374 -106.29299 1.273 67.35756 12.0000 5.22 6.11884762951529267E18 6.53762928844912722E20 1.240575 
999.0253 32.802 225.698 -103.73375 -106.29299 0.810 67.35757 12.0000 5.30 5.83300374335166874E18 6.23222190184364769E20 1.241052 
998.6415 32.802 225.698 -103.73375 -106.29299 2.692 67.35757 12.0000 5.34 5.50696281158818202E18 5.8838663596042145E20 1.241529 
998.2578 32.802 225.698 -103.73375 -106.29299 0.308 67.35757 12.0000 5.49 5.13625916774862029E18 5.48779060534441935E20 1.242006 
997.8739 32.802 225.698 -103.73374 -106.29299 0.753 67.35757 12.0000 5.38 4.71642604584514355E18 5.03922363820901663E20 1.242484 
997.4900 32.802 225.698 -103.73375 -106.29299 -0.143 67.35757 12.0000 5.43 4.24299640501200486E18 4.53339234628043538E20 1.242962 
997.1060 32.802 225.698 -103.73374 -106.29299 -0.008 67.35757 12.0000 5.48 3.71150567828461978E18 3.96552537685970911E20 1.243440 
996.7219 32.802 225.698 -103.73375 -106.29299 -2.257 67.35757 12.0000 5.53 3.11748600016352051E18 3.33085032171670864E20 1.243920 
996.3377 32.802 225.698 -103.73375 -106.29300 -3.690 67.35757 12.0000 5.59 2.45647170417249485E18 2.62459565223060701E20 1.244399 
