Resultados del Stack: Ajuste_muestra2
Fecha: 2026-06-08 17:00:20
ID: 5

información del stack
=====================

Material: air
Modelo de Dispersión: None

Material: T1_porosa
Modelo de Dispersión: bruggeman
Espesor: 1.69 nm
Parámetros del Modelo: {'f_air': 0.035041542960543424, 'linked_to': 'T1_porosa', 'f_optimized': 1.0}

Material: T1_porosa
Modelo de Dispersión: cauchy
Espesor: 10.83 nm
Parámetros del Modelo: {'A': 2.975719374984167, 'B': 18.388771643570294, 'C': 10.78486032740824}

Material: Si
Modelo de Dispersión: None

=====================

wl,best_Ic,best_Is,Ic_exp,Is_exp
829.9594,-0.31537452135361327,0.06999989117278223,-0.2807454991781968,0.05607300894799631
829.5408,-0.3154077037570977,0.07001396589804317,-0.28308836910058655,0.05680302861487205
829.1221,-0.31544088625040484,0.07002796795982613,-0.28234964000345175,0.05691628926182361
828.7034,-0.3154740609780416,0.07004189368123634,-0.2845952762084471,0.057105396698166
828.2845,-0.3155072438539852,0.07005574935251656,-0.2825571723495568,0.05690167459400593
827.8656,-0.31554041910338915,0.07006952799523967,-0.2832153060893489,0.057188531617551906
827.4465,-0.315573602634121,0.07008323582300094,-0.28318031876374106,0.05736152732207653
827.0275,-0.3156067707646665,0.07009686268488209,-0.28284705382838843,0.05765899328915313
826.6082,-0.3156672787693883,0.0700972077059594,-0.2836102325893945,0.05776301448643853
826.1889,-0.3157297006762328,0.07009657076085596,-0.28346817856642353,0.057790763997844975
825.7695,-0.31580284710495593,0.07009070968233504,-0.28251956524132565,0.057592234021244394
825.35,-0.3158847903187516,0.07008056902603813,-0.28064197326748086,0.057428888259978675
824.9305,-0.3159667318876657,0.0700703945860888,-0.28011869356690106,0.057316713741887335
824.5108,-0.31604871315491334,0.07006019191005093,-0.2805934662028768,0.05733222731474679
824.0911,-0.31613069238599806,0.07004995228335054,-0.28049548430603916,0.057643781134245946
823.6713,-0.3162126866357834,0.07003966051270713,-0.280431932107818,0.057952167119172025
823.2513,-0.3162947173837008,0.07002932288635519,-0.2801425842930116,0.05803003769067261
822.8313,-0.31637674636461394,0.07001894751427948,-0.2798992882506631,0.05771985420716402
822.4112,-0.31645879319585407,0.07000853166279841,-0.28016080114223907,0.0579420254399756
821.991,-0.31654085803362114,0.06999807539579096,-0.28086841493849285,0.057822610492352516
821.5707,-0.31662294406879565,0.06998759372312766,-0.27999454721603095,0.05775478226431225
821.1503,-0.3167050482031603,0.06997707073536219,-0.27967537017978916,0.057480329378217634
820.7299,-0.3167871489204134,0.0699664984026338,-0.2805065459481356,0.057589928805119914
820.3093,-0.31686928629921224,0.0699558759624091,-0.28122364556746765,0.057588829860471646
819.8886,-0.3169514445066945,0.0699452129718498,-0.2812594183808215,0.05758081129501157
819.4679,-0.3170336084512284,0.06993451457349412,-0.2813168886492617,0.0576335035920261
819.0471,-0.3171157909516638,0.0699237734589947,-0.28188376668690995,0.057698379024035455
818.6262,-0.31719798389219317,0.06991298389886498,-0.28227272432131983,0.05779852648978784
818.2051,-0.31728021407119883,0.06990214777156911,-0.282506687051739,0.058154743284308225
817.7841,-0.3173624256683725,0.06989128140801758,-0.2831236507961697,0.05847235314726441
817.3629,-0.31744467726893577,0.06988037637694094,-0.2829363000557625,0.058222590839199145
816.9416,-0.3175269474432505,0.0698694249458743,-0.2837984389538613,0.058343211307987294
816.5202,-0.3176092339987418,0.06985841524616124,-0.28429845156401456,0.05839946041898504
816.0988,-0.31769152024522723,0.06984736339601277,-0.2849824472359819,0.05855551554058193
815.6772,-0.31775826829679493,0.06985322902024112,-0.2855127137769258,0.058960560750823135
815.2556,-0.31782023890947625,0.06986422514924423,-0.28529932599452307,0.05867252301488834
814.8338,-0.31787878273615655,0.06987889744942116,-0.28561203283237563,0.058809575351989204
814.412,-0.31793201406782956,0.06989924388402961,-0.2859184804491068,0.058976718467807825
813.9901,-0.3179852428778798,0.06991952092544784,-0.2862263244244866,0.058805889259873956
813.5681,-0.318038478019011,0.06993973408289259,-0.28650433960192495,0.05877962867053771
813.146,-0.3180917105472015,0.06995987694546121,-0.28646529246677443,0.058969632602779806
812.7238,-0.3181449405282818,0.06997994912838489,-0.28644699636932613,0.05889291182518977
812.3015,-0.31819816802874595,0.0699999502450895,-0.2871824281486388,0.05912770629243695
811.8792,-0.31825138051689145,0.07001987519803529,-0.28667911718994143,0.05875813346866913
811.4567,-0.3183046032618105,0.07003973303347824,-0.2867975911147104,0.05884500882967274
811.0341,-0.3183578237296042,0.07005951863214469,-0.2868833423336998,0.05892522011268133
810.6115,-0.3184110294011351,0.07007922694573752,-0.28710227614356176,0.05852121061393375
810.1888,-0.3184642329415673,0.07009886226976586,-0.28700824460207686,0.05864814455080275
809.7659,-0.3185174419046647,0.07011842538104285,-0.28740765385005,0.05886041439743236
809.343,-0.31857063218730275,0.0701379072883873,-0.2875749814423466,0.05904112736984239
808.92,-0.3186238222981809,0.07015731617877527,-0.28784229853249804,0.05923214649505672
808.4969,-0.3186770180312288,0.0701766555265123,-0.28802129072016347,0.05952053265915937
808.0738,-0.3187301994250633,0.07019591533649074,-0.2879226653139966,0.05966784444911202
807.6505,-0.3187833916926534,0.07021510430615659,-0.2880144196049863,0.059718315997109
807.2271,-0.31883658233762735,0.07023421746534214,-0.2881047491817825,0.059611186954181286
806.8036,-0.31888977143549696,0.07025325440344111,-0.28841712872037595,0.05991207914558457
