#Lam(nm)  R%(0-100)  T%(0-100)
666.917  7.274  92.726  
668.421  7.365  92.635  
669.925  7.456  92.544  
671.429  7.546  92.454  
672.932  7.637  92.363  
674.436  7.727  92.273  
675.940  7.818  92.182  
677.444  7.909  92.091  
678.947  7.999  92.001  
680.451  8.089  91.911  
681.955  8.179  91.821  
683.459  8.268  91.732  
684.962  8.357  91.643  
686.466  8.445  91.555  
687.970  8.534  91.466  
689.474  8.622  91.378  
690.977  8.710  91.290  
692.481  8.798  91.202  
693.985  8.885  91.115  
695.489  8.972  91.028  
696.992  9.058  90.942  
698.496  9.146  90.854  
700.000  9.233  90.767  
701.504  9.320  90.680  
703.008  9.406  90.594  
704.511  9.492  90.508  
706.015  9.577  90.423  
707.519  9.661  90.339  
709.023  9.746  90.254  
710.526  9.829  90.171  
712.030  9.912  90.088  
713.534  9.997  90.003  
715.038  10.081  89.919  
716.541  10.165  89.835  
718.045  10.249  89.751  
719.549  10.333  89.667  
721.053  10.411  89.589  
722.556  10.486  89.514  
724.060  10.561  89.439  
725.564  10.636  89.364  
727.068  10.709  89.291  
728.571  10.784  89.216  
730.075  10.857  89.143  
731.579  10.932  89.068  
733.083  11.006  88.994  
734.586  11.079  88.921  
736.090  11.153  88.847  
737.594  11.226  88.774  
739.098  11.297  88.703  
740.602  11.370  88.630  
742.105  11.445  88.555  
743.609  11.518  88.482  
745.113  11.592  88.408  
746.617  11.665  88.335  
748.120  11.738  88.262  
749.624  11.811  88.189  
751.128  11.883  88.117  
752.632  11.955  88.045  
754.135  12.027  87.973  
755.639  12.098  87.902  
757.143  12.170  87.830  
758.647  12.243  87.757  
760.150  12.316  87.684  
761.654  12.390  87.610  
763.158  12.465  87.535  
764.662  12.540  87.460  
766.165  12.613  87.387  
767.669  12.686  87.314  
769.173  12.758  87.242  
770.677  12.830  87.170  
772.180  12.902  87.098  
773.684  12.974  87.026  
775.188  13.044  86.956  
776.692  13.114  86.886  
778.195  13.184  86.816  
779.699  13.252  86.748  
781.203  13.316  86.684  
782.707  13.378  86.622  
784.211  13.439  86.561  
785.714  13.501  86.499  
787.218  13.563  86.437  
788.722  13.624  86.376  
790.226  13.684  86.316  
791.729  13.745  86.255  
793.233  13.804  86.196  
794.737  13.864  86.136  
796.241  13.924  86.076  
797.744  13.983  86.017  
799.248  14.041  85.959  
800.752  14.099  85.901  
802.256  14.153  85.847  
803.759  14.209  85.791  
805.263  14.263  85.737  
806.767  14.318  85.682  
808.271  14.374  85.626  
809.774  14.429  85.571  
811.278  14.483  85.517  
812.782  14.538  85.462  
814.286  14.592  85.408  
815.789  14.645  85.355  
817.293  14.695  85.305  
818.797  14.745  85.255  
820.301  14.795  85.205  
821.805  14.853  85.147  
823.308  14.910  85.090  
824.812  14.967  85.033  
826.316  15.023  84.977  
827.820  15.083  84.917  
829.323  15.146  84.854  
830.827  15.207  84.793  
832.331  15.269  84.731  
833.835  15.330  84.670  
835.338  15.390  84.610  
836.842  15.451  84.549  
838.346  15.511  84.489  
839.850  15.570  84.430  
841.353  15.623  84.377  
842.857  15.673  84.327  
844.361  15.724  84.276  
845.865  15.774  84.226  
847.368  15.824  84.176  
848.872  15.874  84.126  
850.376  15.924  84.076  
851.880  15.973  84.027  
853.383  16.022  83.978  
854.887  16.071  83.929  
856.391  16.120  83.880  
857.895  16.168  83.832  
859.398  16.216  83.784  
860.902  16.269  83.731  
862.406  16.324  83.676  
863.910  16.379  83.621  
865.414  16.434  83.566  
866.917  16.489  83.511  
868.421  16.543  83.457  
869.925  16.597  83.403  
871.429  16.651  83.349  
872.932  16.705  83.295  
874.436  16.758  83.242  
875.940  16.811  83.189  
877.444  16.864  83.136  
878.947  16.916  83.084  
880.451  16.966  83.034  
881.955  17.010  82.990  
883.459  17.054  82.946  
884.962  17.098  82.902  
886.466  17.141  82.859  
887.970  17.185  82.815  
889.474  17.228  82.772  
890.977  17.271  82.729  
892.481  17.313  82.687  
893.985  17.356  82.644  
895.489  17.398  82.602  
896.992  17.440  82.560  
898.496  17.481  82.519  
900.000  17.523  82.477  
