Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
725.5388	23.881	84.547
725.0975	23.894	84.537
724.6562	23.906	84.527
724.2147	23.919	84.517
723.7732	23.931	84.507
723.3315	23.944	84.497
722.8898	23.957	84.487
722.4479	23.969	84.477
722.0060	23.982	84.467
721.5640	23.994	84.457
721.1218	24.007	84.447
720.6796	24.020	84.437
720.2373	24.032	84.427
719.7949	24.044	84.416
719.3524	24.057	84.406
718.9097	24.069	84.396
718.4670	24.082	84.385
718.0242	24.094	84.375
717.5813	24.107	84.365
717.1383	24.120	84.354
716.6952	24.132	84.344
716.2520	24.144	84.333
715.8087	24.157	84.322
715.3653	24.169	84.312
714.9218	24.182	84.301
714.4782	24.194	84.290
714.0345	24.207	84.279
713.5907	24.219	84.269
713.1469	24.232	84.258
712.7028	24.244	84.247
712.2588	24.256	84.236
711.8146	24.269	84.226
711.3703	24.282	84.215
710.9259	24.294	84.204
710.4814	24.307	84.193
710.0369	24.319	84.183
709.5922	24.332	84.172
709.1474	24.344	84.161
708.7026	24.357	84.150
708.2576	24.370	84.140
707.8125	24.383	84.128
707.3674	24.397	84.117
706.9221	24.410	84.106
706.4767	24.424	84.095
706.0313	24.437	84.084
705.5857	24.451	84.073
705.1401	24.464	84.062
704.6943	24.478	84.050
704.2484	24.491	84.040
703.8025	24.504	84.030
703.3564	24.517	84.020
702.9103	24.531	84.011
702.4641	24.544	84.001
702.0177	24.557	83.991
701.5712	24.570	83.981
701.1247	24.583	83.972
700.6780	24.596	83.962
700.2313	24.610	83.952
699.7844	24.623	83.943
699.3375	24.637	83.933
698.8904	24.650	83.923
698.4433	24.664	83.914
697.9961	24.677	83.904
697.5488	24.691	83.894
697.1013	24.704	83.885
696.6537	24.718	83.875
696.2061	24.731	83.866
695.7584	24.745	83.857
695.3105	24.759	83.847
694.8626	24.772	83.838
694.4146	24.786	83.829
693.9664	24.800	83.819
693.5182	24.814	83.810
693.0699	24.827	83.801
692.6215	24.841	83.792
692.1729	24.855	83.782
691.7243	24.869	83.773
691.2756	24.883	83.764
690.8267	24.896	83.755
690.3778	24.910	83.746
689.9288	24.924	83.737
689.4797	24.938	83.728
689.0304	24.952	83.719
688.5811	24.965	83.710
688.1317	24.979	83.700
687.6821	24.993	83.690
687.2325	25.006	83.681
686.7828	25.020	83.671
686.3329	25.034	83.661
685.8830	25.047	83.652
685.4330	25.061	83.642
684.9828	25.075	83.633
684.5327	25.089	83.623
684.0823	25.103	83.613
683.6319	25.116	83.604
683.1813	25.130	83.594
682.7307	25.144	83.585
682.2800	25.158	83.575
681.8292	25.172	83.566
681.3782	25.186	83.556
680.9272	25.200	83.547
680.4761	25.214	83.538
680.0248	25.228	83.529
679.5735	25.242	83.520
679.1221	25.256	83.512
678.6705	25.270	83.503
678.2189	25.285	83.494
677.7672	25.299	83.485
677.3154	25.313	83.476
676.8634	25.328	83.468
676.4114	25.342	83.460
675.9592	25.357	83.452
675.5070	25.371	83.444
675.0547	25.386	83.435
674.6022	25.401	83.427
674.1497	25.415	83.419
673.6971	25.430	83.411
673.2443	25.444	83.403
672.7915	25.459	83.395
672.3386	25.474	83.387
671.8855	25.489	83.379
671.4324	25.503	83.370
670.9791	25.518	83.362
670.5258	25.533	83.354
670.0723	25.547	83.346
669.6188	25.562	83.338
669.1651	25.576	83.329
668.7114	25.591	83.320
668.2575	25.605	83.312
667.8035	25.620	83.303
667.3495	25.634	83.295
666.8953	25.649	83.286
666.4411	25.664	83.278
665.9868	25.678	83.269
665.5323	25.693	83.260
665.0777	25.708	83.251
664.6230	25.722	83.243
664.1683	25.737	83.234
663.7134	25.752	83.225
663.2584	25.767	83.217
662.8034	25.782	83.208
662.3482	25.796	83.199
661.8929	25.811	83.190
661.4376	25.826	83.182
660.9821	25.841	83.173
660.5265	25.856	83.164
660.0708	25.871	83.155
659.6151	25.886	83.147
659.1592	25.901	83.138
658.7032	25.916	83.129
658.2471	25.931	83.121
657.7909	25.946	83.112
657.3346	25.961	83.103
656.8782	25.976	83.095
