Source : SiO2_Marcela.M1.11h 13mn 13s
Spectrum : 1

Wavelength	Psi	Delta
739.6077	23.166	84.903
739.1696	23.172	84.910
738.7313	23.176	84.915
738.2930	23.184	84.912
737.8545	23.194	84.873
737.4160	23.201	84.878
736.9773	23.215	84.870
736.5386	23.231	84.879
736.0996	23.238	84.897
735.6608	23.249	84.909
735.2218	23.258	84.907
734.7827	23.261	84.931
734.3434	23.267	84.912
733.9041	23.288	84.900
733.4647	23.293	84.922
733.0252	23.302	84.926
732.5856	23.334	84.905
732.1459	23.342	84.909
731.7061	23.358	84.902
731.2662	23.368	84.909
730.8261	23.384	84.900
730.3861	23.389	84.933
729.9459	23.403	84.915
729.5057	23.409	84.905
729.0653	23.415	84.907
728.6248	23.409	84.918
728.1843	23.420	84.934
727.7436	23.432	84.936
727.3028	23.440	84.960
726.8619	23.449	84.976
726.4210	23.457	84.969
725.9799	23.467	84.952
725.5388	23.480	84.931
725.0975	23.498	84.874
724.6562	23.505	84.868
724.2147	23.501	84.882
723.7732	23.500	84.905
723.3315	23.514	84.899
722.8898	23.527	84.870
722.4479	23.537	84.867
722.0060	23.535	84.871
721.5640	23.555	84.858
721.1218	23.573	84.845
720.6796	23.584	84.850
720.2373	23.594	84.835
719.7949	23.602	84.853
719.3524	23.621	84.848
718.9097	23.635	84.842
718.4670	23.641	84.846
718.0242	23.663	84.823
717.5813	23.675	84.814
717.1383	23.690	84.815
716.6952	23.704	84.801
716.2520	23.719	84.781
715.8087	23.731	84.769
715.3653	23.744	84.766
714.9218	23.752	84.776
714.4782	23.768	84.764
714.0345	23.780	84.746
713.5907	23.794	84.737
713.1469	23.795	84.746
712.7028	23.810	84.723
712.2588	23.825	84.693
711.8146	23.843	84.691
711.3703	23.859	84.666
710.9259	23.873	84.635
710.4814	23.877	84.634
710.0369	23.894	84.632
709.5922	23.908	84.624
709.1474	23.915	84.615
708.7026	23.921	84.598
708.2576	23.940	84.592
707.8125	23.955	84.582
707.3674	23.965	84.558
706.9221	23.978	84.551
706.4767	23.994	84.536
706.0313	24.010	84.503
705.5857	24.017	84.487
705.1401	24.029	84.489
704.6943	24.048	84.480
704.2484	24.062	84.474
703.8025	24.077	84.455
703.3564	24.091	84.437
702.9103	24.105	84.427
702.4641	24.132	84.378
702.0177	24.161	84.349
701.5712	24.180	84.325
701.1247	24.203	84.336
700.6780	24.227	84.323
700.2313	24.250	84.306
699.7844	24.259	84.296
699.3375	24.279	84.266
698.8904	24.300	84.255
698.4433	24.321	84.236
697.9961	24.354	84.202
697.5488	24.377	84.175
697.1013	24.402	84.154
696.6537	24.426	84.140
696.2061	24.443	84.112
695.7584	24.458	84.107
695.3105	24.475	84.101
694.8626	24.492	84.078
694.4146	24.511	84.076
693.9664	24.532	84.053
693.5182	24.553	84.022
693.0699	24.573	84.019
692.6215	24.593	84.012
692.1729	24.611	83.993
691.7243	24.628	83.973
691.2756	24.648	83.946
690.8267	24.661	83.930
690.3778	24.675	83.915
689.9288	24.691	83.881
689.4797	24.711	83.863
689.0304	24.732	83.839
