Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
725.5388	22.361	34.720
725.0975	22.367	34.619
724.6562	22.373	34.517
724.2147	22.378	34.414
723.7732	22.384	34.312
723.3315	22.390	34.209
722.8898	22.395	34.106
722.4479	22.401	34.003
722.0060	22.406	33.900
721.5640	22.412	33.796
721.1218	22.417	33.692
720.6796	22.422	33.588
720.2373	22.427	33.485
719.7949	22.432	33.381
719.3524	22.437	33.276
718.9097	22.442	33.172
718.4670	22.447	33.067
718.0242	22.452	32.963
717.5813	22.457	32.857
717.1383	22.462	32.752
716.6952	22.466	32.646
716.2520	22.471	32.541
715.8087	22.475	32.436
715.3653	22.479	32.330
714.9218	22.483	32.224
714.4782	22.488	32.117
714.0345	22.492	32.011
713.5907	22.496	31.904
713.1469	22.500	31.797
712.7028	22.504	31.690
712.2588	22.508	31.582
711.8146	22.511	31.475
711.3703	22.515	31.367
710.9259	22.519	31.259
710.4814	22.523	31.150
710.0369	22.527	31.041
709.5922	22.530	30.933
709.1474	22.534	30.823
708.7026	22.537	30.714
708.2576	22.541	30.603
707.8125	22.545	30.489
707.3674	22.548	30.376
706.9221	22.552	30.262
706.4767	22.555	30.148
706.0313	22.558	30.034
705.5857	22.562	29.920
705.1401	22.565	29.805
704.6943	22.568	29.690
704.2484	22.572	29.576
703.8025	22.575	29.463
703.3564	22.579	29.350
702.9103	22.582	29.236
702.4641	22.586	29.123
702.0177	22.589	29.009
701.5712	22.592	28.894
701.1247	22.596	28.780
700.6780	22.599	28.665
700.2313	22.602	28.550
699.7844	22.605	28.433
699.3375	22.608	28.317
698.8904	22.611	28.200
698.4433	22.614	28.084
697.9961	22.617	27.966
697.5488	22.620	27.849
697.1013	22.623	27.731
696.6537	22.626	27.613
696.2061	22.629	27.495
695.7584	22.632	27.376
695.3105	22.635	27.257
694.8626	22.637	27.138
694.4146	22.640	27.018
693.9664	22.643	26.899
693.5182	22.645	26.778
693.0699	22.648	26.658
692.6215	22.650	26.538
692.1729	22.653	26.417
691.7243	22.655	26.296
691.2756	22.658	26.175
690.8267	22.660	26.053
690.3778	22.662	25.932
689.9288	22.664	25.810
689.4797	22.666	25.687
689.0304	22.668	25.565
688.5811	22.670	25.442
688.1317	22.671	25.320
687.6821	22.673	25.197
687.2325	22.674	25.074
686.7828	22.675	24.951
686.3329	22.676	24.828
685.8830	22.678	24.704
685.4330	22.679	24.580
684.9828	22.679	24.455
684.5327	22.680	24.331
684.0823	22.681	24.206
683.6319	22.682	24.081
683.1813	22.683	23.956
682.7307	22.683	23.830
682.2800	22.684	23.704
681.8292	22.684	23.578
681.3782	22.684	23.451
680.9272	22.685	23.324
680.4761	22.686	23.196
680.0248	22.686	23.068
679.5735	22.687	22.940
679.1221	22.687	22.811
678.6705	22.687	22.682
678.2189	22.688	22.553
677.7672	22.688	22.424
677.3154	22.688	22.294
676.8634	22.689	22.163
676.4114	22.689	22.032
675.9592	22.689	21.901
675.5070	22.690	21.769
675.0547	22.690	21.637
674.6022	22.690	21.505
674.1497	22.690	21.372
673.6971	22.690	21.240
673.2443	22.690	21.107
672.7915	22.689	20.973
672.3386	22.689	20.840
671.8855	22.689	20.706
671.4324	22.688	20.571
670.9791	22.687	20.437
670.5258	22.687	20.302
670.0723	22.686	20.167
669.6188	22.685	20.033
669.1651	22.683	19.898
668.7114	22.682	19.763
668.2575	22.680	19.628
667.8035	22.679	19.493
667.3495	22.677	19.357
666.8953	22.675	19.221
666.4411	22.673	19.084
665.9868	22.671	18.947
665.5323	22.669	18.809
665.0777	22.667	18.672
664.6230	22.664	18.534
664.1683	22.662	18.395
663.7134	22.659	18.256
663.2584	22.657	18.117
662.8034	22.654	17.978
662.3482	22.651	17.838
661.8929	22.648	17.699
661.4376	22.645	17.558
660.9821	22.642	17.418
660.5265	22.638	17.277
660.0708	22.635	17.136
659.6151	22.632	16.994
659.1592	22.628	16.853
658.7032	22.624	16.711
658.2471	22.621	16.568
657.7909	22.617	16.426
657.3346	22.613	16.283
656.8782	22.609	16.139
656.4218	22.604	15.996
655.9651	22.600	15.852
655.5084	22.596	15.708
655.0516	22.591	15.563
654.5947	22.587	15.419
654.1377	22.582	15.274
653.6806	22.577	15.128
653.2234	22.572	14.983
652.7661	22.567	14.837
652.3087	22.562	14.691
651.8511	22.557	14.543
651.3936	22.552	14.396
650.9358	22.546	14.249
650.4780	22.541	14.101
650.0201	22.535	13.952
649.5620	22.530	13.804
649.1039	22.524	13.655
648.6457	22.518	13.506
648.1873	22.512	13.357
647.7289	22.506	13.207
647.2703	22.500	13.057
646.8117	22.493	12.907
646.3530	22.487	12.756
645.8941	22.480	12.605
645.4351	22.474	12.453
644.9761	22.468	12.301
644.5169	22.462	12.148
644.0577	22.455	11.995
643.5983	22.449	11.842
643.1389	22.442	11.688
642.6793	22.435	11.534
642.2196	22.429	11.379
641.7598	22.422	11.224
641.2999	22.416	11.068
640.8400	22.409	10.912
640.3799	22.402	10.755
639.9197	22.395	10.599
639.4594	22.388	10.441
638.9990	22.381	10.284
638.5385	22.374	10.126
638.0779	22.366	9.968
637.6172	22.359	9.810
637.1564	22.351	9.651
636.6954	22.343	9.492
636.2344	22.335	9.333
635.7733	22.327	9.174
635.3121	22.318	9.016
634.8508	22.309	8.859
634.3893	22.300	8.700
633.9278	22.291	8.542
633.4662	22.281	8.383
633.0044	22.272	8.224
632.5425	22.262	8.065
632.0806	22.252	7.905
631.6186	22.242	7.745
631.1564	22.232	7.585
630.6942	22.222	7.425
630.2318	22.212	7.264
629.7693	22.201	7.103
629.3068	22.191	6.941
628.8441	22.180	6.779
628.3813	22.169	6.617
627.9184	22.158	6.454
627.4554	22.147	6.291
626.9923	22.135	6.127
626.5291	22.124	5.963
626.0658	22.113	5.799
625.6024	22.101	5.634
625.1389	22.089	5.469
624.6753	22.077	5.303
624.2115	22.065	5.137
623.7477	22.052	4.971
623.2838	22.040	4.805
622.8198	22.028	4.638
622.3557	22.015	4.471
621.8914	22.002	4.304
621.4271	21.989	4.136
620.9626	21.976	3.968
620.4980	21.963	3.800
620.0334	21.950	3.631
619.5687	21.937	3.461
619.1038	21.924	3.289
618.6388	21.911	3.117
618.1737	21.899	2.945
617.7086	21.886	2.773
617.2433	21.872	2.600
616.7779	21.859	2.427
616.3124	21.846	2.254
615.8468	21.832	2.080
615.3810	21.818	1.906
614.9153	21.805	1.731
614.4492	21.791	1.557
613.9833	21.777	1.382
613.5172	21.762	1.207
613.0510	21.748	1.031
612.5847	21.734	0.855
612.1182	21.720	0.679
611.6516	21.705	0.503
611.1850	21.690	0.326
610.7183	21.676	0.149
610.2514	21.661	359.972
609.7844	21.646	359.794
609.3173	21.631	359.616
608.8502	21.616	359.438
608.3829	21.601	359.259
607.9156	21.585	359.080
607.4480	21.570	358.901
606.9804	21.554	358.721
606.5127	21.538	358.542
606.0449	21.522	358.361
605.5770	21.506	358.181
605.1089	21.490	358.000
604.6408	21.473	357.819
604.1726	21.457	357.637
603.7042	21.441	357.455
603.2358	21.424	357.273
602.7673	21.407	357.090
602.2986	21.390	356.907
601.8298	21.373	356.724
601.3610	21.356	356.540
600.8920	21.338	356.356
600.4229	21.321	356.172
599.9537	21.303	355.988
599.4844	21.285	355.803
599.0150	21.268	355.618
598.5455	21.249	355.432
598.0759	21.231	355.245
597.6062	21.212	355.058
597.1364	21.194	354.871
596.6664	21.175	354.684
596.1964	21.156	354.496
595.7263	21.137	354.308
595.2560	21.117	354.119
594.7857	21.098	353.930
594.3152	21.078	353.740
593.8447	21.058	353.550
593.3741	21.038	353.360
592.9032	21.018	353.169
592.4323	20.998	352.979
591.9613	20.977	352.787
591.4902	20.957	352.596
591.0190	20.936	352.404
590.5477	20.916	352.212
590.0763	20.895	352.021
589.6048	20.875	351.830
589.1331	20.854	351.639
588.6614	20.833	351.448
588.1896	20.812	351.256
587.7176	20.791	351.064
587.2455	20.770	350.872
586.7734	20.749	350.679
586.3011	20.728	350.486
585.8287	20.706	350.292
585.3563	20.685	350.099
584.8837	20.663	349.905
584.4109	20.641	349.709
583.9382	20.619	349.512
583.4652	20.597	349.315
582.9922	20.575	349.118
582.5191	20.553	348.921
582.0458	20.531	348.723
581.5725	20.509	348.523
581.0991	20.486	348.323
580.6255	20.464	348.123
580.1519	20.442	347.922
579.6780	20.419	347.721
579.2042	20.396	347.519
578.7303	20.373	347.317
578.2561	20.350	347.115
577.7819	20.327	346.913
577.3076	20.304	346.710
576.8332	20.280	346.506
576.3586	20.257	346.301
575.8840	20.234	346.095
575.4093	20.210	345.888
574.9344	20.187	345.681
574.4595	20.163	345.474
573.9844	20.140	345.266
573.5092	20.116	345.058
573.0339	20.092	344.850
572.5586	20.068	344.641
572.0831	20.043	344.432
571.6075	20.019	344.222
571.1318	19.995	344.013
570.6559	19.970	343.805
570.1801	19.945	343.596
569.7040	19.920	343.387
569.2278	19.895	343.177
568.7516	19.870	342.968
568.2753	19.845	342.759
567.7989	19.819	342.550
567.3222	19.794	342.341
566.8455	19.768	342.132
566.3687	19.742	341.922
565.8918	19.717	341.712
565.4149	19.691	341.501
564.9377	19.665	341.290
564.4605	19.638	341.078
563.9832	19.612	340.866
563.5057	19.586	340.653
563.0282	19.560	340.435
562.5505	19.533	340.217
562.0728	19.507	339.998
561.5948	19.481	339.779
561.1169	19.454	339.559
560.6388	19.427	339.339
560.1606	19.401	339.119
559.6823	19.374	338.898
559.2039	19.347	338.676
558.7253	19.320	338.455
558.2467	19.293	338.232
557.7679	19.266	338.010
557.2891	19.238	337.787
556.8102	19.211	337.563
556.3311	19.183	337.339
555.8519	19.156	337.115
555.3726	19.128	336.890
554.8932	19.101	336.665
554.4137	19.073	336.439
553.9341	19.045	336.213
553.4543	19.017	335.986
552.9745	18.989	335.759
552.4946	18.961	335.531
552.0145	18.932	335.303
551.5345	18.904	335.075
551.0541	18.876	334.846
550.5737	18.847	334.617
550.0933	18.819	334.388
549.6126	18.790	334.158
549.1320	18.762	333.928
548.6511	18.733	333.697
548.1702	18.704	333.466
547.6891	18.675	333.235
547.2080	18.646	333.003
546.7267	18.617	332.770
546.2454	18.588	332.537
545.7639	18.559	332.304
545.2823	18.530	332.070
544.8007	18.500	331.836
544.3188	18.471	331.602
543.8369	18.441	331.367
543.3549	18.412	331.132
542.8728	18.382	330.897
542.3905	18.353	330.661
541.9082	18.323	330.424
541.4257	18.293	330.187
540.9431	18.263	329.950
540.4604	18.233	329.711
539.9777	18.203	329.473
539.4948	18.173	329.234
539.0118	18.143	328.993
538.5286	18.114	328.745
538.0454	18.085	328.495
537.5621	18.056	328.246
537.0786	18.027	327.996
536.5950	17.998	327.745
536.1114	17.968	327.494
535.6276	17.939	327.242
535.1437	17.910	326.989
534.6597	17.880	326.736
534.1756	17.851	326.483
533.6913	17.821	326.231
533.2070	17.791	325.978
532.7226	17.761	325.724
532.2380	17.731	325.469
531.7534	17.701	325.216
531.2686	17.671	324.962
530.7837	17.641	324.708
530.2987	17.611	324.452
529.8136	17.580	324.197
529.3284	17.550	323.940
528.8430	17.520	323.683
528.3576	17.489	323.425
527.8720	17.459	323.167
527.3864	17.429	322.906
526.9006	17.399	322.644
526.4147	17.369	322.381
525.9287	17.339	322.117
525.4426	17.309	321.852
524.9564	17.279	321.587
524.4700	17.249	321.321
523.9836	17.219	321.054
523.4971	17.189	320.787
523.0104	17.159	320.518
522.5236	17.130	320.248
522.0367	17.100	319.977
521.5497	17.070	319.705
521.0626	17.040	319.433
520.5754	17.011	319.158
520.0881	16.981	318.883
519.6006	16.952	318.607
519.1131	16.922	318.330
518.6254	16.893	318.052
518.1377	16.863	317.773
517.6498	16.834	317.494
517.1618	16.804	317.214
516.6737	16.775	316.933
516.1855	16.746	316.650
515.6971	16.717	316.366
515.2087	16.688	316.082
514.7202	16.659	315.796
514.2314	16.630	315.510
513.7427	16.601	315.223
513.2538	16.572	314.935
512.7648	16.543	314.647
512.2757	16.514	314.357
511.7864	16.485	314.066
511.2971	16.456	313.774
510.8076	16.427	313.481
510.3181	16.398	313.187
509.8284	16.369	312.891
509.3386	16.340	312.595
508.8488	16.311	312.298
508.3587	16.282	311.999
507.8686	16.253	311.700
507.3784	16.225	311.400
506.8880	16.196	311.098
506.3976	16.167	310.796
505.9070	16.139	310.492
505.4163	16.111	310.185
