Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
725.5388	19.279	95.886
725.0975	19.290	95.874
724.6562	19.300	95.862
724.2147	19.311	95.851
723.7732	19.321	95.839
723.3315	19.331	95.827
722.8898	19.342	95.816
722.4479	19.352	95.804
722.0060	19.363	95.792
721.5640	19.373	95.781
721.1218	19.384	95.769
720.6796	19.394	95.757
720.2373	19.404	95.745
719.7949	19.414	95.733
719.3524	19.425	95.721
718.9097	19.435	95.708
718.4670	19.445	95.696
718.0242	19.455	95.684
717.5813	19.466	95.672
717.1383	19.476	95.660
716.6952	19.486	95.648
716.2520	19.497	95.635
715.8087	19.507	95.622
715.3653	19.517	95.609
714.9218	19.527	95.596
714.4782	19.537	95.584
714.0345	19.547	95.571
713.5907	19.557	95.558
713.1469	19.568	95.545
712.7028	19.578	95.532
712.2588	19.588	95.520
711.8146	19.598	95.507
711.3703	19.609	95.494
710.9259	19.619	95.481
710.4814	19.629	95.468
710.0369	19.639	95.456
709.5922	19.650	95.443
709.1474	19.660	95.430
708.7026	19.670	95.417
708.2576	19.681	95.404
707.8125	19.692	95.391
707.3674	19.703	95.377
706.9221	19.715	95.364
706.4767	19.726	95.350
706.0313	19.737	95.336
705.5857	19.748	95.323
705.1401	19.760	95.309
704.6943	19.771	95.296
704.2484	19.782	95.283
703.8025	19.793	95.271
703.3564	19.803	95.260
702.9103	19.814	95.248
702.4641	19.825	95.236
702.0177	19.836	95.224
701.5712	19.847	95.213
701.1247	19.858	95.201
700.6780	19.869	95.189
700.2313	19.880	95.177
699.7844	19.891	95.165
699.3375	19.902	95.154
698.8904	19.913	95.142
698.4433	19.924	95.130
697.9961	19.935	95.118
697.5488	19.947	95.107
697.1013	19.958	95.095
696.6537	19.969	95.083
696.2061	19.980	95.072
695.7584	19.992	95.060
695.3105	20.003	95.049
694.8626	20.015	95.037
694.4146	20.026	95.026
693.9664	20.038	95.015
693.5182	20.049	95.003
693.0699	20.060	94.992
692.6215	20.072	94.980
692.1729	20.083	94.969
691.7243	20.095	94.958
691.2756	20.106	94.947
690.8267	20.118	94.936
690.3778	20.129	94.924
689.9288	20.141	94.913
689.4797	20.152	94.902
689.0304	20.164	94.891
688.5811	20.175	94.879
688.1317	20.186	94.867
687.6821	20.198	94.855
687.2325	20.209	94.843
686.7828	20.220	94.831
686.3329	20.231	94.819
685.8830	20.243	94.807
685.4330	20.254	94.795
684.9828	20.266	94.783
684.5327	20.277	94.771
684.0823	20.288	94.759
683.6319	20.300	94.747
683.1813	20.311	94.736
682.7307	20.322	94.724
682.2800	20.334	94.712
681.8292	20.345	94.700
681.3782	20.357	94.688
680.9272	20.368	94.676
680.4761	20.380	94.665
680.0248	20.392	94.654
679.5735	20.404	94.643
679.1221	20.415	94.631
678.6705	20.427	94.620
678.2189	20.439	94.609
677.7672	20.451	94.598
677.3154	20.463	94.587
676.8634	20.475	94.576
676.4114	20.487	94.566
675.9592	20.499	94.555
675.5070	20.511	94.545
675.0547	20.524	94.534
674.6022	20.536	94.524
674.1497	20.548	94.513
673.6971	20.560	94.503
673.2443	20.573	94.492
672.7915	20.585	94.482
672.3386	20.597	94.471
671.8855	20.609	94.461
671.4324	20.622	94.451
670.9791	20.634	94.440
670.5258	20.646	94.430
670.0723	20.658	94.419
669.6188	20.670	94.408
669.1651	20.682	94.397
668.7114	20.694	94.386
668.2575	20.706	94.375
667.8035	20.719	94.364
667.3495	20.731	94.353
666.8953	20.743	94.341
666.4411	20.755	94.330
665.9868	20.767	94.319
665.5323	20.779	94.307
665.0777	20.791	94.296
664.6230	20.804	94.284
664.1683	20.816	94.273
663.7134	20.828	94.261
663.2584	20.841	94.250
662.8034	20.853	94.239
662.3482	20.865	94.227
661.8929	20.878	94.215
661.4376	20.890	94.204
660.9821	20.902	94.192
660.5265	20.915	94.181
660.0708	20.927	94.169
659.6151	20.939	94.158
659.1592	20.952	94.146
658.7032	20.964	94.135
658.2471	20.977	94.123
657.7909	20.989	94.111
657.3346	21.002	94.100
656.8782	21.014	94.088
656.4218	21.027	94.077
655.9651	21.039	94.065
655.5084	21.052	94.054
655.0516	21.064	94.042
654.5947	21.077	94.030
654.1377	21.090	94.019
653.6806	21.102	94.007
653.2234	21.115	93.996
652.7661	21.127	93.984
652.3087	21.140	93.973
651.8511	21.153	93.961
651.3936	21.166	93.950
650.9358	21.179	93.938
650.4780	21.191	93.927
650.0201	21.204	93.915
649.5620	21.217	93.904
649.1039	21.230	93.892
648.6457	21.243	93.881
648.1873	21.256	93.869
647.7289	21.269	93.858
647.2703	21.282	93.847
646.8117	21.295	93.835
646.3530	21.307	93.824
645.8941	21.320	93.812
645.4351	21.334	93.801
644.9761	21.347	93.791
644.5169	21.360	93.780
644.0577	21.374	93.770
643.5983	21.387	93.759
643.1389	21.400	93.749
642.6793	21.414	93.738
642.2196	21.427	93.728
641.7598	21.441	93.719
641.2999	21.455	93.709
640.8400	21.469	93.700
640.3799	21.483	93.690
639.9197	21.496	93.681
639.4594	21.510	93.671
638.9990	21.524	93.662
638.5385	21.538	93.652
638.0779	21.552	93.643
637.6172	21.566	93.633
637.1564	21.580	93.624
636.6954	21.593	93.614
636.2344	21.607	93.605
635.7733	21.621	93.595
635.3121	21.634	93.584
634.8508	21.648	93.573
634.3893	21.661	93.562
633.9278	21.674	93.552
633.4662	21.688	93.541
633.0044	21.701	93.530
632.5425	21.714	93.519
632.0806	21.728	93.508
631.6186	21.741	93.498
631.1564	21.754	93.487
630.6942	21.768	93.476
630.2318	21.781	93.465
629.7693	21.795	93.454
629.3068	21.808	93.444
628.8441	21.822	93.433
628.3813	21.835	93.422
627.9184	21.849	93.411
627.4554	21.863	93.399
626.9923	21.876	93.388
626.5291	21.890	93.377
626.0658	21.904	93.366
625.6024	21.917	93.355
625.1389	21.931	93.344
624.6753	21.945	93.333
624.2115	21.959	93.321
623.7477	21.973	93.310
623.2838	21.987	93.299
622.8198	22.001	93.287
622.3557	22.015	93.276
621.8914	22.029	93.265
621.4271	22.043	93.254
620.9626	22.056	93.242
620.4980	22.070	93.231
620.0334	22.084	93.220
619.5687	22.099	93.210
619.1038	22.114	93.200
618.6388	22.128	93.190
618.1737	22.143	93.181
617.7086	22.158	93.171
617.2433	22.173	93.161
616.7779	22.188	93.152
616.3124	22.202	93.142
615.8468	22.217	93.132
615.3810	22.232	93.122
614.9153	22.247	93.113
614.4492	22.262	93.103
613.9833	22.277	93.093
613.5172	22.292	93.084
613.0510	22.307	93.075
612.5847	22.321	93.065
612.1182	22.336	93.056
611.6516	22.351	93.047
611.1850	22.366	93.038
610.7183	22.381	93.028
610.2514	22.397	93.020
609.7844	22.412	93.011
609.3173	22.427	93.002
608.8502	22.442	92.993
608.3829	22.457	92.985
607.9156	22.472	92.976
607.4480	22.487	92.967
606.9804	22.502	92.958
606.5127	22.518	92.949
606.0449	22.533	92.941
605.5770	22.548	92.932
605.1089	22.563	92.923
604.6408	22.578	92.914
604.1726	22.594	92.905
603.7042	22.609	92.897
603.2358	22.625	92.888
602.7673	22.640	92.879
602.2986	22.655	92.871
601.8298	22.671	92.862
601.3610	22.686	92.853
600.8920	22.702	92.845
600.4229	22.717	92.836
599.9537	22.733	92.827
599.4844	22.748	92.819
599.0150	22.764	92.810
598.5455	22.779	92.801
598.0759	22.795	92.791
597.6062	22.811	92.782
597.1364	22.827	92.773
596.6664	22.842	92.764
596.1964	22.858	92.755
595.7263	22.874	92.745
595.2560	22.890	92.735
594.7857	22.906	92.726
594.3152	22.922	92.716
593.8447	22.938	92.706
593.3741	22.954	92.697
592.9032	22.970	92.687
592.4323	22.986	92.677
591.9613	23.002	92.667
591.4902	23.018	92.658
591.0190	23.034	92.648
590.5477	23.050	92.638
590.0763	23.066	92.629
589.6048	23.081	92.621
589.1331	23.097	92.613
588.6614	23.113	92.604
588.1896	23.129	92.596
587.7176	23.144	92.587
587.2455	23.160	92.579
586.7734	23.176	92.570
586.3011	23.192	92.562
585.8287	23.208	92.553
585.3563	23.224	92.545
584.8837	23.239	92.536
584.4109	23.256	92.528
583.9382	23.272	92.520
583.4652	23.288	92.512
582.9922	23.305	92.504
582.5191	23.321	92.496
582.0458	23.338	92.487
581.5725	23.354	92.480
581.0991	23.371	92.472
580.6255	23.388	92.464
580.1519	23.405	92.456
579.6780	23.422	92.448
579.2042	23.439	92.440
578.7303	23.456	92.432
578.2561	23.473	92.425
577.7819	23.490	92.417
577.3076	23.507	92.409
576.8332	23.524	92.401
576.3586	23.541	92.394
575.8840	23.559	92.386
575.4093	23.576	92.379
574.9344	23.594	92.372
574.4595	23.612	92.365
573.9844	23.630	92.358
573.5092	23.647	92.351
573.0339	23.665	92.343
572.5586	23.683	92.336
572.0831	23.700	92.329
571.6075	23.718	92.322
571.1318	23.736	92.314
570.6559	23.753	92.307
570.1801	23.771	92.300
569.7040	23.788	92.292
569.2278	23.806	92.285
568.7516	23.823	92.277
568.2753	23.840	92.270
567.7989	23.857	92.262
567.3222	23.874	92.255
566.8455	23.891	92.247
566.3687	23.908	92.240
565.8918	23.926	92.232
565.4149	23.943	92.224
564.9377	23.960	92.217
564.4605	23.977	92.209
563.9832	23.994	92.202
563.5057	24.012	92.194
563.0282	24.030	92.187
562.5505	24.049	92.180
562.0728	24.067	92.173
561.5948	24.086	92.165
561.1169	24.105	92.158
560.6388	24.123	92.151
560.1606	24.142	92.144
559.6823	24.160	92.137
559.2039	24.179	92.129
558.7253	24.198	92.122
558.2467	24.217	92.115
557.7679	24.235	92.108
557.2891	24.254	92.101
556.8102	24.273	92.093
556.3311	24.292	92.086
555.8519	24.311	92.079
555.3726	24.329	92.072
554.8932	24.348	92.064
554.4137	24.367	92.057
553.9341	24.386	92.050
553.4543	24.405	92.043
552.9745	24.424	92.035
552.4946	24.443	92.028
552.0145	24.462	92.021
551.5345	24.481	92.013
551.0541	24.500	92.006
550.5737	24.519	91.999
550.0933	24.538	91.992
549.6126	24.557	91.984
549.1320	24.576	91.977
548.6511	24.595	91.970
548.1702	24.614	91.963
547.6891	24.633	91.955
547.2080	24.652	91.948
546.7267	24.671	91.941
546.2454	24.690	91.933
545.7639	24.709	91.926
545.2823	24.728	91.918
544.8007	24.747	91.911
544.3188	24.766	91.904
543.8369	24.785	91.896
543.3549	24.804	91.889
542.8728	24.823	91.881
542.3905	24.842	91.874
541.9082	24.861	91.866
541.4257	24.880	91.859
540.9431	24.899	91.851
540.4604	24.919	91.843
539.9777	24.938	91.836
539.4948	24.957	91.828
539.0118	24.976	91.820
538.5286	24.997	91.815
538.0454	25.018	91.809
537.5621	25.039	91.803
537.0786	25.061	91.797
536.5950	25.082	91.791
536.1114	25.103	91.785
535.6276	25.124	91.779
535.1437	25.145	91.773
534.6597	25.166	91.767
534.1756	25.188	91.761
533.6913	25.208	91.754
533.2070	25.229	91.748
532.7226	25.250	91.741
532.2380	25.271	91.734
531.7534	25.292	91.727
531.2686	25.312	91.720
530.7837	25.333	91.713
530.2987	25.353	91.706
529.8136	25.374	91.699
529.3284	25.395	91.692
528.8430	25.415	91.684
528.3576	25.436	91.677
527.8720	25.457	91.669
527.3864	25.478	91.663
526.9006	25.499	91.656
526.4147	25.520	91.650
525.9287	25.542	91.643
525.4426	25.563	91.636
524.9564	25.585	91.630
524.4700	25.606	91.623
523.9836	25.628	91.616
523.4971	25.649	91.610
523.0104	25.671	91.603
522.5236	25.693	91.597
522.0367	25.715	91.590
521.5497	25.737	91.584
521.0626	25.759	91.577
520.5754	25.781	91.571
520.0881	25.803	91.565
