# lams, desv_psi, desv_delta
915.931300 22.475616 113.519477
915.530800 29.844659 89.573874
915.130200 32.290098 88.035209
914.729500 15.969455 10.595307
914.328700 10.502523 39.854388
913.927900 11.262566 5.200794
913.527000 0.564497 16.707969
913.125900 44.715183 98.894013
912.724900 5.641307 9.494067
912.323700 0.343258 3.987575
911.922400 0.288860 2.204229
911.521100 4.407650 11.867543
911.119600 1.037440 48.535353
910.718100 1.625762 24.433372
910.316500 5.064577 39.893143
909.914900 8.570287 3.502048
909.513100 11.148601 43.887206
909.111300 0.929368 12.953883
908.709300 0.445792 12.692464
908.307300 0.352898 15.546012
907.905200 0.405369 9.922019
907.503100 7.021185 6.961648
907.100800 2.124086 5.284905
906.698400 6.749845 2.656510
906.296000 5.227411 5.463259
905.893500 3.071000 3.013441
905.490900 3.316503 11.915928
905.088300 1.713520 11.324251
904.685500 1.334794 30.571946
904.282600 4.590507 68.756493
903.879700 4.511583 14.055730
903.476700 3.149149 30.712305
903.073600 4.769008 26.528312
902.670400 1.119398 2.687396
902.267200 2.514440 5.796413
901.863800 5.086414 7.556018
901.460400 14.196240 21.567173
901.056900 4.391372 5.567104
900.653300 25.075787 58.885705
900.249600 13.543918 78.333052
899.845800 2.543170 11.893028
899.442000 24.153938 103.357877
899.038000 20.669899 101.519042
898.634000 20.279408 100.649280
898.229900 20.242910 86.185932
897.825700 19.792782 103.489843
897.421400 3.987895 14.318345
897.017100 3.414374 13.500622
896.612700 4.697774 11.459970
896.208100 2.851178 11.597306
895.803500 2.910939 8.731348
895.398900 3.726661 7.800946
894.994100 2.624388 8.930124
894.589200 7.066903 21.809005
894.184300 4.542945 101.643720
893.779200 4.678468 78.845874
893.374100 3.297654 12.853567
892.968900 0.835377 17.388199
892.563700 0.738474 12.211510
892.158300 0.801163 4.160987
891.752800 0.289231 2.079442
891.347300 0.199931 3.696435
890.941700 0.449413 4.824098
890.535900 0.630890 5.611957
890.130200 0.572099 6.117107
889.724300 0.350859 11.507235
889.318400 1.224605 3.169113
888.912300 1.845843 3.282147
