## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:
esta muestra tiene una region con TiO2 recocido sobre SiO2 y una region donde 
solo hay SiO2. Esta medicion es en esta ultima region.

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:18:04

# END TIME:
11:18:04

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
12

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
18 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
983.6174 6.958 162.990 -0.25321 0.07746 0.471 1.06868 18.0000 8.02 0.8199 0.8613 1.260492 
983.2307 5.448 167.597 -0.22154 0.04872 0.455 1.17827 18.0000 8.09 0.7661 0.8077 1.260988 
982.8438 10.399 211.065 -0.37222 -0.22422 0.407 1.14402 18.0000 8.12 0.8806 0.9073 1.261484 
982.4569 5.669 335.159 0.15449 -0.07152 0.439 0.84910 18.0000 8.14 0.7094 0.7922 1.261981 
982.0699 2.378 81.695 0.00944 0.06469 -2.366 0.78579 18.0000 8.27 0.6890 0.7623 1.262478 
981.6828 8.740 168.021 -0.21031 0.04462 -0.010 0.68265 18.0000 8.31 0.6857 0.7262 1.262976 
981.2957 10.120 172.879 -0.30692 0.03835 -0.005 0.83883 18.0000 8.35 0.7346 0.7779 1.263474 
980.9084 11.621 168.169 -0.30101 0.06305 0.003 0.71609 18.0000 8.40 0.8083 0.9556 1.263973 
980.5211 26.750 166.215 -0.45179 0.11084 0.006 0.34422 18.0000 8.37 0.5958 0.7568 1.264472 
980.1337 33.802 139.995 -0.53333 0.44760 -0.001 0.28693 18.0000 8.62 0.5764 0.8692 1.264972 
979.7463 35.965 142.339 -0.61371 0.47367 -0.001 0.25294 18.0000 8.47 0.6070 1.1106 1.265472 
979.3587 76.704 138.503 -0.77689 0.68727 5.792 -2.07204 18.0000 8.57 0.6885 1.0429 1.265973 
978.9711 77.340 30.173 0.90560 0.52651 4.551 -2.21409 18.0000 8.58 0.7103 1.2572 1.266474 
978.5834 78.018 34.690 0.36741 0.25432 0.781 -1.00532 18.0000 8.59 0.6516 1.3014 1.266976 
978.1956 63.625 44.475 0.12889 0.12655 6.144 -0.13735 18.0000 8.59 0.5927 1.2291 1.267478 
977.8077 6.800 85.451 0.00644 0.08091 -2.387 0.33550 18.0000 8.80 0.6145 1.1294 1.267981 
977.4199 2.871 119.103 -0.03498 0.06284 2.183 0.71518 18.0000 8.84 0.7815 1.1049 1.268484 
977.0319 4.806 159.793 -0.12287 0.04522 2.012 0.77312 18.0000 8.88 0.8597 1.1337 1.268988 
976.6437 7.107 185.738 -0.21102 -0.02121 0.874 0.83729 18.0000 8.83 0.8928 1.2245 1.269493 
976.2556 8.915 202.646 -0.29713 -0.12397 -6.978 1.00098 18.0000 8.95 1.2031 1.4264 1.269997 
975.8674 2.752 206.748 -0.09196 -0.04635 0.883 1.06857 18.0000 9.08 1.2870 1.3919 1.270502 
975.4790 6.925 195.549 -0.21969 -0.06113 0.649 0.92486 18.0000 9.17 1.2891 1.4028 1.271008 
975.0906 6.937 207.591 -0.19318 -0.10096 -1.252 0.88254 18.0000 9.09 1.3186 1.4553 1.271515 
974.7021 5.458 210.424 -0.13867 -0.08143 -8.403 0.83385 18.0000 9.27 1.2643 1.4171 1.272021 
974.3136 5.564 217.687 -0.12458 -0.09624 0.847 0.80026 18.0000 9.22 1.0985 1.1972 1.272529 
973.9250 5.192 218.449 -0.11477 -0.09112 0.021 0.79971 18.0000 9.31 0.8983 0.9412 1.273036 
973.5363 3.229 199.630 -0.09048 -0.03227 0.042 0.84866 18.0000 9.35 0.7559 0.7938 1.273545 
973.1475 10.522 245.783 -0.09485 -0.21088 -3.598 0.60099 18.0000 9.39 0.5626 0.6357 1.274053 
972.7586 8.271 335.103 0.12280 -0.05699 -2.026 0.45584 18.0000 9.40 0.5784 0.6108 1.274563 
972.3697 5.326 239.725 -0.04654 -0.07972 -0.738 0.49076 18.0000 9.57 0.5450 0.5755 1.275073 
971.9807 7.658 207.739 -0.13593 -0.07148 -0.222 0.56079 18.0000 9.56 0.6241 0.6497 1.275583 
971.5916 10.852 210.153 -0.15856 -0.09211 -0.575 0.46069 18.0000 9.67 0.7877 0.8137 1.276094 
971.2024 13.185 205.794 -0.19900 -0.09617 0.293 0.44582 18.0000 9.88 1.0694 1.0994 1.276605 
970.8131 15.763 205.016 -0.20254 -0.09452 0.026 0.36436 18.0000 9.72 1.1428 1.1771 1.277117 
970.4238 16.890 203.711 -0.20625 -0.09059 0.003 0.33676 18.0000 9.72 1.1201 1.1548 1.277629 
970.0344 18.153 190.290 -0.25167 -0.04569 0.003 0.34814 18.0000 10.05 1.0673 1.1230 1.278142 
969.6449 13.077 212.374 -0.19920 -0.12629 0.003 0.48033 18.0000 10.03 1.1430 1.1812 1.278656 
969.2553 13.819 228.687 -0.17269 -0.19649 0.001 0.49955 18.0000 10.03 1.0259 1.0433 1.279170 
968.8657 13.007 248.223 -0.11682 -0.29242 -1.148 0.64525 18.0000 10.20 0.8322 0.8606 1.279684 
968.4760 14.281 254.773 -0.09709 -0.35668 0.951 0.67907 18.0000 10.33 0.8899 0.9322 1.280199 
968.0861 12.485 260.879 -0.06730 -0.41918 0.227 0.91167 18.0000 10.55 0.9202 0.9593 1.280714 
967.6962 12.422 259.191 -0.06876 -0.36015 -1.113 0.79192 18.0000 10.54 0.9333 0.9834 1.281230 
967.3063 10.187 250.289 -0.10723 -0.29931 0.871 0.85606 18.0000 10.52 1.0645 1.1001 1.281747 
966.9163 7.683 233.995 -0.12325 -0.16960 0.878 0.76290 18.0000 10.68 0.9884 1.1134 1.282264 
966.5261 2.864 179.927 -0.12023 0.00015 -4.145 1.19866 18.0000 10.48 0.7825 0.8133 1.282782 
966.1359 9.035 171.992 -0.38777 0.05455 0.839 1.20020 18.0000 10.38 0.9044 0.9446 1.283300 
965.7457 4.783 171.769 -0.20374 0.02947 -0.477 1.22144 18.0000 10.47 1.0542 1.1282 1.283818 
965.3553 5.395 146.737 -0.17002 0.11153 0.891 1.06701 18.0000 10.78 0.8732 0.9391 1.284337 
964.9649 7.681 111.963 -0.09122 0.22620 8.860 0.88770 18.0000 10.83 0.6788 0.8304 1.284857 
964.5743 16.638 85.353 0.02910 0.35801 0.794 0.54731 18.0000 10.68 0.5870 0.8739 1.285377 
964.1838 33.020 77.459 0.08484 0.38140 0.344 0.17363 18.0000 10.82 0.6214 0.9923 1.285898 
963.7931 47.625 98.472 -0.03458 0.23213 1.028 -0.02156 18.0000 10.94 0.6430 1.0498 1.286419 
963.4023 63.264 158.148 -0.11512 0.04617 0.120 -0.09187 18.0000 11.12 0.6849 1.0745 1.286941 
963.0115 18.985 72.760 0.01669 0.05379 0.867 0.07217 18.0000 11.15 0.6392 0.9511 1.287463 
962.6207 5.466 183.894 -0.12330 -0.00839 1.022 0.63980 18.0000 11.33 0.5601 0.9016 1.287986 
962.2297 19.155 200.940 -0.51892 -0.19858 0.964 0.70330 18.0000 11.41 0.7781 0.8486 1.288509 
961.8386 14.859 193.878 -0.51746 -0.12785 0.923 0.93378 18.0000 11.55 0.9351 1.1452 1.289033 
961.4474 17.515 190.977 -0.63793 -0.12373 0.985 0.92699 18.0000 11.57 0.8938 1.0999 1.289558 
961.0562 16.004 189.646 -0.63014 -0.10710 0.870 1.02260 18.0000 11.39 0.9440 1.1966 1.290083 
960.6649 16.401 189.763 -0.66597 -0.11460 0.018 1.04847 18.0000 11.69 0.8451 1.0366 1.290608 
960.2736 15.036 188.366 -0.58621 -0.08621 0.018 1.02331 18.0000 11.63 0.7109 0.8102 1.291134 
959.8821 12.440 191.709 -0.47667 -0.09879 0.687 1.04971 18.0000 11.59 0.7310 0.7651 1.291661 
959.4905 9.472 198.929 -0.30953 -0.10615 0.710 0.95342 18.0000 11.63 0.7558 0.8231 1.292188 
959.0989 3.493 303.872 0.05395 -0.08037 0.868 0.78992 18.0000 11.91 0.6098 0.7827 1.292715 
958.7073 5.008 224.695 -0.09423 -0.09323 1.769 0.75049 18.0000 12.00 0.5852 0.7509 1.293243 
958.3155 9.066 206.089 -0.21690 -0.10621 -16.566 0.73753 18.0000 11.82 0.5851 0.6205 1.293772 
957.9236 8.252 205.975 -0.18939 -0.09227 0.875 0.71105 18.0000 11.79 0.6291 0.6380 1.294301 
957.5317 5.653 203.530 -0.14583 -0.06350 -84.942 0.79555 18.0000 11.72 0.7194 0.7250 1.294831 
957.1396 3.569 197.817 -0.10222 -0.03285 0.866 0.85735 18.0000 11.72 0.8564 0.8741 1.295362 
956.7476 2.891 197.656 -0.08696 -0.02768 -1.969 0.90125 18.0000 12.03 0.8845 0.8969 1.295892 
956.3554 0.747 190.942 -0.02364 -0.00457 1.087 0.92356 18.0000 12.48 0.8623 0.8759 1.296424 
955.9632 2.956 229.863 -0.06368 -0.07552 -0.008 0.95394 18.0000 12.63 0.9155 0.9393 1.296956 
955.5709 1.424 234.269 -0.03116 -0.04332 -0.005 1.07289 18.0000 12.31 1.0205 1.0715 1.297488 
955.1784 3.043 124.918 -0.05551 0.07952 -0.006 0.90961 18.0000 12.46 0.7705 0.8175 1.298021 
954.7859 8.444 113.942 -0.08930 0.20112 0.954 0.72486 18.0000 12.62 0.6545 0.8459 1.298555 
954.3934 20.115 116.476 -0.17057 0.34246 8.883 0.45224 18.0000 12.38 0.6586 0.9690 1.299089 
954.0007 28.258 122.104 -0.22363 0.35643 0.953 0.27833 18.0000 12.33 0.6826 1.0531 1.299624 
953.6080 17.891 152.762 -0.33183 0.17082 1.232 0.51783 18.0000 12.68 1.0114 1.4262 1.300159 
953.2152 31.256 143.758 -0.28738 0.21066 -0.662 0.18540 18.0000 12.83 0.5766 0.9653 1.300695 
952.8223 67.023 84.090 0.04601 0.44445 0.941 -0.43219 18.0000 12.76 0.6077 1.1034 1.301231 
952.4293 69.751 25.079 2.32810 1.08952 1.049 -3.00977 18.0000 12.87 0.8303 1.4088 1.301768 
952.0363 55.328 350.186 14.00139 -2.42191 1.007 -5.35670 18.0000 12.87 1.0207 1.6343 1.302305 
951.6432 21.587 358.040 2.42704 -0.08304 0.966 2.58832 18.0000 13.09 1.1112 1.7545 1.302843 
951.2499 28.463 20.025 5.03701 1.83582 1.119 3.49129 18.0000 12.77 0.9424 1.5561 1.303382 
950.8567 21.993 181.668 -1.53309 -0.04464 3.472 1.58901 18.0000 12.80 0.9642 2.2187 1.303921 
950.4633 5.284 39.853 0.16775 0.14002 0.877 1.17117 18.0000 12.90 0.6426 0.9873 1.304461 
950.0699 6.309 169.345 -0.24555 0.04620 -0.187 1.11611 18.0000 13.10 1.1695 2.5174 1.305001 
949.6763 8.121 178.779 -0.32438 0.00691 -0.094 1.11370 18.0000 13.32 1.9602 3.8372 1.305542 
949.2827 8.405 175.766 -0.35839 0.02653 -0.068 1.18958 18.0000 13.39 1.5587 3.6856 1.306083 
948.8890 8.088 177.035 -0.34602 0.01792 -0.126 1.19454 18.0000 13.66 1.5755 3.6201 1.306625 
948.4953 8.817 170.941 -0.37321 0.05950 0.006 1.18899 18.0000 13.55 1.6978 3.4656 1.307167 
948.1014 10.046 175.087 -0.43210 0.03714 0.272 1.18566 18.0000 13.64 1.5880 2.4085 1.307710 
947.7075 7.193 168.848 -0.25927 0.05111 0.521 1.03029 18.0000 13.68 1.6847 2.6219 1.308254 
947.3135 6.669 157.419 -0.24081 0.10015 0.598 1.10005 18.0000 13.23 1.1469 2.6487 1.308798 
946.9194 4.793 119.218 -0.07834 0.14007 0.308 0.95024 18.0000 13.37 0.6054 2.9770 1.309343 
946.5253 6.159 150.521 -0.29336 0.16584 0.097 1.54325 18.0000 13.59 1.1364 3.2320 1.309888 
946.1310 12.277 151.212 -1.12352 0.61736 1.013 2.80603 18.0000 13.90 2.1085 3.7114 1.310434 
945.7367 3.478 114.316 -0.04520 0.10004 0.781 0.89977 18.0000 13.72 0.6924 3.1585 1.310980 
945.3423 74.383 333.438 7.32414 -3.66161 0.600 -13.50211 18.0000 14.07 1.3784 3.2986 1.311527 
944.9478 14.243 153.402 -6.40486 3.20700 0.156 13.19991 18.0000 14.23 2.5119 3.8938 1.312074 
944.5532 14.913 153.891 -9.56279 4.68662 0.760 18.57480 18.0000 14.01 3.0280 4.1895 1.312623 
944.1586 15.710 154.240 -232.92017 112.39879 -3.324 423.36200 18.0000 13.99 3.2519 4.2061 1.313171 
943.7639 72.494 333.743 3.21532 -1.58613 0.967 -5.11787 18.0000 14.11 3.1285 3.8738 1.313720 
943.3691 72.088 332.840 5.04219 -2.58684 1.751 -7.85089 18.0000 14.16 2.5053 3.7604 1.314270 
942.9742 68.548 337.534 1.93848 -0.80159 1.782 -2.25703 18.0000 14.21 1.5375 3.1692 1.314821 
942.5792 10.816 16.265 0.29944 0.08736 0.914 0.78655 18.0000 14.42 0.6590 2.6926 1.315372 
942.1841 11.076 137.123 -0.62860 0.58367 -1.297 2.10698 18.0000 14.49 1.6395 2.8141 1.315923 
941.7890 7.832 84.822 0.02378 0.26241 -1.225 0.93960 18.0000 14.66 0.7650 1.6199 1.316475 
941.3938 7.145 117.089 -0.10911 0.21332 -30.058 0.94074 18.0000 14.68 0.6955 0.8619 1.317028 
940.9985 19.101 39.206 0.45754 0.37324 0.434 0.75029 18.0000 14.71 0.6987 0.7611 1.317581 
940.6031 9.118 113.117 -0.11779 0.27592 -7.203 0.91060 18.0000 14.81 0.6635 0.7762 1.318135 
940.2077 14.516 156.090 -0.45864 0.20334 2.506 0.90390 18.0000 14.84 0.7005 0.8719 1.318689 
939.8122 18.986 172.591 -0.68199 0.08868 3.026 0.88116 18.0000 14.95 0.7563 0.9522 1.319244 
939.4166 18.691 182.791 -0.71026 -0.03462 1.493 0.93071 18.0000 14.89 0.8875 1.0599 1.319800 
939.0209 18.626 176.516 -0.71509 0.04354 -4.560 0.94209 18.0000 14.74 0.9149 1.1536 1.320356 
938.6251 18.385 177.166 -0.65245 0.03230 0.955 0.87419 18.0000 14.91 0.9082 1.0801 1.320913 
938.2292 16.564 180.964 -0.51394 -0.00864 0.907 0.78768 18.0000 15.20 0.8124 0.9265 1.321470 
937.8333 13.331 177.325 -0.46180 0.02158 0.944 0.92074 18.0000 15.18 0.9108 1.0277 1.322028 
937.4373 14.125 168.414 -0.47208 0.09678 -2.345 0.89688 18.0000 15.53 0.6589 0.9956 1.322586 
937.0412 5.141 352.081 0.13356 -0.01858 9.166 0.74335 18.0000 15.36 0.6474 0.7858 1.323146 
936.6450 2.458 197.884 -0.06662 -0.02150 0.956 0.81394 18.0000 15.04 0.9309 1.2303 1.323705 
936.2487 2.570 204.441 -0.07237 -0.03289 0.886 0.88380 18.0000 15.44 1.2227 1.7287 1.324266 
935.8524 2.877 221.411 -0.06200 -0.05468 0.673 0.82040 18.0000 15.55 1.3012 1.9895 1.324826 
935.4560 2.999 234.615 -0.04599 -0.06476 0.932 0.75594 18.0000 15.74 1.2323 2.0305 1.325388 
935.0594 3.575 284.223 0.02239 -0.08834 -0.351 0.72654 18.0000 15.86 1.1828 1.9460 1.325950 
934.6629 3.473 246.409 -0.04531 -0.10376 -0.042 0.92933 18.0000 15.81 1.2240 1.7251 1.326512 
934.2662 6.492 307.854 0.10584 -0.13618 0.966 0.74806 18.0000 15.71 0.9159 1.2796 1.327076 
933.8694 20.851 352.108 0.21499 -0.02980 1.389 0.24359 18.0000 16.06 0.8160 1.3794 1.327640 
933.4727 8.705 196.397 -0.78819 -0.23193 -3.118 2.62023 18.0000 16.02 1.4024 2.4604 1.328204 
933.0757 10.336 191.174 -1.72915 -0.34157 -0.771 4.67147 18.0000 16.08 1.5818 2.8018 1.328769 
932.6787 10.330 184.296 -2.09562 -0.15744 0.853 5.57302 18.0000 16.22 1.5404 2.8225 1.329334 
932.2817 83.646 50.153 2.28290 2.73543 24.274 -15.80030 18.0000 16.25 1.2051 2.4378 1.329901 
931.8845 83.545 76.612 0.83291 3.49944 0.197 -15.69279 18.0000 16.39 1.1328 2.3606 1.330467 
931.4873 79.365 103.925 -0.31660 1.27692 -102.999 -3.37948 18.0000 16.24 0.8868 1.8668 1.331035 
931.0900 48.839 116.762 -0.24307 0.48199 0.278 -0.07278 18.0000 16.64 0.6121 1.1982 1.331603 
930.6926 10.859 145.101 -0.29041 0.20259 0.911 0.88894 18.0000 16.63 0.6772 0.7769 1.332171 
930.2951 6.763 117.317 -0.08073 0.15629 -5.026 0.73118 18.0000 16.60 0.6590 0.7480 1.332740 
929.8975 11.707 137.588 -0.21731 0.19851 0.041 0.67967 18.0000 16.79 0.6470 0.7220 1.333310 
929.4999 5.678 121.237 -0.08237 0.13580 6.588 0.79078 18.0000 17.16 0.6890 0.7157 1.333881 
929.1022 3.568 1.639 0.13281 0.00380 6.196 1.06131 18.0000 17.44 0.7011 0.7346 1.334452 
928.7043 3.687 317.614 0.09869 -0.09007 1.057 1.03240 18.0000 17.12 0.9601 1.0129 1.335023 
928.3065 0.709 309.398 0.01598 -0.01946 3.646 1.01683 18.0000 17.13 1.1484 1.2165 1.335595 
927.9085 1.320 334.101 0.04493 -0.02181 0.901 1.08278 18.0000 17.05 1.2665 1.3713 1.336168 
927.5104 1.496 344.128 0.05317 -0.01512 0.264 1.05748 18.0000 17.28 1.2529 1.3811 1.336742 
927.1123 2.470 352.990 0.08663 -0.01065 0.110 1.01002 18.0000 17.38 1.1124 1.2783 1.337316 
926.7141 2.296 358.637 0.07434 -0.00177 0.019 0.92589 18.0000 17.17 0.9483 1.1312 1.337890 
926.3158 0.933 358.024 0.02642 -0.00091 0.504 0.81126 18.0000 17.46 0.8688 0.9888 1.338466 
925.9174 5.818 165.559 -0.13821 0.03559 0.390 0.69301 18.0000 17.62 0.7576 0.7950 1.339042 
925.5190 3.698 160.767 -0.08772 0.03060 -0.138 0.71572 18.0000 17.54 0.6117 0.6377 1.339618 
925.1204 1.969 344.229 0.04110 -0.01161 -0.052 0.62033 18.0000 17.82 0.5669 0.6240 1.340195 
924.7218 1.956 171.010 -0.03322 0.00526 -0.033 0.49183 18.0000 17.54 0.5688 0.6007 1.340773 
924.3231 3.145 147.853 -0.04720 0.02966 -0.017 0.50574 18.0000 17.82 0.5682 0.5845 1.341351 
923.9243 5.466 162.994 -0.11986 0.03666 1.017 0.64896 18.0000 17.89 0.5762 0.7113 1.341930 
923.5255 6.433 168.443 -0.15723 0.03215 0.927 0.70257 18.0000 18.22 0.6256 0.6376 1.342510 
923.1265 25.203 185.738 -1.14345 -0.11489 0.045 0.95052 18.0000 17.81 0.8279 1.3431 1.343090 
922.7275 3.229 140.524 -0.07477 0.06158 0.028 0.85577 18.0000 18.25 0.9032 1.0462 1.343671 
922.3283 11.134 16.782 0.33843 0.10206 0.936 0.86327 18.0000 18.30 1.2055 1.7414 1.344252 
921.9291 12.376 18.488 0.39241 0.13121 0.000 0.89748 18.0000 18.35 1.7246 2.5727 1.344834 
921.5298 14.063 16.269 0.46455 0.13557 0.000 0.90532 18.0000 18.32 1.9835 3.0296 1.345417 
921.1305 13.726 17.606 0.49668 0.15761 0.000 1.00304 18.0000 18.03 2.0181 3.1580 1.346000 
920.7311 15.023 15.616 0.52492 0.14672 0.000 0.94226 18.0000 18.21 1.8484 2.8972 1.346584 
920.3315 13.809 18.911 0.43684 0.14966 0.000 0.88263 18.0000 18.85 1.6148 2.4392 1.347169 
919.9319 8.720 31.024 0.14433 0.08681 0.000 0.53615 18.0000 18.41 1.9841 2.3203 1.347754 
919.5322 5.103 136.144 -0.08063 0.07747 1.214 0.62103 18.0000 18.42 1.3244 1.4049 1.348340 
919.1324 22.755 178.965 -0.52452 0.00948 0.958 0.51533 18.0000 18.91 1.1826 1.6009 1.348926 
918.7326 8.108 150.232 -0.17799 0.10180 3.353 0.70509 18.0000 18.68 0.8142 0.8500 1.349513 
918.3326 16.589 125.460 -0.38046 0.53418 -4.533 1.00304 18.0000 18.98 0.8876 1.3741 1.350101 
917.9326 2.993 207.450 -0.09782 -0.05082 1.011 1.05137 18.0000 19.02 0.5914 0.6570 1.350689 
917.5325 56.196 120.584 -0.23460 0.39695 1.710 -0.18998 18.0000 18.73 1.4908 1.8880 1.351278 
917.1323 47.347 113.950 -0.14267 0.32119 1.425 -0.02886 18.0000 18.84 2.2993 2.9566 1.351868 
916.7321 49.964 116.664 -0.16636 0.33130 3.527 -0.06489 18.0000 19.12 2.7191 3.5636 1.352458 
916.3317 58.971 115.313 -0.16083 0.34003 72.040 -0.19951 18.0000 19.15 2.7531 3.6360 1.353049 
915.9313 66.220 113.956 -0.16662 0.37500 0.983 -0.37523 18.0000 19.18 2.4930 3.3179 1.353641 
915.5308 72.827 113.007 -0.19180 0.45169 1.973 -0.71813 18.0000 19.28 2.0057 2.6626 1.354233 
915.1302 77.408 117.464 -0.44083 0.84813 1.079 -2.03271 18.0000 19.63 1.3170 1.7191 1.354826 
914.7295 3.822 308.895 0.12558 -0.15566 0.001 1.49017 18.0000 19.37 0.8174 0.8932 1.355419 
