## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:21:13

# END TIME:
11:21:13

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
12

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
18 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
983.6174 6.968 178.419 -0.32893 0.00908 0.411 1.32616 18.0000 8.16 0.9453 1.0331 1.260492 
983.2307 5.805 179.145 -0.28936 0.00432 0.462 1.40849 18.0000 8.22 0.8773 0.9322 1.260988 
982.8438 9.758 212.360 -0.37439 -0.23723 0.410 1.25051 18.0000 8.27 0.9597 0.9807 1.261484 
982.4569 3.901 329.933 0.09863 -0.05710 0.376 0.83165 18.0000 8.27 0.7283 0.8112 1.261981 
982.0699 3.090 142.844 -0.06689 0.05069 -2.200 0.77511 18.0000 8.33 0.7229 0.7888 1.262478 
981.6828 11.677 174.561 -0.29873 0.02844 -0.010 0.69500 18.0000 8.40 0.7333 0.7820 1.262976 
981.2957 13.349 176.772 -0.41063 0.02316 -0.005 0.81781 18.0000 8.42 0.7744 0.8094 1.263474 
980.9084 15.599 171.603 -0.40242 0.05941 0.003 0.67175 18.0000 8.53 0.8157 1.0428 1.263973 
980.5211 31.871 171.936 -0.57693 0.08174 0.006 0.28745 18.0000 8.53 0.6281 0.6990 1.264472 
980.1337 35.950 149.362 -0.61582 0.36475 -0.001 0.23395 18.0000 8.67 0.5876 0.8101 1.264972 
979.7463 34.906 151.072 -0.64017 0.35380 -0.001 0.26894 18.0000 8.49 0.5992 1.0378 1.265472 
979.3587 74.633 140.055 -0.58066 0.48628 6.188 -1.27388 18.0000 8.74 0.6617 0.9680 1.265973 
978.9711 71.526 23.772 1.08261 0.47686 4.617 -1.57280 18.0000 8.62 0.6895 1.3792 1.266474 
978.5834 75.802 31.409 0.41053 0.25068 0.868 -0.88973 18.0000 8.73 0.6337 1.5826 1.266976 
978.1956 60.505 41.709 0.14741 0.13138 6.162 -0.11869 18.0000 8.75 0.5824 1.6248 1.267478 
977.8077 7.339 77.100 0.01930 0.08428 -2.350 0.33010 18.0000 8.91 0.6070 1.5204 1.267981 
977.4199 2.874 112.288 -0.02621 0.06394 2.187 0.68648 18.0000 8.93 0.7658 1.3335 1.268484 
977.0319 4.443 163.581 -0.10969 0.03232 2.053 0.73140 18.0000 9.04 0.8574 1.0340 1.268988 
976.6437 7.139 188.852 -0.19741 -0.03074 0.940 0.78508 18.0000 9.06 0.8544 1.2415 1.269493 
976.2556 9.373 205.458 -0.29265 -0.13932 -6.974 0.95502 18.0000 9.03 1.1209 1.2791 1.269997 
975.8674 2.364 218.492 -0.06764 -0.05379 0.926 1.04492 18.0000 9.19 1.1846 1.2786 1.270502 
975.4790 6.971 197.632 -0.21878 -0.06953 0.687 0.92465 18.0000 9.37 1.1816 1.3000 1.271008 
975.0906 7.134 210.545 -0.20027 -0.11818 -1.308 0.91446 18.0000 9.29 1.2150 1.3019 1.271515 
974.7021 5.504 214.013 -0.14096 -0.09513 -10.507 0.87429 18.0000 9.34 1.1649 1.2864 1.272021 
974.3136 5.266 221.575 -0.12406 -0.11005 0.853 0.89194 18.0000 9.35 1.0426 1.1156 1.272529 
973.9250 4.811 224.766 -0.10437 -0.10352 0.020 0.86717 18.0000 9.50 0.8636 0.8945 1.273036 
973.5363 2.670 195.381 -0.07816 -0.02150 0.041 0.86721 18.0000 9.55 0.7389 0.7722 1.273545 
973.1475 7.782 247.848 -0.06456 -0.15858 -3.669 0.61474 18.0000 9.51 0.5603 0.6259 1.274053 
972.7586 9.606 7.553 0.13818 0.01832 -2.160 0.39999 18.0000 9.74 0.5618 0.6136 1.274563 
972.3697 2.086 214.647 -0.02573 -0.01778 -0.759 0.42870 18.0000 9.76 0.5342 0.5681 1.275073 
971.9807 10.513 199.525 -0.10498 -0.03723 -0.347 0.28979 18.0000 9.77 0.5479 0.5944 1.275583 
971.5916 16.037 207.154 -0.18058 -0.09262 -0.567 0.32387 18.0000 9.86 0.6801 0.7264 1.276094 
971.2024 18.563 205.322 -0.22406 -0.10602 0.324 0.32745 18.0000 10.08 0.9173 0.9559 1.276605 
970.8131 21.887 206.483 -0.22758 -0.11339 0.030 0.26539 18.0000 9.93 0.9690 0.9980 1.277117 
970.4238 22.631 207.484 -0.21722 -0.11300 0.004 0.24263 18.0000 9.89 0.9291 0.9449 1.277629 
970.0344 22.595 188.892 -0.26853 -0.04201 0.005 0.27001 18.0000 10.16 0.9070 0.9339 1.278142 
969.6449 14.533 212.099 -0.22011 -0.13807 0.002 0.46747 18.0000 10.27 1.0415 1.0586 1.278656 
969.2553 13.797 228.599 -0.19366 -0.21966 0.001 0.56029 18.0000 10.26 1.0136 1.0265 1.279170 
968.8657 11.977 244.993 -0.14385 -0.30839 -1.002 0.76595 18.0000 10.28 0.9205 0.9569 1.279684 
968.4760 13.071 250.020 -0.13304 -0.36591 0.991 0.79329 18.0000 10.48 0.9738 1.0132 1.280199 
968.0861 12.412 256.894 -0.09878 -0.42427 0.192 0.94178 18.0000 10.67 0.9567 0.9993 1.280714 
967.6962 12.240 250.583 -0.13267 -0.37638 -1.096 0.87654 18.0000 10.68 1.0087 1.0611 1.281230 
967.3063 10.611 246.427 -0.13801 -0.31630 0.877 0.88870 18.0000 10.67 1.1013 1.1362 1.281747 
966.9163 8.150 233.751 -0.13722 -0.18716 0.906 0.79360 18.0000 10.91 0.9845 1.0972 1.282264 
966.5261 3.034 180.930 -0.12392 -0.00201 -4.313 1.16595 18.0000 10.72 0.7602 0.7896 1.282782 
966.1359 8.860 174.903 -0.38080 0.03396 0.909 1.19652 18.0000 10.52 0.8770 0.9164 1.283300 
965.7457 4.557 175.569 -0.19776 0.01532 -0.499 1.23634 18.0000 10.69 1.0184 1.0907 1.283818 
965.3553 5.117 142.927 -0.15541 0.11742 0.942 1.07884 18.0000 10.99 0.8367 0.9020 1.284337 
964.9649 8.369 102.893 -0.05843 0.25524 9.099 0.87070 18.0000 11.11 0.6588 0.8156 1.284857 
964.5743 20.310 78.874 0.08447 0.42952 0.885 0.51035 18.0000 10.89 0.6013 0.8908 1.285377 
964.1838 36.983 73.333 0.14267 0.47656 0.399 0.14297 18.0000 11.02 0.6553 1.0295 1.285898 
963.7931 45.448 92.107 -0.01082 0.29427 1.076 -0.00460 18.0000 11.22 0.6653 1.0724 1.286419 
