## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:30:06

# END TIME:
11:30:06

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
19

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
12 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
983.2307 3.836 122.226 -0.08268 0.13116 0.346 1.15099 12.0000 5.82 0.7426 0.7848 1.260988 
982.8438 4.009 331.307 0.14309 -0.07831 0.315 1.15797 12.0000 5.75 0.8030 0.8552 1.261484 
982.4569 2.231 255.251 -0.01936 -0.07355 0.301 0.97473 12.0000 5.79 0.7566 0.8064 1.261981 
982.0699 5.443 147.510 -0.13131 0.08362 -1.656 0.80951 12.0000 5.92 0.7004 0.7656 1.262478 
981.6828 12.172 151.174 -0.28129 0.15481 -0.006 0.70963 12.0000 5.91 0.7115 0.7873 1.262976 
981.2957 21.767 187.304 -0.75270 -0.09648 -0.004 0.79871 12.0000 6.00 0.7922 0.8992 1.263474 
980.9084 17.594 143.262 -0.38041 0.28394 0.002 0.67325 12.0000 5.99 0.8068 1.0824 1.263973 
980.5211 37.529 53.485 0.63051 0.85163 0.004 0.28278 12.0000 5.97 0.9298 1.1645 1.264472 
980.1337 41.297 76.588 0.33435 1.40214 -0.001 0.18736 12.0000 6.16 0.8054 1.1312 1.264972 
979.7463 40.811 61.377 1.01867 1.86658 -0.001 0.31319 12.0000 6.07 0.8315 1.2156 1.265472 
979.3587 60.226 89.525 0.01897 2.28980 4.288 -1.34621 12.0000 6.15 0.7758 1.0857 1.265973 
978.9711 73.587 76.672 0.26269 1.10887 3.301 -1.76653 12.0000 6.15 0.7450 1.4200 1.266474 
978.5834 68.395 142.281 -0.69363 0.53647 0.617 -0.93343 12.0000 6.11 0.7536 1.6181 1.266976 
978.1956 48.096 178.413 -0.80273 0.02224 4.370 -0.08712 12.0000 6.17 0.7747 1.7082 1.267478 
977.8077 35.472 196.356 -0.85393 -0.25062 -1.653 0.30739 12.0000 6.30 0.9042 1.6772 1.267981 
977.4199 27.772 206.633 -0.83920 -0.42085 1.356 0.64417 12.0000 6.34 1.1462 1.6274 1.268484 
977.0319 11.268 192.361 -0.28745 -0.06299 1.505 0.70919 12.0000 6.31 0.8812 1.0176 1.268988 
976.6437 5.547 28.517 0.12881 0.06999 0.637 0.74765 12.0000 6.30 0.8369 1.1911 1.269493 
976.2556 7.684 175.807 -0.25776 0.01890 -5.011 0.94037 12.0000 6.36 1.1164 1.2441 1.269997 
975.8674 3.454 167.079 -0.12117 0.02780 0.668 1.02614 12.0000 6.47 1.2033 1.3042 1.270502 
975.4790 9.620 173.894 -0.30455 0.03258 0.480 0.87758 12.0000 6.56 1.2136 1.3299 1.271008 
975.0906 6.635 167.377 -0.19768 0.04427 -0.914 0.85894 12.0000 6.49 1.2155 1.3466 1.271515 
974.7021 6.954 161.998 -0.19702 0.06402 -6.667 0.83663 12.0000 6.66 1.1824 1.2981 1.272021 
974.3136 6.499 160.647 -0.18581 0.06526 0.587 0.85311 12.0000 6.58 1.0525 1.1320 1.272529 
973.9250 6.110 159.512 -0.16454 0.06148 0.015 0.81113 12.0000 6.63 0.8604 0.9046 1.273036 
973.5363 7.303 127.252 -0.12903 0.16968 0.029 0.81796 12.0000 6.66 0.7391 0.7729 1.273545 
973.1475 6.127 175.768 -0.13544 0.01002 -2.600 0.62532 12.0000 6.66 0.5597 0.6086 1.274053 
972.7586 3.466 101.263 -0.01436 0.07209 -1.479 0.60461 12.0000 6.75 0.5612 0.5871 1.274563 
972.3697 2.788 112.007 -0.01065 0.02635 -0.545 0.29117 12.0000 6.87 0.5246 0.5529 1.275073 
971.9807 26.179 143.880 -0.09258 0.06756 -0.257 0.08839 12.0000 6.86 0.5149 0.5504 1.275583 
971.5916 38.250 148.710 -0.16326 0.09923 -0.355 0.04587 12.0000 6.79 0.5882 0.6239 1.276094 
971.2024 33.799 142.767 -0.19767 0.15022 0.222 0.10234 12.0000 6.97 0.7766 0.8039 1.276605 
970.8131 40.742 141.187 -0.19099 0.15363 0.026 0.03670 12.0000 6.93 0.8463 0.8647 1.277117 
970.4238 42.409 137.605 -0.16708 0.15254 0.007 0.02052 12.0000 6.95 0.8304 0.8407 1.277629 
970.0344 33.437 109.672 -0.09332 0.26103 0.002 0.11839 12.0000 7.19 0.8579 0.8841 1.278142 
969.6449 17.357 138.945 -0.21082 0.18362 0.002 0.40356 12.0000 7.11 1.0075 1.0239 1.278656 
969.2553 15.910 159.066 -0.33328 0.12749 0.001 0.57506 12.0000 7.07 1.0480 1.0646 1.279170 
968.8657 13.978 171.475 -0.43371 0.06501 -0.955 0.82635 12.0000 7.18 1.0344 1.0770 1.279684 
968.4760 14.252 184.594 -0.47573 -0.03823 0.657 0.87888 12.0000 7.28 0.9298 0.9831 1.280199 
968.0861 13.681 186.348 -0.45586 -0.05071 0.129 0.88627 12.0000 7.42 0.9761 1.0232 1.280714 
967.6962 10.930 172.983 -0.44811 0.05516 -0.835 1.12538 12.0000 7.40 8.9161 15.2631 1.281230 
967.3063 10.188 178.140 -0.41037 0.01332 0.618 1.10543 12.0000 7.39 2.3389 3.2292 1.281747 
966.9163 10.562 173.547 -0.42025 0.04754 0.634 1.09466 12.0000 7.48 7.6716 12.2510 1.282264 
966.5261 10.665 170.649 -0.42085 0.06930 -3.016 1.09229 12.0000 7.36 10.2406 16.6230 1.282782 
966.1359 10.672 171.063 -0.42040 0.06611 0.618 1.08902 12.0000 7.29 11.3943 18.5516 1.283300 
965.7457 10.522 173.241 -0.41521 0.04921 -0.380 1.08671 12.0000 7.30 11.5411 18.8229 1.283818 
965.3553 10.986 175.025 -0.44337 0.03860 0.637 1.10307 12.0000 7.48 11.4483 18.9797 1.284337 
964.9649 11.941 176.099 -0.50481 0.03443 6.356 1.14280 12.0000 7.55 11.2585 19.3498 1.284857 
964.5743 12.937 176.652 -0.57694 0.03375 0.712 1.19156 12.0000 7.50 10.9393 19.6338 1.285377 
964.1838 13.862 176.209 -0.65391 0.04333 0.005 1.24698 12.0000 7.54 10.6221 19.8589 1.285898 
963.7931 14.453 175.488 -0.70143 0.05536 0.735 1.27433 12.0000 7.60 10.6436 20.2108 1.286419 
963.4023 14.087 174.544 -0.65581 0.06264 0.078 1.23001 12.0000 7.69 10.6331 19.7803 1.286941 
963.0115 12.253 172.865 -0.50147 0.06277 0.617 1.10869 12.0000 7.76 9.9176 16.9885 1.287463 
962.6207 1.225 121.078 -0.01692 0.02807 0.603 0.76589 12.0000 7.84 8.6352 12.2179 1.287986 
962.2297 1.743 175.402 -0.04964 0.00399 0.630 0.81740 12.0000 7.89 7.8024 10.9800 1.288509 
961.8386 1.990 170.089 -0.05974 0.01044 0.660 0.87161 12.0000 7.85 6.0276 8.4642 1.289033 
961.4474 4.014 187.919 -0.12606 -0.01754 0.690 0.90241 12.0000 8.00 2.8602 3.8756 1.289558 
961.0562 7.428 14.400 0.16266 0.04176 0.687 0.63308 12.0000 7.90 3.2157 4.7242 1.290083 
960.6649 13.226 199.328 -0.46724 -0.16388 0.012 0.99519 12.0000 8.05 0.8009 0.9705 1.290608 
960.2736 14.379 212.294 -0.36680 -0.23182 0.013 0.79066 12.0000 8.00 0.6660 0.7695 1.291134 
959.8821 13.643 192.590 -0.37152 -0.08298 0.535 0.73798 12.0000 7.90 0.6070 0.6509 1.291661 
959.4905 12.434 158.283 -0.28905 0.11513 0.777 0.67127 12.0000 8.04 0.5942 0.6307 1.292188 
959.0989 11.895 82.154 0.03594 0.26081 0.622 0.59723 12.0000 8.22 0.5723 0.7318 1.292715 
958.7073 4.579 119.982 -0.04735 0.08208 1.252 0.58774 12.0000 8.17 0.5551 0.7081 1.293243 
958.3155 10.925 137.663 -0.18175 0.16559 -11.853 0.61317 12.0000 8.09 0.5620 0.5958 1.293772 
957.9236 10.322 135.322 -0.16898 0.16709 0.652 0.63080 12.0000 8.02 0.6024 0.6095 1.294301 
957.5317 7.698 135.720 -0.13154 0.12827 -68.221 0.66717 12.0000 8.07 0.6614 0.6665 1.294831 
957.1396 5.088 131.647 -0.08741 0.09829 0.653 0.73278 12.0000 8.01 0.7822 0.7978 1.295362 
956.7476 3.882 130.308 -0.07234 0.08528 -1.801 0.82022 12.0000 8.24 0.8289 0.8397 1.295892 
956.3554 1.300 117.481 -0.01860 0.03576 0.823 0.88778 12.0000 8.58 0.8318 0.8472 1.296424 
