# lams, psi_mean, delta_mean
926.714100 4.619281 358.586605
926.315800 2.657794 33.424192
925.917400 1.586926 99.561565
925.519000 2.641418 79.939870
925.120400 6.349690 110.341090
924.721800 3.183951 93.344215
924.323100 2.982724 95.652628
923.924300 1.060619 93.707332
923.525500 0.920391 275.329002
923.126500 45.000000 160.910876
922.727500 1.067367 328.972933
922.328300 45.000000 312.725593
921.929100 38.527136 317.855575
921.529800 29.698828 319.832452
921.130500 30.751257 320.587231
920.731100 29.774548 320.846831
920.331500 34.292869 319.467351
919.931900 45.000000 131.168218
919.532200 0.331302 89.240285
919.132400 45.000000 157.190165
918.732600 0.731307 123.505370
918.332600 8.862976 111.530351
917.932600 5.348618 300.197557
917.532500 12.111475 116.133918
917.132300 10.100862 112.087432
916.732100 9.866833 113.036307
916.331700 10.043106 111.835901
915.931300 11.033091 111.562380
915.530800 12.980057 110.856050
915.130200 22.924714 113.488929
914.729500 5.598142 300.764370
914.328700 4.312376 110.294297
913.927900 0.561674 4.896319
913.527000 1.021842 193.519272
913.125900 1.259401 54.013204
912.724900 3.004730 23.065408
912.323700 4.543122 9.933929
911.922400 19.700492 358.060114
911.521100 17.616911 97.629995
911.119600 8.989148 183.775961
910.718100 45.000000 230.963278
910.316500 45.000000 233.418146
909.914900 45.000000 183.366849
909.513100 45.000000 285.172819
909.111300 45.000000 331.381737
908.709300 45.000000 343.168168
908.307300 45.000000 353.462074
907.905200 45.000000 359.233035
907.503100 45.000000 2.339867
907.100800 45.000000 4.502622
906.698400 45.000000 307.670435
906.296000 18.102919 47.399003
905.893500 45.000000 122.746206
905.490900 45.000000 88.437283
905.088300 45.000000 88.938860
904.685500 16.676551 235.951721
904.282600 27.042363 118.227142
903.879700 12.727856 165.056189
903.476700 11.361767 153.291448
903.073600 11.461020 152.726601
902.670400 11.620220 154.410780
902.267200 12.609065 150.533171
901.863800 13.517426 148.344518
901.460400 16.357191 135.420300
901.056900 45.000000 102.304125
900.653300 23.530224 233.974353
900.249600 45.000000 89.279935
899.845800 45.000000 306.687615
899.442000 45.000000 206.353653
899.038000 45.000000 204.981674
898.634000 45.000000 207.549189
898.229900 45.000000 182.689851
897.825700 45.000000 217.648332
897.421400 45.000000 81.315121
897.017100 33.140959 111.599473
896.612700 23.644442 133.994237
896.208100 38.904905 115.390470
895.803500 34.235078 115.377944
895.398900 31.196724 115.116811
894.994100 21.639462 114.799482
894.589200 9.696449 114.891279
894.184300 10.195309 289.078749
893.779200 4.733038 126.424896
893.374100 2.370593 97.253986
892.968900 3.730966 344.187928
892.563700 6.923349 328.496326
892.158300 8.283850 329.874795
891.752800 5.567078 339.746078
891.347300 4.613311 344.272048
890.941700 3.207427 6.931437
890.535900 2.269851 34.918879
890.130200 1.184280 85.804742
889.724300 2.330296 169.555346
889.318400 2.514578 341.653237
888.912300 4.525354 358.626738
888.506200 3.694966 1.565248
888.100000 5.789880 80.688151
887.693700 7.387387 78.522045
887.287300 8.017275 81.365914
886.880800 9.044386 85.438440
886.474300 6.919353 92.177956
886.067600 7.200579 100.931324
885.660900 7.561551 109.976414
885.254100 7.073629 96.005898
884.847200 6.241305 92.061903
884.440200 5.277203 85.469025
884.033200 8.451737 89.717553
883.626000 8.502275 86.601441
883.218800 9.243491 85.337797
882.811500 7.396005 64.106719
882.404100 3.374739 113.573921
881.996600 3.841252 154.572280
881.589000 4.363178 195.609420
881.181300 4.251361 253.138679
880.773600 13.201882 182.198604
880.365800 45.000000 159.911800
879.957900 45.000000 210.985936
879.549900 45.000000 136.347688
879.141800 45.000000 115.796620
878.733600 45.000000 110.787445
878.325300 45.000000 109.725081
877.917000 45.000000 108.567421
877.508500 45.000000 108.948605
877.100000 45.000000 110.583958
876.691500 45.000000 115.353655
876.282800 45.000000 128.572569
875.874000 45.000000 217.641644
875.465100 18.865994 130.737001
875.056200 15.274907 130.884626
874.647200 3.310924 67.680672
874.238000 45.000000 351.159341
873.828900 4.890426 353.280771
873.419600 14.263946 100.866270
873.010200 15.340321 102.607122
872.600700 13.435447 100.536904
872.191200 13.033971 76.614992
871.781600 8.976205 75.712485
871.371800 7.640690 70.866580
870.962000 4.359834 91.614018
870.552100 3.022396 132.847577
870.142200 2.683846 156.258279
869.732100 3.682662 105.092833
869.321900 6.552515 82.992939
868.911700 9.957421 73.007955
868.501300 12.911129 68.255341
868.090900 15.833908 65.886956
867.680500 15.256940 65.930727
867.269900 13.349454 66.200050
866.859200 12.808195 64.156240
866.448500 11.739259 60.042492
866.037600 12.476699 55.028897
865.626700 13.035207 58.423302
865.215700 12.457287 60.838260
864.804600 13.150841 62.439679
864.393400 12.702925 63.517568
863.982100 14.157046 65.248089
863.570700 12.797351 63.066216
863.159300 9.269906 61.001053
862.747700 10.438546 55.315184
862.336100 10.480452 49.750380
861.924400 10.924797 45.733730
861.512600 11.203337 48.281453
861.100800 8.797716 50.367862
