Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
725.5388	9.401	167.437
725.0975	9.405	167.432
724.6562	9.409	167.427
724.2147	9.413	167.421
723.7732	9.416	167.416
723.3315	9.420	167.411
722.8898	9.424	167.406
722.4479	9.428	167.401
722.0060	9.432	167.395
721.5640	9.436	167.390
721.1218	9.439	167.385
720.6796	9.443	167.380
720.2373	9.447	167.376
719.7949	9.450	167.371
719.3524	9.454	167.367
718.9097	9.457	167.362
718.4670	9.461	167.358
718.0242	9.465	167.354
717.5813	9.468	167.349
717.1383	9.472	167.345
716.6952	9.475	167.341
716.2520	9.479	167.337
715.8087	9.482	167.333
715.3653	9.485	167.329
714.9218	9.488	167.325
714.4782	9.492	167.321
714.0345	9.495	167.317
713.5907	9.498	167.314
713.1469	9.502	167.310
712.7028	9.505	167.306
712.2588	9.508	167.302
711.8146	9.512	167.299
711.3703	9.515	167.295
710.9259	9.518	167.291
710.4814	9.522	167.288
710.0369	9.525	167.284
709.5922	9.528	167.280
709.1474	9.532	167.277
708.7026	9.535	167.273
708.2576	9.539	167.267
707.8125	9.542	167.257
707.3674	9.546	167.248
706.9221	9.550	167.239
706.4767	9.554	167.229
706.0313	9.557	167.220
705.5857	9.561	167.211
705.1401	9.565	167.202
704.6943	9.569	167.192
704.2484	9.573	167.186
703.8025	9.577	167.181
703.3564	9.581	167.177
702.9103	9.585	167.173
702.4641	9.589	167.169
702.0177	9.593	167.165
701.5712	9.597	167.161
701.1247	9.601	167.157
700.6780	9.605	167.153
700.2313	9.609	167.149
699.7844	9.613	167.143
699.3375	9.617	167.138
698.8904	9.621	167.133
698.4433	9.625	167.128
697.9961	9.630	167.123
697.5488	9.634	167.118
697.1013	9.638	167.112
696.6537	9.642	167.107
696.2061	9.647	167.102
695.7584	9.651	167.097
695.3105	9.655	167.092
694.8626	9.660	167.086
694.4146	9.664	167.081
693.9664	9.669	167.076
693.5182	9.673	167.071
693.0699	9.678	167.065
692.6215	9.682	167.060
692.1729	9.687	167.056
691.7243	9.691	167.051
691.2756	9.696	167.047
690.8267	9.700	167.042
690.3778	9.705	167.037
689.9288	9.709	167.033
689.4797	9.714	167.028
689.0304	9.718	167.024
688.5811	9.723	167.020
688.1317	9.727	167.016
687.6821	9.731	167.012
687.2325	9.735	167.008
686.7828	9.739	167.004
686.3329	9.743	167.001
685.8830	9.748	166.997
685.4330	9.752	166.993
684.9828	9.756	166.990
684.5327	9.760	166.986
684.0823	9.764	166.982
683.6319	9.768	166.979
683.1813	9.773	166.975
682.7307	9.777	166.972
682.2800	9.781	166.968
681.8292	9.785	166.964
681.3782	9.789	166.961
680.9272	9.794	166.957
680.4761	9.799	166.953
680.0248	9.803	166.949
679.5735	9.808	166.945
679.1221	9.812	166.941
678.6705	9.817	166.937
678.2189	9.822	166.933
677.7672	9.826	166.930
677.3154	9.831	166.926
676.8634	9.836	166.921
676.4114	9.842	166.917
675.9592	9.847	166.912
675.5070	9.852	166.908
675.0547	9.857	166.904
674.6022	9.862	166.900
674.1497	9.867	166.895
673.6971	9.872	166.891
673.2443	9.877	166.887
672.7915	9.883	166.883
672.3386	9.888	166.879
671.8855	9.893	166.875
671.4324	9.898	166.871
670.9791	9.903	166.866
670.5258	9.909	166.862
670.0723	9.914	166.859
669.6188	9.918	166.856
669.1651	9.923	166.853
668.7114	9.928	166.850
668.2575	9.933	166.848
667.8035	9.938	166.845
667.3495	9.942	166.843
666.8953	9.947	166.840
666.4411	9.952	166.837
665.9868	9.957	166.833
665.5323	9.962	166.830
665.0777	9.966	166.826
664.6230	9.971	166.822
664.1683	9.976	166.818
663.7134	9.981	166.815
663.2584	9.986	166.811
662.8034	9.990	166.808
662.3482	9.995	166.804
661.8929	10.000	166.800
661.4376	10.005	166.797
660.9821	10.010	166.793
660.5265	10.014	166.790
660.0708	10.019	166.786
659.6151	10.024	166.783
659.1592	10.029	166.780
658.7032	10.034	166.776
658.2471	10.039	166.772
657.7909	10.044	166.769
657.3346	10.048	166.766
656.8782	10.053	166.762
656.4218	10.058	166.759
655.9651	10.063	166.755
655.5084	10.068	166.752
655.0516	10.073	166.749
654.5947	10.078	166.746
654.1377	10.083	166.743
653.6806	10.087	166.740
653.2234	10.092	166.737
652.7661	10.097	166.734
652.3087	10.102	166.730
651.8511	10.107	166.727
651.3936	10.112	166.723
650.9358	10.117	166.719
650.4780	10.122	166.716
650.0201	10.128	166.712
649.5620	10.133	166.709
649.1039	10.138	166.706
648.6457	10.143	166.702
648.1873	10.148	166.699
647.7289	10.153	166.695
647.2703	10.158	166.692
646.8117	10.163	166.689
646.3530	10.168	166.686
645.8941	10.173	166.683
645.4351	10.179	166.679
644.9761	10.185	166.676
644.5169	10.190	166.672
644.0577	10.196	166.668
643.5983	10.202	166.665
643.1389	10.207	166.661
642.6793	10.213	166.658
642.2196	10.219	166.654
641.7598	10.225	166.650
641.2999	10.231	166.647
640.8400	10.238	166.642
640.3799	10.244	166.639
639.9197	10.250	166.635
639.4594	10.256	166.631
638.9990	10.263	166.627
638.5385	10.269	166.624
638.0779	10.275	166.620
637.6172	10.282	166.616
637.1564	10.288	166.613
636.6954	10.294	166.609
636.2344	10.301	166.606
635.7733	10.307	166.603
635.3121	10.312	166.601
634.8508	10.318	166.600
634.3893	10.323	166.599
633.9278	10.328	166.598
633.4662	10.334	166.597
633.0044	10.339	166.596
632.5425	10.345	166.595
632.0806	10.350	166.594
631.6186	10.356	166.594
631.1564	10.361	166.593
630.6942	10.367	166.592
630.2318	10.372	166.591
629.7693	10.378	166.591
629.3068	10.383	166.590
628.8441	10.389	166.589
628.3813	10.394	166.587
627.9184	10.400	166.586
627.4554	10.405	166.585
626.9923	10.411	166.583
626.5291	10.416	166.582
626.0658	10.422	166.580
625.6024	10.427	166.578
625.1389	10.433	166.576
624.6753	10.438	166.574
624.2115	10.444	166.572
623.7477	10.449	166.570
623.2838	10.455	166.568
622.8198	10.461	166.566
622.3557	10.466	166.564
621.8914	10.472	166.562
621.4271	10.477	166.561
620.9626	10.483	166.559
620.4980	10.488	166.557
620.0334	10.494	166.555
619.5687	10.500	166.553
619.1038	10.507	166.549
618.6388	10.513	166.546
618.1737	10.520	166.543
617.7086	10.527	166.539
617.2433	10.533	166.536
616.7779	10.540	166.533
616.3124	10.547	166.530
615.8468	10.553	166.527
615.3810	10.560	166.524
614.9153	10.566	166.521
614.4492	10.573	166.518
613.9833	10.580	166.515
613.5172	10.587	166.513
613.0510	10.593	166.510
612.5847	10.600	166.508
612.1182	10.607	166.506
611.6516	10.614	166.504
611.1850	10.621	166.502
610.7183	10.628	166.500
610.2514	10.635	166.498
609.7844	10.642	166.497
609.3173	10.649	166.495
608.8502	10.656	166.494
608.3829	10.663	166.493
607.9156	10.670	166.491
607.4480	10.677	166.490
606.9804	10.684	166.489
606.5127	10.691	166.488
606.0449	10.698	166.487
605.5770	10.705	166.486
605.1089	10.712	166.485
604.6408	10.719	166.484
604.1726	10.727	166.482
603.7042	10.734	166.481
603.2358	10.741	166.480
602.7673	10.748	166.479
602.2986	10.756	166.478
601.8298	10.763	166.477
601.3610	10.770	166.477
600.8920	10.777	166.476
600.4229	10.784	166.475
599.9537	10.792	166.474
599.4844	10.799	166.474
599.0150	10.806	166.473
598.5455	10.813	166.471
598.0759	10.821	166.470
597.6062	10.828	166.468
597.1364	10.835	166.466
596.6664	10.842	166.465
596.1964	10.849	166.463
595.7263	10.856	166.460
595.2560	10.863	166.458
594.7857	10.870	166.455
594.3152	10.878	166.452
593.8447	10.885	166.450
593.3741	10.892	166.447
592.9032	10.899	166.445
592.4323	10.906	166.442
591.9613	10.913	166.440
591.4902	10.920	166.437
591.0190	10.927	166.435
590.5477	10.934	166.433
590.0763	10.942	166.433
589.6048	10.949	166.435
589.1331	10.956	166.437
588.6614	10.964	166.439
588.1896	10.971	166.441
587.7176	10.978	166.444
587.2455	10.986	166.446
586.7734	10.993	166.448
586.3011	11.000	166.450
585.8287	11.008	166.453
585.3563	11.015	166.455
584.8837	11.022	166.457
584.4109	11.030	166.458
583.9382	11.038	166.459
583.4652	11.046	166.460
582.9922	11.054	166.460
582.5191	11.061	166.461
582.0458	11.069	166.462
581.5725	11.077	166.461
581.0991	11.085	166.460
580.6255	11.094	166.459
580.1519	11.102	166.458
579.6780	11.110	166.457
579.2042	11.118	166.457
578.7303	11.126	166.456
578.2561	11.135	166.455
577.7819	11.143	166.455
577.3076	11.151	166.454
576.8332	11.159	166.454
576.3586	11.168	166.452
575.8840	11.177	166.449
575.4093	11.186	166.446
574.9344	11.195	166.444
574.4595	11.204	166.441
573.9844	11.212	166.439
573.5092	11.221	166.437
573.0339	11.230	166.434
572.5586	11.239	166.432
572.0831	11.248	166.430
571.6075	11.257	166.428
571.1318	11.266	166.427
570.6559	11.274	166.427
570.1801	11.283	166.427
569.7040	11.291	166.428
569.2278	11.300	166.428
568.7516	11.308	166.429
568.2753	11.317	166.432
567.7989	11.325	166.435
567.3222	11.333	166.438
566.8455	11.341	166.441
566.3687	11.350	166.445
565.8918	11.358	166.448
565.4149	11.366	166.451
564.9377	11.375	166.455
564.4605	11.383	166.458
563.9832	11.391	166.462
563.5057	11.400	166.465
563.0282	11.409	166.462
562.5505	11.418	166.459
562.0728	11.427	166.456
561.5948	11.437	166.453
561.1169	11.446	166.450
560.6388	11.455	166.448
560.1606	11.464	166.445
559.6823	11.474	166.443
559.2039	11.483	166.440
558.7253	11.492	166.438
558.2467	11.502	166.435
557.7679	11.511	166.433
557.2891	11.520	166.431
556.8102	11.530	166.429
556.3311	11.539	166.426
555.8519	11.548	166.424
555.3726	11.557	166.422
554.8932	11.567	166.421
554.4137	11.576	166.419
553.9341	11.586	166.417
553.4543	11.595	166.415
552.9745	11.604	166.413
552.4946	11.614	166.412
552.0145	11.623	166.410
551.5345	11.632	166.409
551.0541	11.642	166.407
550.5737	11.651	166.407
550.0933	11.660	166.407
549.6126	11.670	166.407
549.1320	11.679	166.406
548.6511	11.688	166.406
548.1702	11.697	166.406
547.6891	11.707	166.406
547.2080	11.716	166.406
546.7267	11.725	166.407
546.2454	11.735	166.407
545.7639	11.744	166.408
545.2823	11.753	166.409
544.8007	11.762	166.410
544.3188	11.772	166.412
543.8369	11.781	166.413
543.3549	11.790	166.416
542.8728	11.799	166.418
542.3905	11.808	166.420
541.9082	11.817	166.423
541.4257	11.826	166.425
540.9431	11.835	166.428
540.4604	11.845	166.431
539.9777	11.854	166.433
539.4948	11.863	166.436
539.0118	11.872	166.438
538.5286	11.883	166.432
538.0454	11.894	166.427
537.5621	11.905	166.421
537.0786	11.916	166.415
536.5950	11.927	166.410
536.1114	11.938	166.404
535.6276	11.949	166.399
535.1437	11.961	166.393
534.6597	11.972	166.388
534.1756	11.982	166.384
533.6913	11.993	166.380
533.2070	12.003	166.377
532.7226	12.014	166.374
532.2380	12.025	166.371
531.7534	12.035	166.369
531.2686	12.045	166.368
530.7837	12.055	166.367
530.2987	12.065	166.367
529.8136	12.075	166.366
529.3284	12.085	166.365
528.8430	12.095	166.364
528.3576	12.105	166.364
527.8720	12.115	166.363
527.3864	12.126	166.361
526.9006	12.137	166.358
526.4147	12.148	166.356
525.9287	12.158	166.353
525.4426	12.169	166.350
524.9564	12.180	166.347
524.4700	12.191	166.344
523.9836	12.202	166.342
523.4971	12.213	166.339
523.0104	12.223	166.336
522.5236	12.235	166.332
522.0367	12.246	166.329
521.5497	12.257	166.325
521.0626	12.268	166.321
520.5754	12.280	166.317
520.0881	12.291	166.312
519.6006	12.303	166.307
519.1131	12.314	166.302
518.6254	12.326	166.298
518.1377	12.337	166.293
517.6498	12.349	166.288
517.1618	12.360	166.284
516.6737	12.372	166.279
516.1855	12.384	166.274
515.6971	12.395	166.269
515.2087	12.407	166.264
514.7202	12.419	166.259
514.2314	12.431	166.254
513.7427	12.443	166.249
513.2538	12.455	166.244
512.7648	12.466	166.239
512.2757	12.478	166.234
511.7864	12.490	166.229
511.2971	12.502	166.223
510.8076	12.513	166.217
510.3181	12.525	166.212
509.8284	12.537	166.205
509.3386	12.548	166.199
508.8488	12.560	166.192
508.3587	12.571	166.186
507.8686	12.583	166.179
507.3784	12.594	166.173
506.8880	12.606	166.166
506.3976	12.617	166.160
505.9070	12.629	166.153
505.4163	12.642	166.144
504.9255	12.655	166.136
504.4346	12.667	166.127
503.9436	12.680	166.118
503.4525	12.693	166.109
502.9612	12.705	166.101
502.4698	12.718	166.092
501.9784	12.731	166.083
501.4868	12.743	166.075
500.9951	12.756	166.066
500.5033	12.768	166.057
500.0114	12.781	166.048
499.5193	12.794	166.040
499.0272	12.806	166.031
498.5349	12.819	166.022
498.0426	12.831	166.013
497.5501	12.844	166.005
