Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
725.5388	8.705	165.117
725.0975	8.708	165.118
724.6562	8.712	165.120
724.2147	8.716	165.121
723.7732	8.720	165.123
723.3315	8.724	165.125
722.8898	8.728	165.127
722.4479	8.732	165.129
722.0060	8.735	165.130
721.5640	8.739	165.132
721.1218	8.743	165.134
720.6796	8.747	165.136
720.2373	8.752	165.138
719.7949	8.756	165.140
719.3524	8.760	165.142
718.9097	8.765	165.145
718.4670	8.769	165.147
718.0242	8.773	165.149
717.5813	8.778	165.151
717.1383	8.782	165.153
716.6952	8.786	165.155
716.2520	8.791	165.158
715.8087	8.796	165.161
715.3653	8.800	165.163
714.9218	8.805	165.166
714.4782	8.810	165.169
714.0345	8.815	165.171
713.5907	8.820	165.174
713.1469	8.824	165.176
712.7028	8.829	165.179
712.2588	8.834	165.182
711.8146	8.839	165.184
711.3703	8.844	165.187
710.9259	8.849	165.189
710.4814	8.854	165.192
710.0369	8.859	165.194
709.5922	8.864	165.196
709.1474	8.868	165.199
708.7026	8.873	165.201
708.2576	8.878	165.206
707.8125	8.882	165.213
707.3674	8.887	165.220
706.9221	8.891	165.227
706.4767	8.895	165.234
706.0313	8.899	165.241
705.5857	8.904	165.247
705.1401	8.908	165.254
704.6943	8.913	165.261
704.2484	8.917	165.266
703.8025	8.922	165.267
703.3564	8.926	165.268
702.9103	8.931	165.270
702.4641	8.935	165.271
702.0177	8.940	165.272
701.5712	8.945	165.274
701.1247	8.949	165.275
700.6780	8.954	165.276
700.2313	8.959	165.278
699.7844	8.963	165.280
699.3375	8.968	165.283
698.8904	8.972	165.285
698.4433	8.977	165.287
697.9961	8.981	165.289
697.5488	8.986	165.291
697.1013	8.990	165.293
696.6537	8.995	165.295
696.2061	9.000	165.297
695.7584	9.004	165.299
695.3105	9.008	165.301
694.8626	9.013	165.303
694.4146	9.017	165.305
693.9664	9.022	165.307
693.5182	9.026	165.309
693.0699	9.031	165.311
692.6215	9.035	165.313
692.1729	9.040	165.314
691.7243	9.044	165.315
691.2756	9.049	165.317
690.8267	9.054	165.318
690.3778	9.058	165.319
689.9288	9.063	165.320
689.4797	9.068	165.322
689.0304	9.072	165.323
688.5811	9.077	165.325
688.1317	9.082	165.326
687.6821	9.087	165.328
687.2325	9.093	165.329
686.7828	9.098	165.331
686.3329	9.103	165.333
685.8830	9.108	165.334
685.4330	9.113	165.336
684.9828	9.119	165.337
684.5327	9.124	165.339
684.0823	9.129	165.340
683.6319	9.135	165.341
683.1813	9.140	165.343
682.7307	9.145	165.344
682.2800	9.151	165.345
681.8292	9.156	165.347
681.3782	9.161	165.348
680.9272	9.166	165.349
680.4761	9.171	165.350
680.0248	9.176	165.351
679.5735	9.181	165.352
679.1221	9.187	165.353
678.6705	9.192	165.354
678.2189	9.197	165.355
677.7672	9.202	165.356
677.3154	9.207	165.357
676.8634	9.211	165.358
676.4114	9.216	165.359
675.9592	9.221	165.360
675.5070	9.226	165.361
675.0547	9.230	165.361
674.6022	9.235	165.362
674.1497	9.240	165.363
673.6971	9.245	165.364
673.2443	9.250	165.365
672.7915	9.254	165.366
672.3386	9.259	165.366
671.8855	9.264	165.367
671.4324	9.269	165.368
670.9791	9.274	165.369
670.5258	9.279	165.370
670.0723	9.284	165.371
669.6188	9.289	165.371
669.1651	9.295	165.371
668.7114	9.300	165.371
668.2575	9.306	165.371
667.8035	9.311	165.371
667.3495	9.317	165.372
666.8953	9.322	165.372
666.4411	9.328	165.372
665.9868	9.333	165.374
665.5323	9.339	165.375
665.0777	9.345	165.376
664.6230	9.350	165.378
664.1683	9.356	165.379
663.7134	9.362	165.380
663.2584	9.367	165.381
662.8034	9.373	165.383
662.3482	9.379	165.384
661.8929	9.384	165.385
661.4376	9.390	165.387
660.9821	9.396	165.388
660.5265	9.402	165.389
660.0708	9.408	165.390
659.6151	9.414	165.392
659.1592	9.419	165.393
658.7032	9.425	165.394
658.2471	9.431	165.395
657.7909	9.437	165.397
657.3346	9.443	165.398
656.8782	9.449	165.399
656.4218	9.455	165.400
655.9651	9.461	165.401
655.5084	9.467	165.402
655.0516	9.473	165.403
654.5947	9.479	165.404
654.1377	9.485	165.405
653.6806	9.492	165.406
653.2234	9.498	165.407
652.7661	9.504	165.407
652.3087	9.510	165.409
651.8511	9.516	165.410
651.3936	9.522	165.411
650.9358	9.528	165.413
650.4780	9.534	165.414
650.0201	9.541	165.415
649.5620	9.547	165.416
649.1039	9.553	165.417
648.6457	9.559	165.418
648.1873	9.565	165.419
647.7289	9.572	165.421
647.2703	9.578	165.422
646.8117	9.584	165.422
646.3530	9.591	165.423
645.8941	9.597	165.424
645.4351	9.603	165.425
644.9761	9.609	165.426
644.5169	9.615	165.427
644.0577	9.621	165.429
643.5983	9.626	165.430
643.1389	9.632	165.431
642.6793	9.638	165.432
642.2196	9.644	165.433
641.7598	9.650	165.434
641.2999	9.655	165.435
640.8400	9.660	165.437
640.3799	9.666	165.438
639.9197	9.672	165.439
639.4594	9.677	165.441
638.9990	9.683	165.442
638.5385	9.688	165.443
638.0779	9.694	165.445
637.6172	9.700	165.446
637.1564	9.705	165.447
636.6954	9.711	165.449
636.2344	9.717	165.450
635.7733	9.722	165.451
635.3121	9.729	165.450
634.8508	9.736	165.449
634.3893	9.743	165.448
633.9278	9.749	165.447
633.4662	9.756	165.446
633.0044	9.763	165.444
632.5425	9.770	165.443
632.0806	9.777	165.442
631.6186	9.783	165.440
631.1564	9.790	165.439
630.6942	9.797	165.437
630.2318	9.804	165.436
629.7693	9.811	165.434
629.3068	9.818	165.432
628.8441	9.825	165.432
628.3813	9.832	165.431
627.9184	9.839	165.430
627.4554	9.846	165.429
626.9923	9.853	165.428
626.5291	9.860	165.427
626.0658	9.867	165.426
625.6024	9.875	165.426
625.1389	9.882	165.426
624.6753	9.889	165.426
624.2115	9.896	165.426
623.7477	9.904	165.426
623.2838	9.911	165.426
622.8198	9.918	165.425
622.3557	9.926	165.425
621.8914	9.933	165.424
621.4271	9.940	165.424
620.9626	9.948	165.423
620.4980	9.955	165.422
620.0334	9.963	165.421
619.5687	9.969	165.422
619.1038	9.976	165.424
618.6388	9.982	165.425
618.1737	9.989	165.427
617.7086	9.996	165.428
617.2433	10.002	165.429
616.7779	10.009	165.431
616.3124	10.016	165.432
615.8468	10.022	165.434
615.3810	10.029	165.435
614.9153	10.036	165.436
614.4492	10.043	165.437
613.9833	10.050	165.438
613.5172	10.056	165.439
613.0510	10.063	165.440
612.5847	10.070	165.441
612.1182	10.076	165.441
611.6516	10.083	165.442
611.1850	10.090	165.443
610.7183	10.097	165.443
610.2514	10.104	165.443
609.7844	10.110	165.443
609.3173	10.117	165.443
608.8502	10.124	165.443
608.3829	10.131	165.443
607.9156	10.137	165.443
607.4480	10.144	165.443
606.9804	10.151	165.443
606.5127	10.158	165.443
606.0449	10.165	165.443
605.5770	10.172	165.443
605.1089	10.179	165.443
604.6408	10.186	165.443
604.1726	10.193	165.443
603.7042	10.200	165.443
603.2358	10.207	165.443
602.7673	10.214	165.443
602.2986	10.221	165.443
601.8298	10.228	165.443
601.3610	10.235	165.443
600.8920	10.242	165.443
600.4229	10.249	165.443
599.9537	10.256	165.442
599.4844	10.264	165.442
599.0150	10.271	165.442
598.5455	10.278	165.442
598.0759	10.286	165.443
597.6062	10.293	165.444
597.1364	10.301	165.445
596.6664	10.308	165.445
596.1964	10.316	165.446
595.7263	10.324	165.447
595.2560	10.332	165.449
594.7857	10.339	165.451
594.3152	10.347	165.452
593.8447	10.355	165.454
593.3741	10.363	165.455
592.9032	10.371	165.456
592.4323	10.379	165.458
591.9613	10.387	165.459
591.4902	10.395	165.460
591.0190	10.403	165.461
590.5477	10.412	165.462
590.0763	10.419	165.460
589.6048	10.427	165.457
589.1331	10.435	165.454
588.6614	10.443	165.451
588.1896	10.451	165.448
587.7176	10.459	165.445
587.2455	10.466	165.441
586.7734	10.474	165.438
586.3011	10.482	165.435
585.8287	10.490	165.431
585.3563	10.498	165.428
584.8837	10.506	165.425
584.4109	10.514	165.423
583.9382	10.522	165.422
583.4652	10.530	165.421
582.9922	10.538	165.420
582.5191	10.546	165.419
582.0458	10.554	165.418
581.5725	10.562	165.419
581.0991	10.569	165.421
580.6255	10.577	165.422
580.1519	10.585	165.423
579.6780	10.593	165.425
579.2042	10.601	165.426
578.7303	10.609	165.427
578.2561	10.617	165.428
577.7819	10.625	165.429
577.3076	10.633	165.430
576.8332	10.641	165.431
576.3586	10.649	165.434
575.8840	10.657	165.439
575.4093	10.665	165.443
574.9344	10.672	165.447
574.4595	10.680	165.452
573.9844	10.688	165.456
573.5092	10.696	165.460
573.0339	10.704	165.464
572.5586	10.712	165.468
572.0831	10.721	165.472
571.6075	10.729	165.476
571.1318	10.737	165.478
570.6559	10.745	165.479
570.1801	10.754	165.480
569.7040	10.762	165.480
569.2278	10.770	165.481
568.7516	10.779	165.481
568.2753	10.787	165.479
567.7989	10.796	165.476
567.3222	10.805	165.473
566.8455	10.813	165.470
566.3687	10.822	165.467
565.8918	10.831	165.464
565.4149	10.840	165.461
564.9377	10.848	165.458
564.4605	10.857	165.454
563.9832	10.866	165.451
563.5057	10.875	165.448
563.0282	10.884	165.454
562.5505	10.892	165.459
562.0728	10.901	165.464
561.5948	10.910	165.469
561.1169	10.919	165.474
560.6388	10.928	165.479
560.1606	10.937	165.483
559.6823	10.946	165.488
559.2039	10.955	165.492
558.7253	10.964	165.496
558.2467	10.973	165.501
557.7679	10.983	165.505
557.2891	10.992	165.509
556.8102	11.001	165.513
556.3311	11.011	165.517
555.8519	11.020	165.521
555.3726	11.029	165.525
554.8932	11.039	165.529
554.4137	11.048	165.532
553.9341	11.058	165.536
553.4543	11.068	165.539
552.9745	11.077	165.542
552.4946	11.087	165.545
552.0145	11.097	165.548
551.5345	11.106	165.551
551.0541	11.116	165.554
550.5737	11.126	165.555
550.0933	11.136	165.557
549.6126	11.146	165.558
549.1320	11.156	165.560
548.6511	11.166	165.561
548.1702	11.176	165.562
547.6891	11.186	165.562
547.2080	11.196	165.563
546.7267	11.206	165.564
546.2454	11.216	165.564
545.7639	11.227	165.564
545.2823	11.237	165.563
544.8007	11.247	165.562
544.3188	11.257	165.560
543.8369	11.268	165.559
543.3549	11.278	165.557
542.8728	11.288	165.554
542.3905	11.299	165.551
541.9082	11.309	165.549
541.4257	11.320	165.546
540.9431	11.330	165.542
540.4604	11.341	165.539
539.9777	11.352	165.536
539.4948	11.362	165.532
539.0118	11.373	165.529
538.5286	11.384	165.539
538.0454	11.394	165.549
537.5621	11.405	165.559
537.0786	11.416	165.568
536.5950	11.427	165.577
536.1114	11.438	165.586
535.6276	11.449	165.595
535.1437	11.460	165.603
534.6597	11.471	165.612
534.1756	11.482	165.618
533.6913	11.493	165.623
533.2070	11.505	165.628
532.7226	11.516	165.632
532.2380	11.527	165.636
531.7534	11.539	165.638
531.2686	11.551	165.639
530.7837	11.562	165.639
530.2987	11.574	165.640
529.8136	11.585	165.640
529.3284	11.597	165.640
528.8430	11.609	165.640
528.3576	11.621	165.639
527.8720	11.633	165.638
527.3864	11.645	165.640
526.9006	11.657	165.643
526.4147	11.669	165.647
525.9287	11.681	165.650
525.4426	11.693	165.653
524.9564	11.705	165.656
524.4700	11.717	165.658
523.9836	11.730	165.661
523.4971	11.742	165.663
523.0104	11.754	165.665
522.5236	11.767	165.669
522.0367	11.779	165.673
521.5497	11.792	165.676
521.0626	11.805	165.679
520.5754	11.817	165.684
520.0881	11.830	165.689
519.6006	11.843	165.694
