x, y
301.33689839572196, 94.52538631346579
332.620320855615, 94.52538631346579
360.6951871657754, 94.52538631346579
383.1550802139037, 95.0551876379691
383.1550802139037, 95.0551876379691
404.01069518716577, 96.11479028697572
424.8663101604278, 96.99779249448125
446.524064171123, 97.52759381898456
461.7647058823529, 97.88079470198676
481.8181818181818, 98.41059602649007
504.27807486631013, 98.76379690949229
525.1336898395722, 99.11699779249449
525.1336898395722, 98.94039735099338
540.3743315508021, 98.76379690949229
540.3743315508021, 98.76379690949229
541.9786096256685, 98.94039735099338
558.0213903743315, 99.11699779249449
570.0534759358288, 99.11699779249449
582.8877005347593, 99.11699779249449
599.7326203208556, 99.11699779249449
613.3689839572193, 99.11699779249449
631.8181818181818, 99.11699779249449
651.0695187165775, 98.76379690949229
666.3101604278074, 98.76379690949229
680.7486631016043, 98.76379690949229
695.1871657754011, 98.76379690949229
706.4171122994653, 98.76379690949229
717.6470588235294, 98.58719646799118
732.0855614973261, 98.41059602649007
745.7219251336899, 98.41059602649007
759.3582887700535, 98.05739514348787
772.9946524064171, 97.70419426048565
785.0267379679144, 97.70419426048565
797.8609625668449, 97.35099337748345
810.6951871657755, 97.17439293598234
823.5294117647059, 96.64459161147903
837.9679144385027, 96.29139072847683
852.4064171122994, 95.93818984547462
867.6470588235294, 95.2317880794702
882.0855614973261, 94.34878587196468
898.9304812834225, 93.11258278145696
914.1711229946524, 91.87637969094924
927.0053475935829, 90.6401766004415
939.8395721925134, 88.69757174392936
953.475935828877, 86.40176600441501
965.5080213903743, 84.28256070640177
974.3315508021391, 81.98675496688742
986.3636363636364, 79.33774834437087
994.3850267379679, 76.68874172185431
1002.4064171122994, 74.21633554083886
1016.0427807486631, 70.86092715231788
1024.866310160428, 68.21192052980132
1036.096256684492, 65.73951434878587
1047.3262032085563, 63.796909492273734
1057.7540106951872, 61.501103752759384
1067.3796791443851, 59.205298013245034
1075.4010695187167, 56.909492273730685
1084.2245989304813, 54.437086092715234
1084.2245989304813, 54.437086092715234
1092.2459893048128, 52.31788079470199
1100.2673796791444, 49.31567328918322
1109.8930481283423, 45.78366445916115
1109.8930481283423, 45.78366445916115
1120.3208556149732, 41.01545253863135
1129.9465240641712, 36.42384105960265
1134.75935828877, 33.24503311258278
1140.3743315508023, 29.713024282560706
1144.385026737968, 27.06401766004415
1150, 23.70860927152318
1154.0106951871658, 21.05960264900662
1157.2192513368984, 17.880794701986755
1162.0320855614973, 14.87858719646799
1166.042780748663, 12.05298013245033
1170.8556149732622, 9.050772626931566
1175.6684491978608, 6.225165562913906
1182.0855614973261, 3.576158940397349
1189.3048128342245, 2.3399558498896234
1197.326203208556, 1.9867549668874176
1204.5454545454545, 1.280353200882999
