# T1 densa (experimental)
300.0000	2.6515	1.8942
301.0000	2.6488	1.8714
302.0000	2.6460	1.8486
303.0000	2.6434	1.8258
304.0000	2.6407	1.8031
305.0000	2.6381	1.7803
306.0000	2.6355	1.7575
307.0000	2.6330	1.7347
308.0000	2.6305	1.7119
309.0000	2.6280	1.6891
310.0000	2.6256	1.6663
311.0000	2.6231	1.6435
312.0000	2.6208	1.6207
313.0000	2.6184	1.5979
314.0000	2.6161	1.5751
315.0000	2.6138	1.5523
316.0000	2.6115	1.5295
317.0000	2.6093	1.5068
318.0000	2.6071	1.4840
319.0000	2.6049	1.4423
320.0000	2.6027	1.4006
321.0000	2.6006	1.3589
322.0000	2.5985	1.3172
323.0000	2.5964	1.2755
324.0000	2.5943	1.2338
325.0000	2.5923	1.1921
326.0000	2.5903	1.1504
327.0000	2.5883	1.1087
328.0000	2.5864	1.0671
329.0000	2.5844	1.0254
330.0000	2.5825	0.9837
331.0000	2.5806	0.9420
332.0000	2.5787	0.9003
333.0000	2.5769	0.8586
334.0000	2.5751	0.8169
335.0000	2.5733	0.7752
336.0000	2.5715	0.7335
337.0000	2.5697	0.6918
338.0000	2.5680	0.6501
339.0000	2.5662	0.6085
340.0000	2.5645	0.5668
341.0000	2.5629	0.5251
342.0000	2.5612	0.4834
343.0000	2.5595	0.4417
344.0000	2.5579	0.4000
345.0000	2.5563	0.3927
346.0000	2.5547	0.3854
347.0000	2.5531	0.3781
348.0000	2.5516	0.3708
349.0000	2.5500	0.3635
350.0000	2.5485	0.3562
351.0000	2.5470	0.3489
352.0000	2.5455	0.3416
353.0000	2.5440	0.3343
354.0000	2.5426	0.3270
355.0000	2.5411	0.3197
356.0000	2.5397	0.3124
357.0000	2.5383	0.3051
358.0000	2.5369	0.2978
359.0000	2.5355	0.2905
360.0000	2.5341	0.2832
361.0000	2.5328	0.2759
362.0000	2.5314	0.2686
363.0000	2.5301	0.2613
364.0000	2.5288	0.2540
365.0000	2.5275	0.2467
366.0000	2.5262	0.2394
367.0000	2.5249	0.2321
368.0000	2.5237	0.2248
369.0000	2.5224	0.2175
370.0000	2.5212	0.2102
371.0000	2.5200	0.2029
372.0000	2.5188	0.1956
373.0000	2.5176	0.1883
374.0000	2.5164	0.1810
375.0000	2.5152	0.1737
376.0000	2.5140	0.1664
377.0000	2.5129	0.1591
378.0000	2.5118	0.1518
379.0000	2.5106	0.1445
380.0000	2.5095	0.1372
381.0000	2.5084	0.1299
382.0000	2.5073	0.1226
383.0000	2.5062	0.1153
384.0000	2.5052	0.1080
385.0000	2.5041	0.1007
386.0000	2.5030	0.0934
387.0000	2.5020	0.0861
388.0000	2.5010	0.0788
389.0000	2.4999	0.0726
390.0000	2.4989	0.0665
391.0000	2.4979	0.0604
392.0000	2.4969	0.0542
393.0000	2.4959	0.0480
394.0000	2.4950	0.0419
395.0000	2.4940	0.0358
396.0000	2.4931	0.0296
397.0000	2.4921	0.0234
398.0000	2.4912	0.0173
399.0000	2.4902	0.0112
400.0000	2.4893	0.0050
401.0000	2.4884	0.0050
402.0000	2.4875	0.0049
403.0000	2.4866	0.0049
404.0000	2.4857	0.0048
405.0000	2.4848	0.0047
406.0000	2.4840	0.0047
407.0000	2.4831	0.0047
408.0000	2.4822	0.0046
409.0000	2.4814	0.0046
410.0000	2.4805	0.0045
411.0000	2.4797	0.0044
412.0000	2.4789	0.0044
413.0000	2.4781	0.0043
414.0000	2.4773	0.0043
415.0000	2.4764	0.0043
416.0000	2.4757	0.0042
417.0000	2.4749	0.0042
418.0000	2.4741	0.0041
419.0000	2.4733	0.0040
420.0000	2.4725	0.0040
421.0000	2.4718	0.0040
422.0000	2.4710	0.0039
423.0000	2.4703	0.0039
424.0000	2.4695	0.0038
425.0000	2.4688	0.0037
426.0000	2.4680	0.0037
427.0000	2.4673	0.0037
428.0000	2.4666	0.0036
429.0000	2.4659	0.0036
430.0000	2.4652	0.0035
431.0000	2.4645	0.0034
432.0000	2.4638	0.0034
433.0000	2.4631	0.0034
434.0000	2.4624	0.0033
435.0000	2.4617	0.0033
436.0000	2.4611	0.0032
437.0000	2.4604	0.0032
438.0000	2.4597	0.0031
439.0000	2.4591	0.0031
440.0000	2.4584	0.0030
441.0000	2.4578	0.0029
442.0000	2.4572	0.0029
443.0000	2.4565	0.0029
444.0000	2.4559	0.0028
445.0000	2.4553	0.0027
446.0000	2.4546	0.0027
447.0000	2.4540	0.0027
448.0000	2.4534	0.0026
449.0000	2.4528	0.0026
450.0000	2.4522	0.0025
451.0000	2.4516	0.0024
452.0000	2.4510	0.0024
453.0000	2.4504	0.0024
454.0000	2.4499	0.0023
455.0000	2.4493	0.0023
456.0000	2.4487	0.0022
457.0000	2.4482	0.0022
458.0000	2.4476	0.0021
