# lams, desv_psi, desv_delta
916.732100 0.738237 2.183640
916.331700 0.088051 8.584461
915.931300 0.650570 3.979579
915.530800 0.833421 1.581969
915.130200 1.762449 1.838942
914.729500 1.494672 4.454577
914.328700 1.012394 1.050194
913.927900 2.579548 3.602383
913.527000 3.919258 3.174245
913.125900 0.926407 2.188416
912.724900 0.768350 2.071829
912.323700 0.652491 1.780976
911.922400 0.539040 1.578786
911.521100 2.803397 9.315686
911.119600 7.796041 99.680810
910.718100 10.855876 43.781441
910.316500 1.125030 97.581629
909.914900 5.349955 88.018349
909.513100 8.874206 95.872245
909.111300 11.028645 101.095676
908.709300 11.997284 103.402455
908.307300 12.213643 102.996735
907.905200 10.399825 102.052517
907.503100 1.526248 96.104573
907.100800 9.241135 95.055838
906.698400 8.878291 88.554332
906.296000 3.673523 80.247568
905.893500 7.329673 73.426330
905.490900 7.932982 78.842117
905.088300 6.969870 77.941923
904.685500 2.390206 65.720075
904.282600 14.839086 86.583033
903.879700 0.101076 0.278952
903.476700 4.202295 3.413869
903.073600 12.663158 1.794827
902.670400 5.261689 4.999289
902.267200 1.864270 28.909499
901.863800 1.241228 9.752935
901.460400 0.488791 90.512953
901.056900 0.323534 1.587531
900.653300 0.735930 1.410674
900.249600 1.623776 1.764509
899.845800 0.184706 1.543595
899.442000 0.357717 0.885622
899.038000 0.316784 0.688574
898.634000 8.202268 103.478468
898.229900 0.223433 0.303115
897.825700 0.226593 0.673567
897.421400 0.392039 1.324018
897.017100 0.525484 1.417561
896.612700 0.251792 1.367882
896.208100 0.463606 1.986296
895.803500 0.300312 0.812905
895.398900 0.189635 0.375681
894.994100 0.295635 0.592636
894.589200 0.553959 0.686209
894.184300 2.512016 6.925778
893.779200 1.455123 6.946334
893.374100 1.654730 7.431023
892.968900 0.980123 8.539377
892.563700 2.198643 6.633737
892.158300 7.727417 7.468900
891.752800 0.314921 3.073084
891.347300 0.847071 2.767270
890.941700 1.561732 1.704231
890.535900 1.264343 1.632212
890.130200 2.245865 1.773703
889.724300 4.953598 2.605328
889.318400 2.950961 5.896620
888.912300 0.676075 1.747132
888.506200 1.165322 0.237243
888.100000 0.414761 0.256188
887.693700 0.452364 0.478554
887.287300 0.568469 0.674925
886.880800 0.661309 0.719284
886.474300 0.969516 0.914064
886.067600 1.314961 1.293523
885.660900 2.406523 2.200698
885.254100 1.269236 0.941672
884.847200 1.355080 0.647830
884.440200 1.318165 0.550120
884.033200 0.978342 0.755711
883.626000 1.068246 0.822072
883.218800 1.040803 1.242351
882.811500 0.269847 1.829790
882.404100 2.155845 7.537787
881.996600 1.961685 5.526695
881.589000 3.230279 3.417492
881.181300 4.065194 1.654595
880.773600 3.330176 3.709533
