# lams, desv_psi, desv_delta
916.732100 1.055681 2.199184
916.331700 0.650096 10.373766
915.931300 0.007550 5.666939
915.530800 0.113694 2.191834
915.130200 0.802920 4.085899
914.729500 6.246328 5.277403
914.328700 1.075623 1.317792
913.927900 1.668606 4.891407
913.527000 0.999617 9.515044
913.125900 0.466572 1.767906
912.724900 0.593799 0.887804
912.323700 0.632663 0.401329
911.922400 0.511480 0.701459
911.521100 3.468485 8.849579
911.119600 10.953606 99.348109
910.718100 10.332519 39.347651
910.316500 2.216035 97.020954
909.914900 5.680002 86.034031
909.513100 9.593379 94.579552
909.111300 11.927858 100.329583
908.709300 12.874181 102.929780
908.307300 13.009017 103.215912
907.905200 10.974700 101.593953
907.503100 2.325471 95.157150
907.100800 10.031800 94.394938
906.698400 9.116489 87.350999
906.296000 3.174610 78.378353
905.893500 6.401591 71.015788
905.490900 7.022841 76.461309
905.088300 5.799692 75.284337
904.685500 1.653932 62.218161
904.282600 13.925249 80.962722
903.879700 0.605486 1.603282
903.476700 5.385527 1.332223
903.073600 13.829450 2.128656
902.670400 8.293487 0.611883
902.267200 3.390731 3.522352
901.863800 0.753598 79.976455
901.460400 1.448187 4.794199
901.056900 0.319297 0.546328
900.653300 0.611399 3.019530
900.249600 0.470754 1.158495
899.845800 0.303286 2.000803
899.442000 0.274257 2.649420
899.038000 0.262491 2.779857
898.634000 0.223178 2.855389
898.229900 9.667567 100.851564
897.825700 0.174684 2.508341
897.421400 0.202372 0.844618
897.017100 0.508511 0.191818
896.612700 0.229502 2.890434
896.208100 0.362915 0.434456
895.803500 0.407982 0.211851
895.398900 0.485620 0.008000
894.994100 0.451115 0.095002
894.589200 0.458485 0.080075
894.184300 0.398924 1.020746
893.779200 0.307508 2.286446
893.374100 0.303161 2.479685
892.968900 0.189613 2.117723
892.563700 1.224297 1.803933
892.158300 3.209907 1.885422
891.752800 0.212713 3.931069
891.347300 0.323277 2.145098
890.941700 0.691247 1.389269
890.535900 0.968335 1.228851
890.130200 1.265528 1.281040
889.724300 2.278204 3.255763
889.318400 0.735303 1.833609
888.912300 1.063114 0.872982
