# TiO2_RTP_aire
# Longitud_de_onda[nm]	Indice_refraccion
693.0699	1.953158
692.6215	1.953909
692.1729	1.954662
691.7243	1.955416
691.2756	1.956172
690.8267	1.956928
690.3778	1.957687
689.9288	1.958446
689.4797	1.959207
689.0304	1.959969
688.5811	1.960732
688.1317	1.961497
687.6821	1.962263
687.2325	1.963031
686.7828	1.963800
686.3329	1.964570
685.8830	1.965341
685.4330	1.966114
684.9828	1.966889
684.5327	1.967664
684.0823	1.968441
683.6319	1.969219
683.1813	1.969999
682.7307	1.970780
682.2800	1.971563
681.8292	1.972347
681.3782	1.973132
680.9272	1.973918
680.4761	1.974706
680.0248	1.975496
679.5735	1.976287
679.1221	1.977079
678.6705	1.977873
678.2189	1.978668
677.7672	1.979464
677.3154	1.980262
676.8634	1.981061
676.4114	1.981862
675.9592	1.982664
675.5070	1.983467
675.0547	1.984272
674.6022	1.985079
674.1497	1.985886
673.6971	1.986695
673.2443	1.987506
672.7915	1.988318
672.3386	1.989132
671.8855	1.989947
671.4324	1.990763
670.9791	1.991581
670.5258	1.992400
670.0723	1.993221
669.6188	1.994043
669.1651	1.994867
668.7114	1.995692
668.2575	1.996519
667.8035	1.997347
667.3495	1.998177
666.8953	1.999008
666.4411	1.999840
665.9868	2.000674
665.5323	2.001510
665.0777	2.002347
664.6230	2.003185
664.1683	2.004025
663.7134	2.004867
663.2584	2.005710
662.8034	2.006554
662.3482	2.007400
661.8929	2.008248
661.4376	2.009097
660.9821	2.009948
660.5265	2.010800
660.0708	2.011653
659.6151	2.012508
659.1592	2.013365
658.7032	2.014223
658.2471	2.015083
657.7909	2.015945
657.3346	2.016807
656.8782	2.017672
656.4218	2.018538
655.9651	2.019405
655.5084	2.020274
655.0516	2.021145
654.5947	2.022017
654.1377	2.022891
653.6806	2.023766
653.2234	2.024643
652.7661	2.025522
652.3087	2.026402
651.8511	2.027284
651.3936	2.028167
650.9358	2.029052
650.4780	2.029938
650.0201	2.030826
649.5620	2.031716
649.1039	2.032607
648.6457	2.033499
648.1873	2.034394
647.7289	2.035290
647.2703	2.036188
646.8117	2.037087
646.3530	2.037988
645.8941	2.038890
645.4351	2.039795
644.9761	2.040700
644.5169	2.041608
644.0577	2.042517
643.5983	2.043428
643.1389	2.044340
642.6793	2.045254
642.2196	2.046170
641.7598	2.047087
641.2999	2.048006
640.8400	2.048926
640.3799	2.049849
639.9197	2.050773
639.4594	2.051698
638.9990	2.052626
638.5385	2.053555
638.0779	2.054485
637.6172	2.055418
637.1564	2.056352
636.6954	2.057288
636.2344	2.058225
635.7733	2.059164
635.3121	2.060105
634.8508	2.061048
634.3893	2.061992
633.9278	2.062938
633.4662	2.063885
633.0044	2.064835
632.5425	2.065786
632.0806	2.066739
631.6186	2.067694
631.1564	2.068650
630.6942	2.069608
630.2318	2.070568
629.7693	2.071529
629.3068	2.072493
628.8441	2.073458
628.3813	2.074425
627.9184	2.075393
627.4554	2.076363
626.9923	2.077336
626.5291	2.078309
626.0658	2.079285
625.6024	2.080262
625.1389	2.081242
624.6753	2.082223
624.2115	2.083205
623.7477	2.084190
623.2838	2.085176
622.8198	2.086164
622.3557	2.087154
621.8914	2.088146
621.4271	2.089139
620.9626	2.090135
620.4980	2.091132
620.0334	2.092131
619.5687	2.093132
619.1038	2.094134
618.6388	2.095139
618.1737	2.096145
617.7086	2.097153
617.2433	2.098163
616.7779	2.099175
616.3124	2.100189
615.8468	2.101204
615.3810	2.102222
614.9153	2.103241
614.4493	2.104262
613.9833	2.105285
613.5172	2.106309
613.0510	2.107336
612.5847	2.108364
612.1182	2.109395
611.6517	2.110427
611.1850	2.111461
610.7183	2.112497
610.2514	2.113535
609.7844	2.114575
609.3173	2.115617
608.8502	2.116660
608.3829	2.117706
607.9155	2.118754
607.4480	2.119803
606.9804	2.120854
606.5127	2.121907
606.0449	2.122962
605.5770	2.124019
605.1089	2.125079
604.6408	2.126139
604.1726	2.127202
603.7042	2.128267
603.2358	2.129334
602.7673	2.130402
602.2986	2.131473
601.8298	2.132545
601.3610	2.133620
600.8920	2.134696
600.4229	2.135775
599.9537	2.136855
599.4844	2.137938
599.0150	2.139022
598.5455	2.140108
598.0759	2.141197
597.6062	2.142287
597.1364	2.143379
596.6664	2.144473
596.1964	2.145570
595.7263	2.146668
595.2560	2.147768
594.7857	2.148870
594.3152	2.149975
593.8447	2.151081
593.3740	2.152189
592.9032	2.153300
592.4323	2.154412
591.9613	2.155526
591.4902	2.156643
591.0190	2.157761
590.5477	2.158882
590.0763	2.160004
589.6048	2.161128
589.1331	2.162255
588.6614	2.163384
588.1896	2.164514
587.7176	2.165647
587.2455	2.166782
586.7734	2.167919
586.3011	2.169058
585.8287	2.170199
585.3563	2.171342
584.8837	2.172487
584.4109	2.173634
583.9382	2.174783
583.4652	2.175935
582.9922	2.177088
582.5191	2.178244
582.0458	2.179402
581.5725	2.180561
581.0991	2.181723
580.6255	2.182887
580.1519	2.184053
579.6780	2.185222
579.2042	2.186392
578.7302	2.187564
578.2561	2.188739
577.7819	2.189916
577.3076	2.191094
