# lams, psi_mean, delta_mean
927.510400 2.443842 350.856070
927.112300 3.495669 348.533746
926.714100 3.044121 0.007203
926.315800 1.403513 15.993608
925.917400 4.208179 155.502914
925.519000 3.294207 138.681914
925.120400 2.103475 83.424919
924.721800 2.024986 119.909568
924.323100 2.579989 121.083574
923.924300 3.669504 150.434075
923.525500 4.441142 166.391255
923.126500 45.000000 187.075765
922.727500 2.996305 148.131713
922.328300 9.108012 17.691487
921.929100 10.834846 19.653720
921.529800 13.050568 17.028014
921.130500 13.932988 18.617269
920.731100 14.598745 16.206380
920.331500 12.098976 19.859621
919.931900 4.212531 34.144517
919.532200 3.805677 140.843192
919.132400 22.400011 178.880523
918.732600 9.784841 149.538676
918.332600 45.000000 123.241296
917.932600 9.961518 223.490260
917.532500 45.000000 121.822007
917.132300 45.000000 292.949789
916.732100 45.000000 295.089302
916.331700 45.000000 113.708124
915.931300 45.000000 112.477174
915.530800 34.752543 111.992839
915.130200 45.000000 120.256559
914.729500 1.310914 43.423287
914.328700 14.167489 298.905304
913.927900 2.071146 341.142813
913.527000 2.249836 175.015392
913.125900 2.734919 140.027425
912.724900 2.106420 87.297803
912.323700 2.962797 29.326110
911.922400 5.316210 21.949416
911.521100 8.497048 102.208444
911.119600 0.922097 62.184797
910.718100 23.540426 238.620776
910.316500 45.000000 23.304683
909.914900 45.000000 44.517068
909.513100 45.000000 24.113295
909.111300 45.000000 12.423895
908.709300 45.000000 5.841850
908.307300 45.000000 3.371558
907.905200 45.000000 3.239897
907.503100 45.000000 6.784239
907.100800 45.000000 6.123661
906.698400 45.000000 15.537905
906.296000 45.000000 30.240470
905.893500 45.000000 221.196296
905.490900 12.409039 39.195828
905.088300 14.357807 32.725243
904.685500 18.572263 226.113411
904.282600 2.624673 258.593860
903.879700 22.051855 192.870752
903.476700 45.000000 138.133500
903.073600 45.000000 134.059981
902.670400 45.000000 132.521678
902.267200 45.000000 134.175387
901.863800 45.000000 140.388446
901.460400 45.000000 142.226800
901.056900 16.290361 305.300565
900.653300 9.295752 192.559216
900.249600 5.835084 159.027227
899.845800 45.000000 44.993228
899.442000 45.000000 200.515990
899.038000 45.000000 199.704251
898.634000 45.000000 198.383098
898.229900 45.000000 182.483771
897.825700 45.000000 206.632827
897.421400 31.318586 100.116234
897.017100 24.623040 142.022017
896.612700 25.460265 157.542061
896.208100 29.244832 146.038168
895.803500 28.297722 144.856092
895.398900 26.880008 143.309451
894.994100 20.702877 142.806972
894.589200 12.506250 146.167490
894.184300 3.422062 239.767097
893.779200 7.865336 144.674008
893.374100 3.249179 109.670965
892.968900 2.706490 12.333587
892.563700 6.688020 337.473296
892.158300 9.107581 331.058981
891.752800 5.844609 334.292877
891.347300 5.052270 328.745939
890.941700 3.149003 323.602960
890.535900 1.630033 309.023809
890.130200 1.210487 242.868783
889.724300 2.118499 202.516663
889.318400 2.358450 321.657932
888.912300 2.886248 353.994274
888.506200 2.634734 353.880730
888.100000 3.892691 123.076530
887.693700 4.502041 122.043931
887.287300 5.165014 124.822398
886.880800 6.205873 126.707466
886.474300 5.059330 132.704106
886.067600 6.035377 141.411222
885.660900 7.188052 146.920957
885.254100 5.982094 139.757853
884.847200 5.193688 137.047467
884.440200 4.189203 132.223080
884.033200 6.811774 132.136077
883.626000 6.687367 128.482253
883.218800 6.831205 125.079260
882.811500 6.050184 104.857177
882.404100 1.177611 142.547302
881.996600 2.624165 204.378638
881.589000 4.249970 231.585575
881.181300 6.572824 244.641322
880.773600 10.533375 291.020955
880.365800 10.780635 252.005328
879.957900 45.000000 286.979146
879.549900 28.117153 150.147548
879.141800 45.000000 127.578112
878.733600 45.000000 123.708702
878.325300 45.000000 123.723882
877.917000 45.000000 122.891328
877.508500 45.000000 121.153160
877.100000 45.000000 120.892603
876.691500 45.000000 118.540867
876.282800 13.873023 134.379218
875.874000 45.000000 293.649842
875.465100 8.586179 156.066082
875.056200 7.514342 296.698454
874.647200 45.000000 141.792697
874.238000 29.243056 145.369059
873.828900 23.602416 146.271312
873.419600 23.470202 147.760403
873.010200 24.234674 148.253690
872.600700 30.096300 146.986402
872.191200 45.000000 328.592934
871.781600 3.077842 203.942777
871.371800 8.877650 154.968578
870.962000 3.746962 174.942790
870.552100 4.058617 137.031890
870.142200 2.704932 158.046618
869.732100 3.838030 152.673992
869.321900 5.446782 141.993926
868.911700 7.424847 131.462485
868.501300 9.086254 125.345402
868.090900 10.520703 121.371720
867.680500 10.483241 123.609833
867.269900 9.200408 123.619254
866.859200 8.829369 122.542224
866.448500 7.956505 120.442059
866.037600 8.049561 119.373699
865.626700 8.474366 119.263323
865.215700 8.218205 118.783973
864.804600 8.801883 118.232665
864.393400 8.620705 118.309004
863.982100 9.671464 122.016874
863.570700 8.659252 119.669044
863.159300 6.210469 116.802910
862.747700 6.795769 115.293216
862.336100 6.550695 113.595655
861.924400 6.556701 114.825527
861.512600 6.965257 115.584391
861.100800 5.389383 116.241246
860.688800 4.994222 116.940284
860.276700 5.752909 116.265311
859.864600 5.411926 115.695394
859.452300 6.481938 117.580509
859.040000 7.229075 117.371735
858.627600 8.191272 117.317895
858.215100 8.650288 117.126267
857.802600 7.947114 117.176031
857.389900 7.717291 116.884699
856.977100 7.528069 116.894184
856.564300 7.888096 116.384100
856.151400 7.979709 115.778495
855.738300 8.076369 114.892805
855.325300 8.225970 114.321004
854.912000 8.752847 114.031984
854.498800 9.888671 113.334590
854.085400 9.898399 113.298994
853.671900 9.658338 113.255601
853.258400 10.264675 112.858486
852.844800 10.393396 113.001087
852.431100 10.504634 113.123117
852.017300 10.333707 112.275500
851.603400 10.283272 112.263387
851.189400 10.149332 112.252660
850.775300 10.228145 111.622304
850.361200 10.517875 112.016898
849.947000 10.730455 111.499359
849.532600 10.674527 111.126476
849.118200 10.583126 110.900685
848.703700 10.663931 110.903296
848.289100 10.761893 110.837710
847.874400 10.965770 110.716020
847.459700 11.048950 110.458062
847.044800 11.138091 110.330609
846.629800 11.242229 110.063831
846.214800 11.393628 109.751775
845.799700 11.577329 109.754585
845.384500 11.688367 109.515890
844.969200 12.038679 109.555669
844.553800 12.179233 108.557073
844.138300 12.022649 108.360392
843.722700 11.873069 108.272519
843.307100 11.877319 107.993250
842.891400 12.085439 107.794640
842.475500 11.989203 107.354025
842.059600 12.223859 106.668038
841.643600 12.229248 106.361687
841.227500 12.001876 106.026136
840.811300 11.727714 105.660340
840.395100 11.856655 105.400566
839.978700 11.871934 105.030473
839.562300 11.742574 104.616963
839.145700 11.893284 104.671354
838.729100 12.025182 104.514075
838.312400 12.105608 104.329124
837.895600 12.187134 104.017163
837.478700 12.386870 103.740765
837.061700 12.544921 103.601475
836.644700 12.662588 103.388340
836.227500 12.848783 103.198504
835.810200 13.017295 102.946315
835.392900 13.005079 102.643407
834.975500 13.152261 102.400675
834.557900 13.256550 102.210607
834.140300 13.239179 101.977301
833.722700 13.360563 101.851470
833.304900 13.502068 101.690136
832.887000 13.623402 101.516753
832.469100 13.586121 101.206342
832.051000 13.702277 101.050258
831.632900 13.800568 100.918409
831.214600 13.846601 100.617686
830.796300 14.053283 100.527190
830.377900 14.190710 100.375355
829.959400 14.228517 100.190128
829.540800 14.366596 100.001030
829.122100 14.351782 99.764746
828.703400 14.451055 99.597382
828.284500 14.432946 99.360212
827.865600 14.569083 99.156026
827.446500 14.619879 98.950979
827.027500 14.650026 98.706967
826.608200 14.728295 98.556863
826.188900 14.768418 98.366348
825.769500 14.805104 98.187992
825.350000 14.802533 97.992490
824.930500 14.837915 97.832506
824.510800 14.938659 97.656538
824.091100 14.982524 97.451701
823.671300 15.059455 97.256963
823.251300 15.093275 97.095147
822.831300 15.152209 96.937324
822.411200 15.243459 96.808955
821.991000 15.316221 96.715048
821.570700 15.348873 96.556716
821.150300 15.397439 96.408824
820.729900 15.493264 96.277022
820.309300 15.574962 96.148845
819.888600 15.626336 95.986963
819.467900 15.690714 95.829492
819.047100 15.774393 95.715424
818.626200 15.848892 95.563789
818.205100 15.907366 95.390013
817.784100 15.974059 95.239687
817.362900 16.020978 95.103760
816.941600 16.104888 94.986425
816.520200 16.183065 94.829889
816.098800 16.258698 94.701799
815.677200 16.348647 94.525146
815.255600 16.394764 94.370197
814.833800 16.476238 94.246394
814.412000 16.563503 94.111935
813.990100 16.635179 94.015943
813.568100 16.702454 93.895900
813.146000 16.755830 93.725439
812.723800 16.808644 93.584081
812.301500 16.928401 93.437702
811.879200 16.950740 93.326689
811.456700 17.014840 93.199423
811.034100 17.072204 93.047858
810.611500 17.136393 92.990613
810.188800 17.196357 92.836555
809.765900 17.265237 92.668088
809.343000 17.328309 92.512997
808.920000 17.399274 92.315783
808.496900 17.467807 92.138624
808.073700 17.512501 91.983351
807.650500 17.572499 91.873208
807.227100 17.619875 91.739003
806.803600 17.689307 91.556179
806.380100 17.759835 91.395923
805.956400 17.830070 91.238116
805.532700 17.894094 91.079439
805.108900 17.964780 90.886306
804.685000 18.037978 90.750853
804.261000 18.091386 90.605938
803.836900 18.155452 90.469595
803.412700 18.231260 90.334864
802.988400 18.292361 90.213093
802.564000 18.373902 90.078528
802.139600 18.415393 89.930864
801.715000 18.470401 89.822675
801.290300 18.538951 89.664530
800.865700 18.586668 89.553371
800.440800 18.614913 89.395477
800.015900 18.674311 89.290077
799.590900 18.726556 89.139119
799.165800 18.793821 89.029015
798.740600 18.870609 88.884148
798.315300 18.947909 88.772639
797.889900 19.039817 88.617844
797.464400 19.103049 88.499713
797.038900 19.190347 88.362096
796.613200 19.267190 88.219483
796.187500 19.306605 88.072516
795.761700 19.372823 87.940672
795.335700 19.440186 87.806932
794.909700 19.521739 87.664444
794.483600 19.582159 87.495551
794.057400 19.650622 87.395425
793.631000 19.739120 87.263273
793.204700 19.814254 87.116959
792.778200 19.873681 86.987479
792.351600 19.937205 86.880038
791.924900 19.994332 86.761862
791.498200 20.076137 86.625695
791.071400 20.141417 86.511685
790.644400 20.209251 86.400404
790.217300 20.258857 86.287823
789.790200 20.328306 86.153790
789.363000 20.387239 86.038999
788.935700 20.456137 85.940978
788.508300 20.519414 85.815402
788.080700 20.584941 85.730086
787.653200 20.664542 85.611365
787.225500 20.707112 85.515975
786.797700 20.750637 85.372479
786.369900 20.834381 85.267539
785.941900 20.904460 85.175595
785.513900 20.965876 85.060651
785.085700 21.030698 84.940869
784.657500 21.095602 84.809948
784.229100 21.151222 84.721613
783.800700 21.200395 84.612098
783.372200 21.263450 84.499059
782.943500 21.332878 84.377679
782.514800 21.419870 84.281861
782.086100 21.476729 84.214664
781.657200 21.526869 84.131905
781.228200 21.589070 84.029095
780.799100 21.655530 83.940833
780.369900 21.727804 83.841711
779.940700 21.775297 83.745152
779.511300 21.833218 83.652996
779.081800 21.905765 83.535479
778.652300 21.993849 83.415859
778.222700 22.074703 83.301232
777.793000 22.139574 83.211375
777.363200 22.221177 83.122703
776.933200 22.286639 83.018132
776.503200 22.355344 82.918083
776.073100 22.418382 82.824118
775.642900 22.482842 82.705265
775.212600 22.539891 82.612699
774.782200 22.608515 82.513697
774.351700 22.675055 82.447862
773.921200 22.751574 82.355726
773.490500 22.822267 82.278623
773.059800 22.902776 82.187506
772.628900 22.981790 82.089161
772.198000 23.066469 81.984762
771.766900 23.127104 81.888180
771.335800 23.192727 81.802896
770.904600 23.265512 81.711654
770.473300 23.339760 81.625429
770.041900 23.411584 81.550521
769.610400 23.490275 81.478082
769.178700 23.563779 81.403426
768.747100 23.604797 81.332787
768.315200 23.702932 81.259301
767.883400 23.790649 81.153624
767.451400 23.864356 81.042321
767.019300 23.925333 80.955418
766.587200 24.010817 80.863908
766.154900 24.080246 80.768374
765.722500 24.151186 80.708867
765.290100 24.218823 80.640570
764.857500 24.302448 80.579239
764.424900 24.388228 80.497394
763.992200 24.479303 80.428985
763.559300 24.567457 80.343333
763.126400 24.638960 80.283016
762.693400 24.729881 80.186533
762.260300 24.789925 80.108510
761.827100 24.874495 80.043596
761.393800 24.938196 79.967366
760.960400 25.014402 79.875346
760.526900 25.107418 79.809391
760.093300 25.202954 79.727297
759.659700 25.290690 79.640160
759.225900 25.350332 79.587275
758.792100 25.424797 79.530210
758.358100 25.500861 79.443039
757.924000 25.554203 79.374722
757.489900 25.629363 79.304700
757.055600 25.689474 79.238275
756.621300 25.778018 79.169973
756.186800 25.854988 79.081764
755.752300 25.923591 79.032584
755.317700 26.010617 78.972087
754.883000 26.073693 78.914822
754.448200 26.130349 78.859914
754.013200 26.210792 78.808930
753.578200 26.296693 78.738399
753.143100 26.375314 78.672705
752.707900 26.443051 78.618767
752.272600 26.515995 78.558242
751.837300 26.569949 78.502299
751.401800 26.658211 78.408058
750.966200 26.738228 78.350893
750.530600 26.799309 78.297771
750.094800 26.867191 78.220455
749.658900 26.954268 78.163927
749.223000 27.023185 78.106081
748.786900 27.089680 78.053151
748.350800 27.187425 77.985588
747.914600 27.277695 77.944686
747.478200 27.353560 77.908087
747.041700 27.433667 77.849168
746.605200 27.508140 77.786280
746.168600 27.603379 77.715524
745.731900 27.700910 77.645868
745.295000 27.798694 77.590199
744.858200 27.890347 77.521196
744.421100 27.964292 77.476069
743.984100 28.066104 77.438410
743.546800 28.147628 77.373780
743.109600 28.231706 77.331174
742.672200 28.309936 77.302351
742.234700 28.376350 77.260202
741.797100 28.450181 77.199725
741.359400 28.511012 77.151847
740.921600 28.592276 77.117529
740.483800 28.663205 77.076230
740.045800 28.739021 77.054074
